QID,序号,数据来源,部分,原始页码,章节,校对词频,原文英文全名,统一英文全名,别称英文,Unnamed: 0,P19|标签|出生地英文,校对出生地英文,P31|标签|人物属性,P569|标签|出生日期,P570|标签|死亡日期,P20|标签|死亡地英文,P106|标签|职业英文,P27|标签|国籍英文,P101|标签|工作领域英文,P937|标签|工作地点英文,P97|标签|贵族头衔英文,P21|标签|性别英文,P611|标签|所属宗教(合并)#P1416|标签|所属机构#P463|标签|属于...机构成员英文,P119|标签|埋葬地点英文,P140|标签|宗教或世界观英文,P69|标签|受教育于英文,P53|标签|家族英文,P1830|标签|拥有财产英文,P166|标签|获奖英文,P800|标签|著名作品英文,P135|标签|风格英文,P136|标签|创作类型英文,P18|标签|图像,P22|标签|父亲英文,P25|标签|母亲英文,P3373|标签|兄弟姐妹英文,P26|标签|配偶英文,P40|标签|孩子英文,P1038|标签|亲属英文,P451|标签|未婚伴侣英文,P737|标签|受…影响英文,P108|标签|雇主英文,P1066|标签|老师#P184|标签|博士导师英文,P802|标签|学生#P185|标签|博士学生英文,P3342|标签|重要人物英文,P1049|标签|崇拜者英文,P1365|标签|继任者英文,P1366|标签|接任者英文,P859|标签|赞助人英文
Q332634,863,wikidata,第二部分,200,第七章,3,Binch,"George Byng, 1st Viscount Torrington","George Byng, Viscount Torrington",713,Kent,Kent,human,1663,1733,London,politician|naval officer|diplomat,Kingdom of Great Britain,,,Viscount Torrington,male,,,,,,,Knight Commander of the Order of the Bath,,,,,John Byng,Philadelphia Johnson,,Margaret Master,"Pattee Byng, 2nd Viscount Torrington|George Byng, 3rd Viscount Torrington|Robert Byng|John Byng|Sarah Osborn|Matthew Byng|Edward Byng",,,,,,,,,,,
Q7302,864,wikidata,第三部分,281,第十章,1,Handel,George Frideric Handel,Handel|G. F. Händel|Georg Friedrich Händel|George Frideric|Händel|G. F. Handel|George Frederick Handel,714,Halle,Halle,human,1685,1759,London,composer|harpsichordist|organist|violinist|opera composer|impresario|university teacher,Brandenburg-Prussia,,,,male,,Westminster Abbey,Lutheranism,University of Halle-Wittenberg,,,,"Messiah|Water Music|Music for the Royal Fireworks|Giulio Cesare in Egitto|Alcina|Serse|Concerti grossi, Op. 6",Baroque music,opera|oratorio|concerto|anthem|classical music|coronation anthem,,Georg Händel,Dorothea Händel,,,,,,Germany|Italy|France|England|Arcangelo Corelli|Alessandro Scarlatti|Georg Philipp Telemann|Domenico Scarlatti|Giovanni Bononcini,,Friedrich Wilhelm Zachow,Soo Eun Lee,,,,,
Q5679,865,wikidata,第三部分,383,第十七章,1,Byron,Lord Byron,"George Gordon Byron|George Gordon Byron, 6th Baron Byron|Noel Byron|Xhorxh Bajroni|Bajron|George Gordon|Jerzy Gordon Byron|Pai-lun|Baron Byron George Gordon Byron|6th Baron Byron George Gordon Noel|Byron|George Gordon Byron, Baron Byron|6th Baron Byron George Gordon Byron|George Gordon Noël Byron Byron|Bayrěn|Payrěn|George Gordon Byron Byron|Džordž Gordon Bajron|Bayron|Bairon|George Gordon Byron Lord|George Gordon Byron, 6th Lord Byron",715,City of Westminster,City of Westminster,human,1788,1824,Missolonghi,poet|lyricist|politician|playwright|autobiographer|translator|military personnel|diarist|writer|librettist|aristocrat|philhellene,United Kingdom of Great Britain and Ireland,performing arts,,Baron Byron,male,Royal Society|Royal Society of Literature,Nottinghamshire,,Harrow School,,Newstead Abbey,Fellow of the Royal Society,Childe Harold's Pilgrimage|Don Juan|Manfred,Romanticism,narrative poetry|Gothic literature,Byron 1813 by Phillips.jpg|Lord Byron coloured drawing.png,John Byron,Catherine Gordon Byron,Augusta Leigh,Anne Isabella Byron|Claire Clairmont,Ada Lovelace|Elizabeth Medora Leigh|Allegra Byron,,Claire Clairmont|Augusta Leigh|Margarita Cogni,Giovanni Battista Casti|Luigi Pulci|William Wordsworth,,Harutyun Avgeryan,,,,,,
Q5208082,866,wikidata,第一部分,IX,第一章,1,George Humphrey Wolferstan Rylands,Dadie Rylands,George Humphrey Wolfestan Rylands|George Rylands|George H. W. Rylands|George Humphrey Wolferstan Rylands,716,Tockington,Tockington,human,1902,1999,Cambridge,theatrical director|actor|teacher|literary scholar,United Kingdom,,,,male,,,,Eton College,,,Commander of the Order of the British Empire,,,,,,,,,,,,,,,,,,,,
Q75507406,868,wikidata,第一部分,111,第四章,2,George Leon,Sir George Edward Leon,,717,,,human,1875,1947,,,,,,,male,,,,,,,,,,,,Herbert Leon,Esther Julia Beddington,,Anne Dorothy Browne|Mildred Ethel Jennings,"Esther Mildred Leon|Sir Ronald George Leon, 3rd Bt.",,,,,,,,,,,
Q130805,869,wikidata,第三部分,288291,第十章,3,King George I|King George,George I of Great Britain,"George Louis|George Louis Hanover|George Hanover|Georg Ludwig|George I, King of Great Britain|George Louis, Elector of Hanover|George I, King of Great Britain, France and Ireland, Defender of the Faith, Duke of Brunswick-Lüneburg, Archtreasurer and Prince-Elector of the Holy Roman Empire|George Louis, Archbannerbearer of the Holy Roman Empire and Prince-Elector, Duke of Brunswick-Lüneburg|George Louis, Electoral Prince of Hanover|George Louis, Hereditary Prince of Brunswick-Lüneburg|Duke George Louis of Brunswick-Lüneburg|George Louis of Brunswick-Lüneburg|George Louis of Hanover",718,Hanover,Hanover,human,1660,1727,Osnabrück,politician,Electorate of Hanover,politics|governance|art patronage,,king|Prince-Elector|Hereditary Prince|duke,male,Royal Society,Leineschloss,Lutheranism,,House of Hanover,,Order of the Garter,,,,,"Ernest Augustus, Elector of Brunswick-Lüneburg",Sophia of Hanover,"Sophia Charlotte of Hanover|Ernest Augustus, Duke of York and Albany|Maximilian William of Brunswick-Lüneburg|Ernst August von Platen-Hallermund|Sophia von Kielmansegg, Countess of Darlington|Friedrich August Hanover, Prince of Hanover",Sophia Dorothea of Celle,"George II of Great Britain|Sophia Dorothea of Hanover|Luise Sophia von der Schulenburg, Countess of Dölitz|Melusina von der Schulenburg, Countess of Walsingham|Margarethe Gertrud von Oeynhausen","Frederick I of Prussia|Friedrich Wilhelm I of Prussia|Countess Louise Juliana of Nassau|Frederick V of the Palatinate|Louise Juliana of the Palatinate|Charles I Louis, Elector Palatine|Elizabeth Charlotte of the Palatinate|Elizabeth Charlotte of the Palatinate, Duchess of Orléans|Sophia Dorothea of Celle|Éléonore Desmier d'Olbreuse","Melusine von der Schulenburg, Duchess of Kendal",,,,,,,,,
Q333772,870,wikidata,第一部分,52286,第二章,2,George Montagu,"Charles Montagu, 1st Earl of Halifax",,719,Horton,Horton,human,1661,1715,London,poet|politician,Kingdom of England,,,Earl of Halifax|baron,male,Royal Society,Westminster Abbey,,Westminster School,,,Fellow of the Royal Society|Order of the Garter,,,,1stEarlOfHalifax.jpg,George Montagu,Elizabeth Irby,Christopher Montagu|Edward Montagu,Anne Yelverton,,,,,,,,,,,,
Q930477,871,wikidata,第三部分,279280286287290,第十章,8,George Vertue,George Vertue,George Virtue|Vertue|G. Vertue|Mr. Vertue|Virtue,720,"St Martin-in-the-Fields, Westminster","St Martin-in-the-Fields, Westminster",human,1684,1756,London,printmaker|antiquarian,Kingdom of Great Britain,,Greater London,,male,,Westminster Abbey,,,,,Fellow of the Society of Antiquaries,,,,George Vertue by Richardson.jpg,,,,,,,,,,Michael Vandergucht,,,,,,
Q127318,873,wikidata,第三部分,292309310361,第十章,8,George William Frederick,George III of Great Britain,"George III of the United Kingdom|George William Frederick|George William Frederick Hanover|George Hanover|King George III|Georg Wilhelm Friedrich|George III, King of Great Britain|George III|Farmer George|George III, Elector and King of Hanover|Prince George William Frederick|Prince George, Duke of Edinburgh|Prince George William Frederick, Duke of Edinburgh|George, Prince of Wales|Prince George of Great Britain|Prince George William Frederick of Great Britain|Koning van Groot-Britannië en Hannover George III Willem Frederik",721,Norfolk House,Norfolk House,human,1738,1820,Windsor Castle,art collector|patron of the arts|ruler|politician|aristocrat|monarch,Kingdom of Great Britain,,,monarch of the United Kingdom of Great Britain and Ireland|Monarch of Great Britain|King of Ireland|Prince of Wales|Duke of Edinburgh|British prince,male,Royal Society,"St George's Chapel, Windsor",Anglicanism,,House of Hanover,Venice: The Bacino di San Marco on Ascension Day|King George III Topographical Collection,Knight of the Garter,,,,,"Frederick, Prince of Wales",Princess Augusta of Saxe-Gotha,"Princess Augusta of Great Britain|Prince Edward, Duke of York and Albany|Princess Elizabeth of Great Britain|Prince William Henry, Duke of Gloucester and Edinburgh|Prince Henry, Duke of Cumberland and Strathearn|Princess Louisa of Great Britain|Prince Frederick of Great Britain|Caroline Matilda of Great Britain",Charlotte of Mecklenburg-Strelitz|Hannah Lightfoot,"George IV of the United Kingdom|Prince Frederick, Duke of York and Albany|William IV|Charlotte, Princess Royal|Prince Edward, Duke of Kent and Strathearn|Princess Augusta Sophia of the United Kingdom|Princess Elizabeth of the United Kingdom|Ernst August II of Hanover|Prince Augustus Frederick, Duke of Sussex|Prince Adolphus, Duke of Cambridge|Princess Mary of the United Kingdom|Princess Sophia of the United Kingdom|Prince Octavius of Great Britain|Prince Alfred of Great Britain|Princess Amelia of the United Kingdom",,,,,"John Stuart, 3rd Earl of Bute",,,,,,
Q203371,874,wikidata,第一部分,"133,结论",第五章,2,Georges de la Tour,Georges de La Tour,Georges du Mesnil De La Tour|Georges du Mesnil de La Tour|Dumesnil La Tour|Claude du Menil De La Tour|Claude du Menil de La Tour|Georges du Mesnil La Tour|Georges Du Mesnil de La Tour|Georges Du Mesnil La Tour|Zhorzh dʹo La Tur|Georges Dumesnil La Tour|Georges De La Tour|Georges de la Tour|Ménil La Tour|Georges Latour|Georges de Latour|Georges du Mesnil Latour|Georges Dumesnil Latour|Georges Du Mesnil De La Tour|George see La Tour For de La Tour|Menil La Tour|georges latour|de la Tour|Sr. Latour|g. de la tour|Latour|La Tour|georges de la tour,722,Vic-sur-Seille,Vic-sur-Seille,human,1593,1652,Lunéville,painter|architectural draftsperson,Duchy of Lorraine,art of painting,Lunéville,,male,,,,,,,,The Apparition of the Angel to St. Joseph,classicism,Caravaggisti|genre painting|religious painting,,,,,,,,,Jacques Bellange|Caravaggio,,,,,,,,"Henry II, Duke of Lorraine"
Q314548,877,wikidata,第一部分,94,第四章,1,Honthorst,Gerard van Honthorst,"Gherardo delle Notti|Gherardo delle Notte|Gherardo Fiammingo|Gerard Hermansz. van Honthorst|Gerrit Honthorst|Gerardus van Honthorst|Gerard Honthorst|Gerrit Hermansz. van Honthorst|Gherardo Fiammingo Honthorst|Delle Notti Honthorst|Gherardo de la Notte|Gherardo Fiammingo Gérard|Gerard Honthurst|Gerard Hontorst|Gherard Honthorst|Gherardo delle Notti Honthorst|Gerrit Hermansz. van Gérard|Gerardo delle Notti|Gherardo Della Notte|Gerard Van Honthorst|Gerrit van Honthorst|Ghirardo delle Notti|Gherardo delle Notti Gérard|Gherardo della Notte|Gerhard Honthorst|Gerard von Honthorst|Gherardo Della Notte Honthorst|Monsù Giraud della notte|Gerard de la Notte|Gherardo Delle Notti|Gerrit Van Honthorst|Gherardo Fiamengo|Gerard Van, Honthorst|Gerardo fiamengo|Gerrit Honthurst|Ghirardo fiamengo|Ghirardo Fiammingo|Gerrit van Gérard|Ghirardo Fialdengo|Gerardo Fiamengo|Gherardo Fiammingo Gerard|Gerrit Hermansz. van Gerard|Gherardo delle Notti Gerard|Monsu Giraud della notte|Gerrit van Gerard|Gerard Hondthorst|G. Hontherst|G. dalle Notte|Gerardo delle notti|Gerh. van Honthorst|Gérard della Note|Gerhardt Hondthorst|Delle Notte|Monsu` Giraud della notte|Honthors|Onthorst|Girardo fiame'go|dit de la Note Gérard Honthorst|della Notte|hont-horst|Gerard de la Nottie|Hunthorst|Ghirardo|Monsieur Gherardi delle Notti|Houthorst|Hontos|Honttorst|Henthorst|Gherardo della Notte Gerard Honthorst|G. Hondhorst|Ghirardo-della notte|G. de la Notte|Ger. Hondthorst|Ontorst|Horthorst|G.V. Honthorst|G. della Notti|dit Gerardo delle notte G. Honthorst|Gerrit van Honthorst gen. Gherado della Notte|Honthorse|genannt de la Notte G. Hondhort|gerhard honkorst|Gherardo Dalle notti|Gér. Honthorst|Gerardo fiammengo|G. Hontorse|Gerhard Huntorst|Gerard Hout Horst|Honhorst|della Note|honthorst gerard van|J. Hondhorst|G. Houthorst|Hontorst|Gherardo della Notte.|gerhard van honthorst|Gerard Hondhorst|G. da Lanoti|Gerhard Honderhorst|G. De Notte|Hundhorst|Girardo dalle Notti|Honthorst detto Gherardo delle notti|Monsù Geraldi|Monsù Geraldo|Fiamingo della notte|Ger. Notte|gerard v. honthorst|Hondthor|Guarardo dalle notti|Gerardo Honzorst|Hornthorst|G. Notti|Honterst|Gerard de la Notti|Nurdorft|G. Della-Notti|honthorst gerard von|Monsù Gherardo delle Notti|called Gerardo Dalle Notte Gerard Honthorst|Gerald del Notte|Geraldi|Hontest|Hondthorst|G. Honthout|Honthoust|Honthont|Honthurst|gerard honthorst|Gérard delle Notte|Hondtorst|Hondhorst|Honthorst|Gherardo Fiammingo (unidentified)|Hontors|Gerh. Hondhorst|G. Hondthorst|Ger. de la Notte|Houthors|Chirardo|Gerh. Honthorst|Gerado dalle Notti|Gherardo dalla Notte|Gérard de la Notte|Gerrardot de Lanotti|G. Della Notte|Girardo della-Notte|Hoondhorscht|Perado delle Notti|Gerardo Noti|Gerardo|Gerardi|Gerrardo della Notte|Honthoist|Ghirardo della Notte|Ger. Del Notti|Gerhard Hondhorst|Ger. Honthorst|Gérard Honthorst|gerhard von honthorst|Monsù Gerardo|Monsù Gherardo Fiamengo|Gérard Delanotte|G. Hontorst|Hohndorst|Gherado|Gerardus Honthorst|Gherardo Fiammingo detto della notte|Gérard Hontorst|Della Nottee|G. Hondorst|Ghirardo Horthorst|Gérard Hortose|Gerh. Hundhorst|gerard von honthorst|Hundthorst|G. del Notta|Hondorst|G. Honthurst|Gerard Hontorts|Honttorze|G. Delanote|Gherardo delle Nuti|Gérard Hontorts|G. de la Natre|Gherardi|G. Hont Horst|Gherardo|C. Honthorst|Carado|Guérard de Lanotte|C. della Notte|Gerardo Fiamingo|G. Honthorst|Honthorst Gerh.|Gherardo delle Note|Monsu Ghilard|G. Delanotes|gerardo fiammingo|G. V. Honthorst|Gerrit von Honthorst",723,Utrecht,Utrecht,human,1592,1656,Utrecht,painter|architectural draftsperson|printmaker|visual artist,Dutch Republic,,Rome|Florence|The Hague|Utrecht|London,,male,,,,,,,,"Portrait of William III, Prince of Orange, and Maria, Princess of Orange, as Children|The Procuress",Utrecht Caravaggism,genre painting|portrait|art of painting|mythological painting|history painting|Christian art,,,,Willem van Honthorst,,,,,,,Abraham Bloemaert,Joachim von Sandrart the Elder,,,,,Vincenzo Giustiniani
Q53628961,878,wikidata,第二部分,233404,第八章,2,Gerhard Ewald,Gerhard Ewald,,724,Strasbourg,Strasbourg,human,1927,1997,,art historian,Germany,,,,male,,,,,,,Order of Merit of Baden-Württemberg,,,,,,,,,,,,,,,,,,,,
Q209212,879,wikidata,第一部分,95,第四章,2,Gerolamo Frescobaldi,Girolamo Frescobaldi,Girolamo Alessandro Frescobaldi,725,Ferrara,Ferrara,human,1583,1643,Rome,organist|composer|harpsichordist,Duchy of Ferrara,,,,male,,,,,,,,,Baroque music,Baroque music|Baroque,,,,,,,,,,,Luzzasco Luzzaschi,Johann Jakob Froberger|Johann Kaspar Kerll|Franz Tunder,,,,,
Q30524250,881,wikidata,第一部分,"109,264",第四章,3,Gherardo Saracini,Gherardo Saracini,,726,,,human,,,,poet,Italy,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1748199,883,wikidata,第一部分,"12,18,80,88,122,136,197,207,210,307",第一章,12,Giacinto Brandi,Giacinto Brandi,Diacinto Brandi|Giacomo Brandi|Hyacinta Brandi|Giacinto Brandj|Jacinto Brandi|Giacinto Corandi|Jacinto Brandy|Brandi|H. Brandi|Hyacinthe Brandi|Giac. Brandi|Diacinto|giacinto randi|Hyacynthe Brandi|Hyacinth Brandy|Giac.o Brandi|Hiachinte Brandi|Jazintto Brandi|Giacinto Branda|G. Brandi|Jacintho Brandi|Jacinthe de Brande|Giacinto Prandi|Hyacintho Brande,727,Poli,Poli,human,1621,1691,Rome,painter,Italy,art of painting,Rome|Parma,,male,Pontifical Academy of Fine Arts and Letters of the Virtuosi al Pantheon|Accademia di San Luca,,,,,,,Christ buried by Joseph of Arimathea,Baroque,,,,,,,,,,,,Giovanni Giacomo Semenza|Giovanni Lanfranco|Alessandro Algardi,Francesco Boccaccino|Giacinto Boccanera|Felice Ottini,,,,,
Q957255,884,wikidata,第二部分,192197,第七章,2,Giacinto Calandrucci,Giacinto Calandrucci,Calandrucci Giacinto|Caland.|Giacinto Calandrucci scolare di Maratta|Calandruci|Calan.|Calandrucci|Cal.|Le Calandrucci,728,Palermo,Palermo,human,1646,1707,Palermo,painter|printmaker,Italy,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28848553,885,wikidata,第一部分,131146,第五章,2,Giacinto Gigli,Giacinto Gigli,,729,Rome,Rome,human,1594,1671,Rome,literary|historian,Papal States,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1053697,886,wikidata,第二部分,201214,第七章,2,Giacomo Antonio Boni,Giacomo Boni,Giacomo Antonio Bona|Giacomo Antonio Boni|Giacomo Antonio del Bono|Giacomo Antonio Bono|Giacomo Antonio Buoni,730,Bologna,Bologna,human,1688,1766,Genoa,painter,,art of painting,,,male,,,,,,,,,Baroque,,,,,,,,,,Carlo Cignani,,,,,,,,
Q83321,887,wikidata,第三部分,"'267,268,274,364,367,375",第九章,6,Giacomo Casanova,Giacomo Casanova,Casanova|Kazanova|Giacomo Girolamo Casanova di Seingalt|Giacomo Girolamo Casanova de Seingalt|Giovanni Giacomo Casanova de Seingalt|ג'אקומו קאזאנובה|Jacques Casanova de Seingalt|Jacques Casanova|Dzhiakomo Kasanova|Джакомо Казанова|Giacomo Girolamo Casanova De Seingalt|Casanova de Seingalt,731,Venice,Venice,human,1725,1798,Vienna,translator|poet|librarian|banker|novelist|diplomat|Iliad's translator|writer|adventurer|autobiographer,Republic of Venice,creative and professional writing|diplomacy,,,male,,Duchcov,Catholic Church,University of Padua,,,Order of the Golden Spur,Histoire de ma vie|Story of my flight from the prisons of the Venetian Republic,,,,Gaetano Casanova|Michele Grimani,Zanetta Farussi,Giovanni Battista Casanova|Francesco Giuseppe Casanova,,Leonilda Castelli|Cesarino Lanti,,,,,,,,,,,
Q524248,888,wikidata,第三部分,312314,第十一章,2,Giacomo Ceruti,Giacomo Ceruti,il Pitocchetto|Giacomo Antonio Ceruti|Il Pitocchetto|Pitocchetto|Il Pittocchetto|Giacomo Il Pitocchetto|Jacobus Ceruti|Jacopo Ceruti|jakopo ceruti|Ceruti|Giacomo Antonio Melchiorre Ceruti,732,Milan,Milan,human,1698,1767,Milan,painter,Duchy of Milan,art of painting,,,male,,,,,,,,,Baroque,genre painting,,,,,,,,,Antonio Cifrondi|Giacomo Francesco Cipper,,Carlo Ceresa,,,,,,
Q478191,889,wikidata,第二部分,200201,第七章,3,Giacomo del Po,Giacomo del Pò,Giacomo Del Po|giac. de po|Jacob-del-po le fils|Giacomo Del Pò|Jacomo del Pò|Giro Lama del Po|Giacomo|le fils Jacob Del-Po|Giacomo del Po`|Giacomo del Pó|Giacomo del Po,733,Rome,Rome,human,1652,1726,Naples,painter|architect|architectural draftsperson,,,Rome|Naples|Vienna,,male,,,,,,,,,Baroque,religious painting|genre painting|history painting|mythological painting,,,,,,,,,,,,,,,,,
Q175566,891,wikidata,第一部分,"71,91",第三章,2,Giacomo della Porta,Giacomo della Porta,Giacomo Della Porta,734,Porlezza,Porlezza,human,1532,1602,Rome,architect|sculptor,,architecture|basilica|palace|reconstruction|art of sculpture,Rome,,male,,,,,,,,Palazzo Grazioli,Renaissance architecture,,,,,,,,,,,,Michelangelo|Giacomo Barozzi da Vignola,,,,,,
Q3105105,892,wikidata,第一部分,160,第六章,1,Giacomo Di Castro,Giacomo di Castro,Giacomo de Castro|Giacomo Di Castro|Jacovo di Castro,735,Sorrento,Sorrento,human,1590,1687,,painter,,,,,male,,,,,,,,,,marine art,,,,,,,,,,,,,,,,,
Q3805882,893,wikidata,第三部分,"260,297,340,361,431",第九章,5,Giacomo Guarana,Jacopo Guarana,Guarana,736,Verona,Verona,human,1720,1808,Venice,painter|graphic artist,Republic of Venice,,Venice,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5557896,894,wikidata,第一部分,"XVI,353",第一章,2,Giacomo Leonardis,Giacomo Leonardis,Jacopo Lenardi|Jacopo Lenardis|Jacopo Leonardis|Giacomo Lenardis|Giacomo Lenardi,737,Palmanova,Palmanova,human,1723,1794,Venice,painter|etcher|drawer,Republic of Venice,,Venice,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q721253,895,wikidata,第三部分,281286,第十章,2,Giacomo Leoni,Giacomo Leoni,James Leoni,738,Venice,Venice,human,1686,1746,London,architect,Republic of Venice,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15896926,896,wikidata,第一部分,152,第六章,1,Giacomo Lomellini,Giacomo Lomellini,Doge of Genoa,739,Genoa,Genoa,human,1570,1652,Genoa,politician,Republic of Genoa,,,,male,,Basilica della Santissima Annunziata del Vastato,,,,,,,,,,,,,,,,,,,,,,,,,
Q2253531,897,wikidata,第二部分,203,第八章,1,Giacomo Luigi Brignole,Giacomo Luigi Brignole,,740,Genoa,Genoa,human,1797,1853,Rome,Catholic priest,,,,,male,,Santa Cecilia in Trastevere,Catholic Church,Sapienza University of Rome,,,,,,,,Giacomo Maria Brignole,,,,,,,,,,,,,,,
Q1114705,898,wikidata,第一部分,"59,78,98,101,106,107,109,111,112,113,114,117,177",第二章,20,Giacomo Lumbroso,Giacomo Lumbroso,"Giacomo, barone Lumbroso",741,Le Bardo,Le Bardo,human,1844,1925,Rapallo,archaeologist|historian of classical antiquity|hellenist|papyrologist|university teacher,Kingdom of Italy,,,,male,Lincean Academy|Royal Prussian Academy of Sciences|Academy of Sciences of Turin,,,Humboldt University of Berlin,,,,,,,,,,,,Alberto Lumbroso,,,,University of Palermo|University of Pisa|Sapienza University of Rome,,,,,,,
Q85969264,899,wikidata,第二部分,174208214,第七章,3,Giacomo Querini,Giacomo Querini,,742,Venice,Venice,human,1650,,,,Republic of Venice,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3105094,900,wikidata,第一部分,"70,71",第三章,6,Giacomo Serra,Giacomo Serra,,743,Genoa,Genoa,human,1570,1623,Rome,Catholic priest|Catholic bishop,Republic of Genoa,,,,male,,Santa Maria della Pace,Catholic Church,,,,,,,,,Antonio Serra,Claudia Lomellini,,,,,,,,,,,,,,
Q357872,902,wikidata,第二部分,182183,第七章,2,Giacomo Torelli,Giacomo Torelli,Giacomo Torello|Cavaliere Giacomo Torelli|Cavaliere Torelli|Giacomo Cavalein Torelli,744,Fano,Fano,human,1608,1678,Fano,scenographer|engineer|architect|painter,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5879238,903,wikidata,第一部分,XVIII,第一章,1,Giacomo Triga,Giacomo Triga,,745,,,human,1674,1746,,painter,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3766546,904,wikidata,第三部分,"28,159,175,233,397,398",第十七章,6,Giambattista Agucchi,Giovanni Battista Agucchi,"Machati, Gratiadio Agucchi|Machati, Gratiadio dalle Agocchie|Giovanni Battista dalle Agocchie|Machati, Gratiadio Agucchia|Giovanni Battista Agocchi|Monsignor Giovanni Battista Agucchi|Machati, Gratiadio Agocchi|Giovanni Battista Agucchia",746,Bologna,Bologna,human,1570,1632,Susegana,astronomer|Catholic priest|diplomat,,,,,male,Accademia dei Gelati,,Catholic Church,,,,,,,,,,,Girolamo Agucchi,,,,,,,,,,,,,
Q21748854,905,wikidata,第一部分,"XV,334,335,336,337,339,343,344,345,349,374",第一章,32,Giambattista Albrizzi,Giovanni Battista Albrizzi,Giambattista Albrizzi,747,Venice,Venice,human,1698,1777,,publisher|journalist|cartographer,Republic of Venice,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q332489,907,wikidata,第一部分,"38,44,104,115,118,123",第二章,7,Giambattista Marino,Giambattista Marino,Gian Battista Marino|Giovan Battista Marino|Giambattista Marini,748,Naples,Naples,human,1569,1625,Naples,poet|writer|playwright,Kingdom of Naples,,Naples|Rome|Paris,,male,Accademia degli Umoristi|Accademia degli Oziosi,,,,,,,L'Adone|La strage degli innocenti,Baroque,narrative poetry|canzone|sonnet|madrigal,,,,,,,,,,,,,,,,,
Q962495,908,wikidata,第一部分,"3,4,7,16,29,34,36,49,53,55,60,72,73,74,75,104,112,122,132,134,135,136,138,141,145,146,149,171,172,176,179,183",第一章,57,Giambattista Passeri,Giovanni Battista Passeri,Giovanni Battista Passero|Giovanni Battista Passari|Giovanni Battista Passaro,749,Rome,Rome,human,1610,1679,Rome,painter|art historian,,,,,male,,,,,,,,,,still life,,,,,,,,,,,,,,,,,
Q55769135,910,wikidata,第一部分,142143144145169,第五章,5,Giambattista Ricciardi,Giovan Battista Ricciardi,Giovanni Battista Ricciardi,750,Pisa,Pisa,human,1623,1686,Pisa,philosopher|poet,,,,,male,Accademia delle Arti del Disegno,,,,,,,,,,,,,,,,,,,,,,,,,,
Q178709,911,wikidata,第三部分,320337,第十二章,2,Vico,Giambattista Vico,Gianbattista Vico|Giovan Battista Vico|John Baptist Vico|Giovanni Battista Vico,751,Naples,Naples,human,1668,1744,Naples,philosopher|sociologist|historian|collector of fairy tales|jurist,Kingdom of Naples,philosophy,,,male,Arcadian Academy,,Catholicism,University of Naples Federico II,,,,The New Science|De nostri temporis studiorum ratione|De antiquissima Italorum sapientia|De rebus gestis Antonii Caraphaei,,,,,,,Teresa Caterina Destito,,,,,University of Naples Federico II,Francesco Verde,,,,,,
Q327262,912,wikidata,第三部分,262268271,第九章,4,Giambettino Cignaroli,Giambettino Cignaroli,Gio. Bettino Cignaroli|Giovanni Bettino Cignaroli|Giovann Battista Bettini Cignaroli|Gianbettino Cignaroli|Giovanni Battista Cignaroli|gianbattista cignaroli|Cignaroli|cignaroli giambettino gn.|giambettino cignaroli|Cignarolli|giovanni battista cignaroli,752,Verona,Verona,human,1706,1770,Verona,painter|drawer|graphic artist,Republic of Venice,,Verona,,male,,,,,,,,,Rococo,,,,,,,,Diomiro Cignaroli|Giovanni Domenico Cignaroli,,,,Santi Prunati,,,,,,
Q220136,913,wikidata,第二部分,"178,251,253,325,342,362,376",第七章,8,Giambologna,Giambologna,Jean de Boulogne|John Of Bologna,753,Douai,Douai,human,1529,1608,Florence,sculptor|architect|visual artist,Kingdom of France,art of sculpture|architecture|mannerism,,,male,,,,,,,,Rape of the Sabine Women|Heracles and Nessus|Saint Luke,mannerism,,,,,,,,,,,,Jacques du Broeucq,Hans Mont,,,,,
Q1135967,915,wikidata,第二部分,215,第八章,1,Giampaolo Cavagna,Giovanni Paolo Cavagna,Gianpaolo Cavagna|Giovanni Cavagna|Giovan Paolo Cavagna|Giampaolo Cavagna|Gian Paolo Cavagna,754,Bergamo,Bergamo,human,1550,1627,Bergamo,painter|artist,,,Treviglio|Cremona|Venice|Bergamo|Brescia,,male,,,,,,,,,,,,,,,,,,,,,Cristoforo Baschenis il Vecchio|Giovanni Battista Moroni,,,,,,
Q3106993,916,wikidata,第一部分,"21,79,85,90,122,312",第一章,6,Gian Andrea Carlone|Gianandrea Carlone|Giovanni Andrea Carlone|Carlone,Andrea Carlone,Giovanni Andrea Carlone|André Carlone|Giovanni Andrea Carloni|Gio. Andrea Carlone,755,Genoa,Genoa,human,1639,1697,Genoa,painter,Switzerland,,,,male,,,,,,,,,,,,Giovanni Battista Carlone,,Niccolò Carlone,,,,,,,,,,,,,
