QID,序号,章节,原文英文全名,统一英文全名,P170|标签|创建者英文,P31|标签|实例英文,P571|标签|创作年,P17|标签|国家英文,P495|标签|原产国英文,P2048|标签|高度,P2049|标签|宽度,P195|标签|收藏英文,P276|标签|位置英文,P18|标签|图片英文,P921|标签|主要主题英文,P135|标签|运动英文,P1071|标签|创作地点英文,P88|标签|委托英文,P84|标签|建筑师英文,P149|标签|建筑风格英文,词频,页码,P859|标签|委托人/赞助人英文,P608|标签|展示地英文,T195|标签|收藏方英文,T9|标签|作者国籍英文,T6|标签|现存城市英文,T8|标签|作品属性英文
Q119782763,746,图版目录,Sir Thomas Isham,"Sir Thomas Isham (1656–1681), 3rd Bt Isham",Carlo Maratta,painting,,United Kingdom,,58 cm,50 cm,Lamport Hall,Lamport Hall,,,,,,,,1,XIV,Gyles Isham,,Bt Lamport Hall,Italian,Lamport,Portrait
Q119906345,757,,St Peter Martyr,The Assassination of St Peter the Martyr (after Titian),William Hilton,painting,,,,109 cm,76 cm,Usher Gallery,Usher Gallery,,,,,,,,1,233,,,,,,
Q62022439,758,,St Sebastian,The Martyrdom of St. Sebastian,Anthony van Dyck,painting,1622,,,191.5 cm,141.5 cm,Royal Monastery of San Lorenzo de El Escorial,Royal Monastery of San Lorenzo de El Escorial,"Martirio de San Sebastián (Van Dyck, El Escorial).jpg",martyrdom of Saint Sebastian,,,,,,1,206,Bartolommeo Passante,,,,,
Q77959687,762,第二章,St. Andrew,Saint Andrew,Fran?ois Duquesnoy,sculpture,1633,Vatican City,,,,,St. Peter's Basilica,Saint Andrew by Fran?ois Duquesnoy.jpg,,Baroque,,,,,,61,Pope Urban VIII,,,Flemish,Vatican City,Religious themes (Saints' lives)
Q20087448,773,第四章,St. John the Baptist,Madonna and Child with the Infant Saint John the Baptist,Leonardo da Vinci,painting,1470,France,,71.8 cm,50.5 cm,,,Leonardo da Vinci The Madonna and Child with the Infant Saint John the Baptist.jpg,Madonna and Child,,,,,,2,100348,,Fontainebleau,,Italian,Paris,Religious themes (Biblical stories)
Q7401650,776,第二章,St. Longinus,Saint Longinus,Gian Lorenzo Bernini,sculpture,1629,Vatican City,,,,,St. Peter's Basilica,"Gianlorenzo bernini, san longino, 1639, 01.jpg",,Baroque,,,,,,61,Pope Urban VIII,St. Peter's Basilica,,Italian,Vatican City,Religious themes (Saints' lives)
Q7591669,783,第二章,St. Sebastian,Saint Sebastian,Gian Lorenzo Bernini,sculpture of a saint|statue,1617,Spain,,,,Thyssen-Bornemisza Museum,Madrid,"Gianlorenzo bernini, san sebastiano, 1616-17 (museo thyssen-bornemisza) 01.jpg",martyrdom of Saint Sebastian,Baroque,,,,,,44,,,Urban VIII,Italian,Rome,Religious themes (Saints' lives)
Q42195908,784,第四章,St. Susanna,Saint Susanna,Fran?ois Duquesnoy,sculpture,1630,Italy,,,,,Santa Maria di Loreto,F Duquesnoy Santa Susana 1629 Loreto.jpg,,,,,,,1,104,,Chiesa Santa Maria di Loreto,,Flemish,Rome,Sculpture
Q121790161,789,第十五章,Statue of Antonio Canova,Venus Italica,Antonio Canova,statue,1807,Switzerland,,,,Musée d’Art et d’Histoire de Genève,Musée d’Art et d’Histoire de Genève,Venus Italica-Antonio Canova-MAHG 1846-0003-IMG 8876.JPG,,,,,,,,366-367,Giovanni Ferrari,,,Italian,Padua,Portrait
Q117456254,804,第十章,Susanna and the Elders,Susanna and the Elders,Sebastiano Ricci,painting,1713,United Kingdom,,83.2 cm,102.2 cm,Chatsworth House,,Sebastiano Ricci 059.jpg,Susanna and the Elders,,,,,,1,280,Richard Boyle|3rd Earl of Burlington,Duke of Devon's country house,,Italian,Derbyshire,Religious themes (Biblical stories)
Q29871346,806,,Susanna and the Elders,Susanna and the Elders,Anthony van Dyck,painting,1621,,,194 cm,144 cm,Bavarian State Painting Collections|Electoral Gallery Dusseldorf|Johann Wilhelm von der Pfalz collection,Alte Pinakothek,Anthonis van Dyck 053.jpg,Susanna and the Elders,,,,,,1,206,,,Bartolommeo Passante,,,
Q19897770,815,,Temple of Solomon,Solomon in the Temple,Fran?ois de Nomé,painting,,,,,,Martin von Wagner Museum,Martin von Wagner Museum,"Nomé, Francois — Salomo im Tempel.JPG",,,,,,,1,213,The Del · Rosso family,,,,,
Q118876935,817,第七章,The Abduction of Helen|Rape of Helen,The Abduction of Helen,Guido Reni,painting,,Spain,,62 cm,75.5 cm,Bowes Museum,Bowes Museum,,,,,,,,2,172184,Philip IV of Spain,,,Italian,Madrid,Mythology (Ancient Greek mythology)
Q18600136,820,第二章,The Andrians,The Andrians,Peter Paul Rubens,painting,1635,Spain,,200 cm,215 cm,Nationalmuseum,Nationalmuseum,Peter Paul Rubens - The Andrians - Google Art Project.jpg,,,,,,,1,25,Alfonso I d'Este,,Pietro Aldobrandini,Italian,Madrid,Mythology (Roman mythology)
Q119207792,822,第四章,The Arcadian Shepherds(First version),The Arcadian Shepherds (after Nicolas Poussin),Robert Medley,painting,1926,United Kingdom,,65 cm,91.5 cm,Royal Academy of Arts,Royal Academy of Arts,,,,,,,,2,"57,57",Giulio Rospigliosi,,Carlo Camillo II Massimo,French,Chatsworth,Mythology (Modern allegory)
Q109925916,823,第二章,The Archangel Michael trampling on the Devil,Archangel Michael defeats Satan,Guido Reni,painting,1630,Italy,,293 cm,202 cm,Santa Maria della Concezione dei Cappuccini,Santa Maria della Concezione dei Cappuccini,GuidoReni MichaelDefeatsSatan.jpg,Michael,,,,,,1,43,Antonio Barberini,Chapel of St. Lawrence,,Italian,Rome,Religious themes (Biblical stories)
Q119950356,826,第十章,The Ascension,The Ascension of Christ,Sebastiano Ricci,painting,,United Kingdom,,99.8 cm,75.5 cm,Shipley Art Gallery,Shipley Art Gallery,,Ascension of Jesus,,,,,,,278,"Henry Bentinck, 1st Duke of Portland",Zwinger,,Italian,,Religious themes (Biblical stories)
Q2182509,830,第十五章,The Ascension of Christ,Cristo della Minerva,Michelangelo,statue of Jesus,,Italy,,205 cm,,Santa Maria sopra Minerva,Santa Maria sopra Minerva,Michelangelo-Christ.jpg,,High Renaissance,,Metello Vari|Pietro Paolo Castellani,,,2,35362,,Santa Maria sopra Minerva,,Italian,Rome,Religious themes
Q50949392,833,第十章,The Assumption of the Virgin,The Assumption of the Virgin,Giovanni Battista Piazzetta,painting,1735,Germany,,74 cm,58 cm,"Museum of Fine Arts, Budapest","Museum of Fine Arts, Budapest",,Assumption of Mary,,,,,,,296,Karl Philipp von Greifenclau zu Vollraths,,,Italian,Würzburg,Religious themes (Biblical stories)
Q88588324,835,第十一章,The Assumption of the Virgin,The Assumption of the Virgin,Pierre-Paul Prud'hon,painting,1817,,,32.3 cm,24.2 cm,The Wallace Collection,The Wallace Collection,Pierre-Paul Prud'hon (1758-1823) - The Assumption of the Virgin - P272 - The Wallace Collection.jpg,Assumption of Mary,,,,,,1,312,,,,French,,Religious themes (Biblical stories)
Q77007619,837,图版目录,The Banquet of Antony and Cleopatra,The Banquet of Antony and Cleopatra,Jean-Honoré Fragonard,print,1763,,,19.5 cm,15.2 cm,National Gallery of Art|Prints in the National Gallery of Art,National Gallery of Art,"Jean-Honoré Fragonard after Giovanni Battista Tiepolo, The Banquet of Antony and Cleopatra, 1763-1764, NGA 165520.jpg",,,,,,,3,"XVI,257,409",Labia Family,,Musée Cognacq-Jay,Italian,,History (Ancient history)
Q19911646,842,第十章,The Baptism of Christ,The Baptism of Christ,Sebastiano Ricci,painting,1713,United Kingdom,,66 cm,101.6 cm,Metropolitan Museum of Art,Metropolitan Museum of Art,The Baptism of Christ MET DT9354.jpg,Baptism of Jesus,academic art,,,,,1,280,"Henry Bentinck, 1st Duke of Portland",Bulstrode Park country house,,Italian,,Religious themes (Biblical stories)
Q1232131,847,第五章,The Beaneater,The Bean Eater,Annibale Carracci,painting,1580,Italy,,57 cm,68 cm,Palazzo Colonna,Palazzo Colonna,Carracci - Der Bohnenesser.jpeg,,,,,,,1,134,,,Colonna Gallery,Italian,Rome,Daily life (Genre painting)
Q11710021,852,第八章,The Blind Homer,Homer,Rembrandt,painting,1663,,,107 cm,82 cm,Mauritshuis,Mauritshuis,"Rembrandt Harmensz. van Rijn 061.jpg|Homerus, Rembrandt van Rijn, 1663, Mauritshuis, The Hague.jpg",,Dutch Golden Age painting,,,,,1,210,Antonio Ruffo,,,Dutch,,Portrait
Q50948769,853,,The Blood of Christ,The Apotheosis of Christ's Blood and the Holy Cross (bozzetto),Giovanni Battista Gaulli,painting,1686,,,36.2 cm,48 cm,"Museum of Fine Arts, Budapest","Museum of Fine Arts, Budapest",,,,,,,,1,82,,,,,,
Q124039533,855,第二章,The Capture of Jerusalem by the Emperor Titus,The Capture of Jerusalem by Titus,Nicolas Poussin,painting series,,,,,,,,,,,,,,,3,"44,45,46",Francesco Barberini,,,French,,History (Ancient history)
Q118993578,858,图版目录,The Choice of Hercules,The Choice of Hercules,Paolo de Matteis,painting,1712,United Kingdom,,198.2 cm,256.5 cm,Ashmolean Museum,Ashmolean Museum,,,,,,,,2,"XIII,198",Leeds Nobility,,Temple Newsam,Italian,Leeds,Mythology (Ancient Greek mythology)
Q64800013,863,,The Continence of Scipio,The Continence of Scipio,Giovanni Domenico Tiepolo,painting,1751,,,120.5 cm,98.0 cm,St?del Museum,St?del Museum,The Continence of Scipio (SM 1009).png,,,,,,,1,256,Carlo Cordellina,,,,,
Q3224346,868,,The Crucifixion of St Peter,Crocifissione di Pietro,Mattia Preti,painting,1630,France,,336 cm,242 cm,Museum of Grenoble,Museum of Grenoble,Crocifissione di Pietro - Mattia Preti.jpg,,,,,,,1,208,Yang Van Deng Ainden,,,,,
Q2513438,869,第二章,The Dance of Human Life,A Dance to the Music of Time,Nicolas Poussin,painting,1635,United Kingdom,,82.5 cm,104 cm,The Wallace Collection,The Wallace Collection,The dance to the music of time c. 1640.jpg,,classicism,,Clement IX,,,2,"57,57",Giulio Rospigliosi,,,French,London,Symbolism
Q17442910,870,第七章,The Death of Cleopatra,Death of Cleopatra,Alessandro Turchi,painting,1640,,Italy,255 cm,267 cm,Department of Paintings of the Louvre,Room 716|Galerie dorée de la Banque de France,Turchi Alessandro La mort de Cléopatre.jpg,death of Cleopatra,,Madrid,"Louis Phélypeaux, seigneur de La Vrillière",,,1,185,Louis Phélypeaux de La Vrillière,,,Italian,,History (Ancient history)
Q50821144,871,第十四章,The Death of Darius,The death of Darius,Giovanni Battista Piazzetta,painting,1745,Italy,,40.8 cm,78.7 cm,Fitzwilliam Museum,Fitzwilliam Museum,Giovanni Battista Piazzetta (1683-1754) - The Death of Darius - 1117 - Fitzwilliam Museum.jpg,,,,,,,1,355,Francesco Algarotti,,Palazzo Barbaro Curtis,Italian,Venice,History (Ancient history)
Q55831023,872,第七章,The Death of Dido,Death of Dido,Guercino,painting,1631,,,287 cm,,Galleria Spada,Galleria Spada,Guercino Morte di Didone.jpg,death of Dido,,,,,,1,172,Philip IV of Spain,,,Italian,,Mythology (Roman mythology)
Q20890835,874,第二章,The Death of Germanicus,The Death of Germanicus,Nicolas Poussin,painting,1627,United States,,147.96 cm,198.12 cm,Minneapolis Institute of Art,Minneapolis Institute of Art,Nicolas Poussin - The Death of Germanicus - Google Art Project.jpg,,,France,Francesco Barberini,,,2,"45,46",Francesco Barberini,,,French,Minneapolis,History (Ancient history)
Q3863245,876,第八章,The Death of Seneca,Death of Seneca,Luca Giordano,painting,1684,,,155 cm,188 cm,Department of Paintings of the Louvre,Louvre storage (depot),La mort de seneque.jpg,,,,,,,1,214,Marchese Girolamo Durazzo,,,Italian,,History (Ancient history)
Q17652393,882,图版目录,The Drunken Silenus,Drunken Silenus,Jusepe de Ribera,painting,1626,Italy,,185 cm,229 cm,National Museum of Capodimonte,National Museum of Capodimonte,"Sileno ebrio, por José de Ribera.jpg",,,,,,,2,"XIV,205",Neapolitan Nobility,,Museo di Capodimonte,Spanish,Naples,Mythology (Ancient Greek mythology)
Q1213151,886,第三章,The Entombment of Christ,The Entombment of Christ,Caravaggio,painting,1602,Vatican City,,300 cm,203 cm,Pinacoteca Vaticana,Pinacoteca Vaticana,The Entombment of Christ-Caravaggio (c.1602-3).jpg,entombment of Christ,Baroque,,,,,1,70,Alessandro Vittrice,,,Italian,Vatican City,Religious themes (Biblical stories)
Q18167078,893,第十四章,The Feast of Cleopatra,The Banquet of Cleopatra,Giovanni Battista Tiepolo,painting,1743,,,250.3 cm,357.0 cm,National Gallery of Victoria,National Gallery of Victoria,Giambattista Tiepolo - The Banquet of Cleopatra - Google Art Project.jpg,,,,,,,,533-534,Joseph Smith,,,Italian,,History (Ancient history)
Q27955591,894,图版目录,The Feast of Herod,The Feast of Herod,Peter Paul Rubens,painting,1636,United Kingdom,,208.00 cm,264.00 cm,National Galleries Scotland,Scottish National Gallery,Peter Paul Rubens 018.jpg,beheading of John the Baptist,,,,,,3,"XIV,206,208",Gaspar Roomer,,National Gallery of Scotland,Flemish,Edinburgh,Religious themes (Biblical stories)
Q67203478,897,第八章,The Flaying of Marsyas,Apollo flaying Marsyas,Jusepe de Ribera,painting|painting series,1637,,,182 cm,232 cm,National Museum of Capodimonte,National Museum of Capodimonte,José de Ribera 004.jpg,Apollo and Marsyas,,,,,,1,205,Gaspar Roomer,,Museo di S. Martino,Spanish,,Mythology (Roman mythology)
Q60469737,899,,The Flight into Egypt,Rest on the Flight into Egypt,Guercino,painting,1624,,,,,Cleveland Museum of Art,Cleveland Museum of Art,Guercino - Rest on the Flight into Egypt - 1967.123 - Cleveland Museum of Art.tiff,rest on the flight into Egypt,,Italy,,,,1,227,Stefano Conti,,,,,
Q64538230,900,,The Flightin to Egypt,The Flight into Egypt,Carlo Dolci,painting,1648,,,,,Detroit Institute of Arts,Detroit Institute of Arts,Carlo Dolci - The Flight into Egypt - 72.222 - Detroit Institute of Arts.jpg,Flight into Egypt,,,,,,1,212,Lorenzo Onofrio Colonna,,,,,
Q118397664,901,,The Flood,The Great Flood,Pietro Liberi,painting,1661,,,375 cm,775 cm,Santa Maria Maggiore,,Pietro Liberi - The Great Flood.jpeg,,,,,,,1,217,Consiglio del Consorzi,,,,,
Q1994701,916,第十一章,The Horses of St Mark's,Horses of Saint Mark,Antonio Canal (Canaletto),work of art|group of sculptures,101,Italy,,238 cm,,St Mark's Basilica,Hippodrome of Constantinople|St Mark's Basilica|Tuileries Garden|arc de triomphe du Carrousel|Palazzo Venezia|Praglia Abbey,Horses of Basilica San Marco bright.jpg,,Hellenistic sculpture,Rhodes|Chios,,,,2,308309,Joseph Smith,,,Italian,Venice,History (Contemporary history)
Q119756834,923,第六章,The landing of Aeneas in Latium,Coast Scene with the Landing of Aeneas in Latium,Claude Lorrain,painting,,,,95.5 cm,134.4 cm,Shipley Art Gallery,Shipley Art Gallery,,,,,,,,1,162,Lorenzo Onofrio Colonna,,,French,,Mythology
Q105496497,926,第十章,The Last Supper,"The Last Supper, Washington, D.C.",Sebastiano Ricci,painting,,United Kingdom,,,,,,SEBASTIANO RICCI - THE LAST SUPPER.jpg,,,,,,,1,280,"Henry Bentinck, 1st Duke of Portland",,,Italian,,Religious themes (Biblical stories)
Q119934977,933,第十一章,The Marriage at Cana,The Marriage at Cana (after Paolo Veronese),Edward Leahy,painting,,Italy,,55.9 cm,71.1 cm,Royal Scottish Academy,Royal Scottish Academy,,,,,,,,1,313,,,,Italian,Venice,Religious themes (Biblical stories)
Q3947947,936,,The Martyrdom of St Bartholo‘]mew,Saint Sebastian,Mattia Preti,painting,1657,,,240 cm,169 cm,National Museum of Capodimonte,National Museum of Capodimonte,St Sebastian c1660 Mattia Preti.jpg,martyrdom of Saint Sebastian,,,,,,1,208,Ferdinand van den Einden,,,,,
Q59542375,937,第五章,The Martyrdom of St Erasmus,The Martyrdom of Saint Erasmus,Nicolas Poussin,painting,1628,Vatican City,,100 cm,74 cm,National Gallery of Canada,National Gallery of Canada,Martyr de saint Erasme-Modello - Poussin - MBACanada.jpg,,,,,,,1,120,St. Peter's Basilica,St. Peter's Basilica,,French,Vatican City,Religious themes (Saints' lives)
Q104934282,939,第八章,The Martyrdom of St. Cecilia,Martyrdom of St. Cecilia,Orazio Riminaldi,work of art,1620,Italy,,,,Galleria Palatina,Palazzo Pitti,,,,,,,,1,231,Ferdinand de' Medici,,,Italian,Florence,Religious themes (Saints' lives)
Q27700204,943,第一章,The Nativity,The Birth of Saint John the Baptist,Andrea Sacchi,painting,1628,,,262 cm,171 cm,Museo del Prado,Museo del Prado,Nacimiento de San Juan Bautista.jpg,birth of John the Baptist,,,,,,,,,Maria della Vallicell,,Italian,,Religious themes (Biblical stories)
Q28031832,944,第十一章,The Nativity,The Nativity,,painting,1581,Italy,,26 cm,19.8 cm,Royal Collection,Royal Collection,Attributed to Jacopo Bassano (c. 1510-1592) - The Nativity - RCIN 402992 - Royal Collection.jpg,Nativity of Jesus,,,,,,,316,Ferdinand de' Medici,,,Italian,Venice,Religious themes (Biblical stories)
Q26692514,949,第一章,The Plague at Ashdod,The Plague at Ashdod,Angelo Caroselli,painting,1631,France,,129 cm,204.5 cm,National Gallery,National Gallery,Angelo Caroselli - The Plague at Ashdod (after Poussin).jpg,,,,,,,,21,Don Fabrizio Valguarnera,,,French,Paris,History (Ancient history)
Q110803137,952,第十章,The Presentation in the Temple,The Presentation in the Temple,Sebastiano Ricci,drawing,,United Kingdom,,24.6 cm,36.8 cm,Nationalmuseum,Nationalmuseum,Sebastiano Ricci - The Presentation in the Temple - NMH Anck 397 - Nationalmuseum.jpg,,,,,,,1,280,"Richard Boyle, 3rd Earl of Burlington",The country house of the Duke of Devon,,Italian,Derbyshire,Religious themes (Biblical stories)
Q21722847,953,第八章,The Presentation in the Temple|Presentation,Presentation the Virgin Mary into the Temple,Luca Giordano,painting,1650,,,66.5 cm,36 cm,Hermitage Museum,Hermitage Museum,,presentation of Mary,,Italy,,,,1,223,Del Rosso brothers,,,Italian,,Religious themes (Biblical stories)
Q18572437,956,第七章,The Public Good Triumphs over Danger,Public Felicity Triumphant over Dangers,Orazio Gentileschi,painting,1623,France,,268 cm,170 cm,Department of Paintings of the Louvre,Room 716,"Gentileschi, Orazio - Public Felicity Triumphant over Dangers - 1624-1625.jpg",,,,,,,4,"XIII，10，175,181",Marie de' Medici,,Louvre,Italian,Paris,Fable
Q26713748,961,第八章,The Rape of Proserpina,Mythological Scene with the Rape of Proserpine,Luca Giordano,painting,1682,,,121.6 cm,193 cm,National Gallery,National Gallery,,,,,,,,1,213,Del Rosso brothers,,,Italian,,Mythology (Roman mythology)
Q3203105,963,第二章,The Rape of the Sabines,Rape of the Sabine Women,Pietro da Cortona,painting,1627,,,280.5 cm,426 cm,Capitoline Museums,Capitoline Museums,Cortona Rape of the Sabine Women 01.jpg,rape of the Sabine women,,,,,,1,39,Marcello Sacchetti,,,Italian,,History (Ancient history)
Q5968478,964,第十四章,The Reception of Henri III,The Visit of Henry III to the Villa Contarini,Giovanni Battista Tiepolo,painting,1750,Italy,,,,Musée Jacquemart-André,Musée Jacquemart-André,Tiepolo Reception of Henri III at Villa Contarini.jpg,,,,,,,1,357,Contarini Family,Villa Contarini,,Italian,Mira,History (Contemporary history)
Q18573503,965,第三章,The Resurrection,Resurrection of Christ,Giovanni Baglione,painting,1602,Vatican City,,86 cm,56.5 cm,Department of Paintings of the Louvre,Room 727,Resurrezione - Giovanni Baglione.jpg,Resurrection of Jesus,,,,,,1,66,Society of Jesus,,,Italian,Vatican City,Religious themes (Biblical stories)
Q23929203,966,第十章,The Resurrection of Christ,The Resurrection,Sebastiano Ricci,painting,1715,United Kingdom,,883 mm,1187 mm,Dulwich Picture Gallery,Dulwich Picture Gallery,"Ricci, Sebastiano - The Resurrection - Google Art Project.jpg",Resurrection of Jesus,,,,,,1,280,,Chelsea Hospita,,Italian,London,Religious themes (Biblical stories)
Q50812385,969,第十七章,The Ridotto,"The Sala grande of the Ridotto, Palazzo Dandolo, S. Moisè",Giovanni Antonio Guardi,painting,1757,Italy,,50 cm,85 cm,Fitzwilliam Museum,Fitzwilliam Museum,"Antonio Guardi (1699-1760) - The Sala Grande of the Ridotto, Palazzo Dandolo, San Moise - PD.1-1980 - Fitzwilliam Museum.jpg",,,,,,,,479,Teodoro Correr,,,Italian,Venice,Daily life (Interior scenes)
Q3212826,977,第七章,The Sibyl announcing the Birth of Christ to Augustus,The Tiburtine Sibyl announces the advent of Christ to Augustus,Pietro da Cortona,painting,1660,,,250 cm,265 cm,Museum of Fine Arts of Nancy,Museum of Fine Arts of Nancy,Sibylle de Tibur annon?ant à Auguste l'avènement du Christ MBA.jpg,,,,,,,1,185,Louis Phélypeaux de La Vrillière,,,Italian,,Religious themes (Biblical stories)
Q930137,981,第十七章,The Tempest,The Tempest,Giorgione,painting,1506,Italy,,82 cm,73 cm,Gallerie dell'Accademia|Vendramin Collection,Palazzo Priuli Manfrin,"Giorgione, The tempest.jpg",,High Renaissance,,Gabriele Vendramin,,,3,381410476,Girolamo Manfrin,,Girolamo Manfrin,Italian,Venice,Symbolism (Allegory)
Q65077262,984,第二章,The Triumph of Bacchus,Pan Subdued by Cupid (from a painting by Carracci) and Triumph of Bacchus (from a painting by Pietro da Cortona),Jean-Claude Richard de Saint-Non,print,1771,,,,,National Gallery of Art|Prints in the National Gallery of Art|Rosenwald Collection,National Gallery of Art,,,,,,,,1,39,Marcello Sacchetti,,,Italian,,Mythology (Roman mythology)
Q7848306,997,第六章,Time Unveiling Truth,Truth,Gian Lorenzo Bernini,statue,1700,,,277 cm,,Borghese Collection,Galleria Borghese|Palazzi Bernini (Rome),Bernini Truth unveiled by Time Gal Borghese.jpg,,Baroque,,,,,1,147,Rospiegliossi,,,Italian,,Fable
Q275349,999,第七章,Toilet of Venus,Rokeby Venus,Diego Velázquez,painting,1644,United Kingdom,,122.5 cm,175 cm,National Gallery,National Gallery,RokebyVenus.jpg,,,,,,,1,190,Gaspar de Haro y Guzmán,,,Spanish,London,Mythology (Roman mythology)
Q126842324,1002,第四章,Tomb of Pope Paul III,Tomb of Paul III,Guglielmo della Porta|Giacomo della Porta,sepulchral monument|sculpture|tomb,1600,Vatican City,,,,,Apse of Saint Peter's Basilica,"S. Peter, Rome, Italy. (2830835909).jpg",,Italian Renaissance sculpture,,,,,,105,Pope Paul III,,,Italian,Rome,Sculpture
Q3955657,1003,第四章,Tomb of Urban VIII,Tomb of Pope Urban VIII,Gian Lorenzo Bernini,sculpture|sepulchral monument|tomb,1700,Vatican City,,,,,St. Peter's Basilica,Tomb of Pope Urban VIII Gregorovius.jpg,,,,Urban VIII,,,,105,Pope Urban VIII,St. Peter's Basilica,,Italian,Rome,Sculpture
Q106777211,1008,图版目录,Triumph of The Name of Jesus,The Triumph of the Name of Jesus,Giovanni Battista Gaulli,painting,1677,Italy,,163.00 cm,111.00 cm,Princeton University Art Museum,Princeton University Art Museum,Il Baciccio (Giovanni Battista Gaulli) - The Triumph of the Name of Jesus - 2005-34 - Princeton University Art Museum.jpg,,,Italy,,,,1,XII,Society of Jesus,,Gesù,Italian,Rome,Religious themes (Religious allegory)
Q108759677,1009,第九章,Triumph of Venice,Triumph of Venice,Camillo Ballini,drawing,,Italy,,22.5 cm,35.4 cm,Nationalmuseum,Nationalmuseum,Camillo Ballini - Triumph of Venice - NMH 1399-1863 - Nationalmuseum.jpg,,,,,,,,248,Pesaro Family,Marco Foscarini’s palac,,Italian,Venice,Symbolism
Q121493619,1010,第九章,Triumph of Venice,The Triumph of Venice,Pompeo Batoni,painting,1737,United States,,174.3 cm,286.1 cm,North Carolina Museum of Art,North Carolina Museum of Art,The Triumph of Venice - Pompeo Girolamo Batoni — Google Arts & Culture.jpg,,,,,,,1,259,Flaminio Corner,,,Italian,New York,Symbolism
Q29941417,1033,第十章,Venus,,Marcantonio Franceschini,painting,1688,Germany,,127.5 cm,173.5 cm,Bavarian State Painting Collections,Alte Pinakothek,Marc Antonio Franceschini - Schmückung der Venus - 2423 - Bavarian State Painting Collections.jpg,,,,,,,2,184282,"Johann Wilhelm, Elector Palatine",,,Italian,Munich,Mythology (Roman mythology)
Q4245125,1035,第五章,Venus and Adonis,"Venus, Adonis and Cupid",Annibale Carracci,painting,1590,Italy,Italy,212 cm,268 cm,Museo del Prado,Museo del Prado,"Annibale Carracci - Venus, Adonis and Cupid - WGA4428.jpg",,,,,,,,129,,,Museo del Prado,Italian,Rome,Mythology (Ancient Greek mythology)
Q50973367,1038,第七章,Venus and Cupid,"Venus, Adonis and Cupid",Luca Giordano,painting,1664,,,194 cm,129 cm,"Museum of Fine Arts, Budapest","Museum of Fine Arts, Budapest",,,,,,,,,,"John Cecil, 5th Earl of Exeter",,,Italian,,Mythology (Roman mythology)
Q9372007,1041,第七章,Venus of the Pardo,Jupiter and Antiope,Titian,painting,1537,France,,89 cm|196 cm,109 cm|385 cm,Department of Paintings of the Louvre,"Salle des états, Louvre","Jupiter and Antiope, by Titian.jpg",Jupiter and Antiope,Venetian school|mannerism,,,,,1,185,Philip II of Spain,,Cardinal Mazarin,Italian,Paris,Mythology (Roman mythology)
Q40453567,1047,图版目录,View from Badminton,Badminton House from Badminton Park,Canaletto,painting,1748,United Kingdom,,86 cm,122 cm,,,"Canaletto - Badminton House, Gloucestershire.jpg",,,,,,,1,XV,Duke of Beaufort,,,Italian,,Landscape
Q119840688,1054,第十七章,View of Venice,"View of Venice, Doge's Palace",Canaletto,painting,,Italy,,96.5 cm,133.4 cm,Temple Newsam,Temple Newsam,,,,,,,,,479,Teodoro Correr,,,Italian,Venice,Landscape
Q115557804,1064,第五章,Virgin Mary,The Virgin Mary appears to Saint Francis,Giovanni Battista Salvi da Sassoferrato,painting,1685,,,63 cm,52 cm,National Gallery Prague,Schwarzenberg Palace,Giovanni Battista Salvi da Sassoferrato - The Virgin Mary appears to St. Francis - O 11895 - National Gallery Prague.jpg,,,,,,,,131,,,,Italian,,Religious themes (Biblical stories)
Q69771968,1066,第九章,Virginity,Vestal Virgin Tuccia (Corradini sculpture),Antonio Corradini,work of art,,Italy,,230 cm,,,Palazzo Barberini,"Antonio corradini, tuccia (la velata).JPG",Tuccia,,,,,,,266,Zaccaria Sagredo,S. Maria del Carmelo,,Italian,Venice,Religious themes (Religious allegory)
Q18689216,1075,第十一章,Winter,Self-Portrait as "Winter",Rosalba Carriera,pastel|painting,1730,,,46.5 cm,34 cm,Staatliche Kunstsammlungen Dresden,Gem?ldegalerie Alte Meister,Rosalba Carriera - Self-Portrait as "Winter" (1730-1731) - Google Art Project.jpg,Rosalba Carriera,,,,,,1,303,Joseph Smith,,,Italian,,Portrait
Q60473367,1076,第五章,Witchcraft Scene,Scenes of Witchcraft,Salvator Rosa,painting,1647,,,,,Cleveland Museum of Art,Cleveland Museum of Art,Salvator Rosa - Scenes of Witchcraft - 1977.37 - Cleveland Museum of Art.tif|Clevelandart 1977.37.jpg,,,Italy,,,,,144,Carlo de' Rossi,Madonna di Montesanto,,Italian,,Fantasy
Q3743879,1088,第二章,Worship of Venus,The Worship of Venus,Titian,painting,1518,Italy,Italy,172 cm,175 cm,Museo del Prado,Museo del Prado|Royal Palace of Madrid,Ofrenda a Venus.jpg,,Venetian school|High Renaissance,,,,,4,25105171100,Alfonso I d'Este,,,Italian,Madrid,Mythology (Roman mythology)
Q52302544,1089,第二章,Xenophon sacrificing to Diana after his return from exile,Xenophon's Sacrifice to Diana,Pietro da Cortona,painting,1849,,,76.0 cm,107.0 cm,National Trust,,Pietro da Cortona (1596-1669) (after) - Xenophon's Sacrifice to Diana - 719452 - National Trust.jpg,,,Italy,,,,1,59,Francesco Barberini and Antonio Barberini,,,Italian,,History (Ancient history)
