Refined_Formal_Name,Original-QID,Second-Query_QID,LLM-Fillin_QID,Second-Query_Label,Verification_Status
Jacques Courtois (Il Borgognone),Q1366347,,,Jacques Courtois,
Jacques Duyvelant,,,,,
Jacques Thuillier,Q3160087,,,Jacques Thuillier,
Jacques Tubeuf,,,,,
Jacques and Guillaume Courtois,Q941049,,,Jacques,
Jacques-Bénigne Bossuet,Q18147168,,,Jacques-Bénigne Bossuet,
Jael,Q954820,Q62666916,,Jael,
Jael and Sisera,Q3762348,,,Jael and Sisera,
Jakob Christoph Le Blon,Q1678961,,,Jacob Christoph Le Blon,
James Adam,Q2618073,Q108353602,,James Adam,
James Altham,Q76283112,,,James Altham,
"James Brydges, 1st Duke of Chandos",Q333238,,,"James Brydges, 1st Duke of Chandos",
James Byam Shaw,Q18671536,,,James Byam Shaw,
James C. Davis,Q64831004,,,James C. Davis,
James Francis Edward Stuart,Q19123665,,,James Francis Edward Stuart (DNB00),
James Gibbs,Q114700600,,,James Gibbs,
James Gibbs (Jacopo Ghibbesio),Q1352355,,,James Gibbs,
James II of England,Q129393,,,James II of England,Human Verified
James S. Ackerman,Q3161414,,,James S. Ackerman,
James Thornhill,Q1102914,,,James Thornhill,Human Verified
James Wyatt,Q1350728,Q75469007,,James Wyatt,
Jan Baptist de Wael,Q15432690,,,Jan Baptist de Wael,
Jan Białostocki,Q1681622,,,Jan Bialostocki,
Jan Both,Q981631,,,Jan Both,
Jan Brueghel the Elder,Q209050,,,Jan Brueghel the Elder,Human Verified
Jan Dubravius,Q722649,,,Jan Dubravius,
Jan Miel,Q979945,,,Jan Miel,
Jan Weenix,Q1346044,,,Jan Weenix,
Jan van den Eynde,Q109562238,,,Jan van den Eynde,
Jan van den Hecke,Q2486064,,,Jan van den Hecke,
Jane Costello,Q19753944,,,Jane Costello,
Jean Alazard,Q3170300,,,Jean Alazard,
Jean Delumeau,Q767691,,,Jean Delumeau,
Jean Dughet,Q21567825,,,Jean Dughet,
Jean Huber,Q684146,,,Jean Huber,
Jean Lemaire (Lemaire-Poussin),Q212445,,,Jean Lemaire,
Jean-Antoine Houdon,Q318741,,,Jean-Antoine Houdon,
Jean-Antoine Nollet,Q994738,,,Jean-Antoine Nollet,
Jean-Antoine Watteau,Q183221,,,Jean-Antoine Watteau,
Jean-Baptiste Bouchardon,Q2340642,,,Jean-Baptiste Bouchardon,
Jean-Baptiste Colbert,Q188971,,,Jean-Baptiste Colbert,Human Verified
Jean-Baptiste Théodon,Q504308,,,Jean-Baptiste Théodon,
Jean-Baptiste Vanmour,Q956812,,,Jean Baptiste Vanmour,
Jean-Baptiste van Mour,Q956812,,,Jean Baptiste Vanmour,
Jean-Baptiste-Siméon Chardin,Q207447,,,Jean-Baptiste-Siméon Chardin,
Jean-Claude Richard de Saint-Non,Q2305074,,,Jean-Claude Richard de Saint-Non,
Jean-François Millet,Q148458,,,Jean-François Millet,
Jean-François de La Harpe,Q379022,,,Jean-François de La Harpe,
Jean-François de Troy,Q707729,,,Jean-François de Troy,
Jean-Honoré Fragonard,Q127171,,,Jean-Honoré Fragonard,
Jean-Hugues Taraval,Q3142347,,,Hugues Taraval,
Jean-Jacques Bouchard,Q3166189,,,Jean-Jacques Bouchard,
Jean-Jacques Rousseau,Q6527,,,Jean-Jacques Rousseau,
Jeffrey Daniels,Q16185399,,,Jeffrey Daniels,
Jennifer Montagu,Q20962867,,,Jennifer Montagu,
Jenny Adam,Q19402811,,,Jenny Adam,
Jeremiah,Q158825,Q14649096,,Jeremiah,Human Verified
Jerome Bankes,Q76240509,,,Jerome Bankes,
Jerónimo Nadal,Q1125690,,,Jeroni Nadal,
Jerónimos Monastery,Q272781,,,Jerónimos Monastery,
Jesuit Archives,,,,,
Jesuit Church,Q56395672,,,Jesuit church,
Jesuit School,Q3580134,,,Jesuit school,
Jesuits,Q1516392,,,Jesuits Law,
Jesus Christ,Q105742579,,,Jesus Christ,
Joachim von Sandrart,Q57414113,,,Joachim von Sandrart,
Joachim-Joseph Berthier,Q86082462,,,Joachim J. Berthier,
Job,Q179962,Q124721,,Job,
Job and his Wife / Isaac Blessing Jacob,Q192581,,,Job,
Johann Adalbert Veith,,,,,
Johann Bernhard Fischer von Erlach,Q84305,,,Johann Bernhard Fischer von Erlach,
Johann Carl Loth,Q670135,,,Johann Carl Loth,
Johann Carl Loth (Carlotto),Q670135,,,Johann Carl Loth,
Johann Caspar Goethe,Q1585819,,,Johann Caspar Goethe,
Johann Christian Brand,Q685519,,,Johann Christian Brand,
Johann Christoph Pepusch,Q371825,,,Johann Christoph Pepusch,
Johann Christoph Storer,Q1693075,,,Johann Christoph Storer,
"Johann Georg III, Elector of Saxony",Q454483,,,,
Johann Georg Keyssler,Q1693874,,,Johann Georg Key?ler,
Johann Georg Zimmermann,Q115878,Q28973048,,Johann Georg Zimmermann,
"Johann II, Prince of Liechtenstein",Q317016,,,"Johann II, Prince of Liechtenstein",
Johann Joachim Winckelmann,Q57280,,,Johann Joachim Winckelmann,
Johann Liss (Jan Lyss),Q700279,,,Johann Liss,
Johann Lukas von Hildebrandt,Q84507,,,Johann Lukas von Hildebrandt,
Johann Matthias von der Schulenburg,Q128136233,Q70910,,Johann Matthias von der Schulenburg,
Johann Philipp Franz von Schönborn,Q86957,,,Johann Philipp Franz von Schönborn,
"Johann Wilhelm, Elector Palatinate",Q108653305,,,,
Johann Zacharias Platner,Q1645845,,,Johann Zacharias Platner,
Johannes Vermeer,Q41264,,,Johannes Vermeer,
Johannes Wilde,Q15430589,Q1698628,,Johannes Wilde,
John B. Shipley,Q135914113,,,John B. Shipley,
John Breval,Q6230521,,,,
John Bryson,Q113805466,,,John Bryson,
John Buonarotti Papworth,Q6223865,,,John Buonarotti Papworth,
John Byng (Admiral),Q76193838,,,John Byng,
"John Cecil, 5th Earl of Exeter",Q15989977,,,"John Cecil, 5th Earl of Exeter",
"John Cecil, 6th Earl of Exeter",Q6225597,,,"John Cecil, 6th Earl of Exeter",
John Charlton,Q2657457,,,John Charlton,
"John Churchill, 1st Duke of Marlborough",Q153803,,,"John Churchill, 1st Duke of Marlborough",
John Closterman,Q6226403,,,John Closterman,
John Conduitt,Q6226846,,,John Conduitt,
John Constable,Q159297,,,John Constable,
John Dryden,Q213355,,,John Dryden,
John Durant Breval,Q6230521,,,John Durant Breval,
John Evelyn,Q342712,,,John Evelyn,
John Finch,Q6233132,Q123999443,,John Finch,
John Fleming,Q6233420,Q686875,,John Fleming,
John Gay,Q321660,,,John Gay,
John Gilmartin,Q105674977,,,John J. Gilmartin,
"John Hervey, 2nd Baron Hervey",Q1006241,,,"John Hervey, 2nd Baron Hervey",
John III Sobieski,Q53454,,,John III Sobieski,
John Law,Q312695,Q202872,,John Law,Human Verified
John Locke,Q9353,,,John Locke,
John Manners (Marquess of Granby / Duke of Rutland),Q1270429,,,John Manners,
John Milton,Q79759,,,John Milton,
John Murray,Q1232629,,,John Murray,
John Nicoll,Q4731153,Q76042979,,John Nicoll,
John Nordiall,Q6235729,,,John Gordillo,
John Northall,Q18009154,Q76146593,,John Northall,
John Pope-Hennessy,Q537874,,,John Pope-Hennessy,
John Ripley Freeman,Q6254986,,,John Ripley Freeman,
John Russell,Q335406,Q108162299,,John Russell,
"John Russell, 4th Duke of Bedford",Q335406,,,"John Russell, 4th Duke of Bedford",
"John Sheffield, 1st Duke of Buckingham and Normanby",Q2736244,,,"John Sheffield, 1st Duke of Buckingham and Normanby",
John Skippe,Q15689482,,,John Skipper,
John Strange,Q6259378,Q112783324,,John Strange,
John Sweetman,Q76119063,,,John Sweetman,
John Tillotson,Q676049,,,John Tillotson,
John Udny,Q76242648,,,John Udny,
John Vanbrugh,Q333398,,,John Vanbrugh,
John Walker,Q324571,Q450549,,John Walker,
John Webster,Q225904,,,John Webster,
John Woodward,Q706904,Q115695627,,John Woodward,
Joint caricature of Simonelli and Mola,,,,,
Josef Grisar,Q59531270,,,Josef Grisar,
Joseph Addison,Q206384,,,Joseph Addison,
Joseph Perrot,Q17627216,,,Joseph Perrot,
Joseph Smith (Consul),Q47102,,,Joseph Smith,
Joseph Sold by his Brothers,Q59710099,,,Joseph Sold by His Brothers,
Joseph Valfrey,Q6280972,,,Joseph Alfred Slade,
Joseph Wagner,Q11728479,Q120579975,,Joseph Wagner,
Joseph and Potiphar's Wife,Q21176029,,,Joseph and Potiphar's wife,
Joseph de Guibert,Q60028645,,,Joseph de Guibert,
Joshua Reynolds,Q194442,,,Joshua Reynolds,Human Verified
Juan de Pareja,Q1352058,,,Juan de Pareja,
"Juan de Tassis y Peralta, 2nd Count of Villamediana",Q4111408,,,,
Juan van der Hamen,Q1710710,,,Juan van der Hamen,
Judith,Q202168,Q112299965,,Judith,Human Verified
Judith shows the people the head of Holofernes,Q27980482,,,Judith shows the people the head of Holofernes,
Judith with the Head of Holofernes,Q131862386,,,Judith with the head of Holofernes,
Jules Mazarin,Q166056,Q61685080,,Jules Mazarin,
Julian (Emperor),Q33941,,,Julian (emperor),
Julius II,Q9852,,,Julius II,Human Verified
Julius von Schlosser,Q84564,,,Julius von Schlosser,
Juno,Q125046,,,Juno,
"Juno, Goddess of Air",,,,,
Jupiter,Q34201,Q37530492,,Jupiter,
Jupiter among the Corybantes,,,,,
Jupiter and Antiope,Q9372007,,,Jupiter and Antiope,
Jupiter and Io with Cupid and Attendant Putti,Q119637439,,,Jupiter and Io with Cupid and Attendant Putti,
Jupiter giving Suck,Q64536924,,,,
Jupiter handed over by Cybele to the Corybantes,,,,,
Jupiter sending down his Thunderbolts,,,,,
Jusepe de Ribera,Q297838,,,Jusepe de Ribera,
Justice,Q43303875,,,Justice,
Justice Embracing Peace,Q119010549,,,Justice Embracing Peace,
Justin (historian),Q210853,,,Justin (historian),
Justine Wynne,Q466860,,,Giustiniana Wynne,
Justinus (Historian) / Justin Martyr,,,,,
Justus of Ghent,Q103939545,,,Justus of Ghent,
Justus of Ghent (Joos van Wassenhove),Q515796,,,Justus van Gent,
Jérôme Lalande,Q168419,,,Jérôme Lalande,
Jérôme Richard,Q107055046,,,Jérôme Richard,
Jörg Garms,Q111356168,,,Jörg Garms,
K. T. Parker,Q15968743,,,Karl Parker,
Kaisersaal (Würzburg),Q1721724,,,Kaisersaal,
Karel van Mander,Q83493956,,,Karel van Mander,
Karel van Mander III,Q3428643,,,Karel van Mander III,
Karl Ludwig von Pöllnitz,Q92292,,,Karl Ludwig von Pöllnitz,
Karl Philipp von Greiffenclau,Q95296,,,Karl Philipp von Greifenclau zu Vollraths,
Karolina Lanckorońska,Q468466,,,Karolina Lanckorońska,
Kassel,Q2865,,,Kassel,
Kate Steinitz,Q6567261,,,Kate Steinitz,
Katherine Tofts,Q16859603,,,Catherine Tofts,
Keller Peninsula,Q2604876,,,Keller Peninsula,
Kenneth Donahue,Q19753997,,,Kenneth Donahue,
Kimbolton Castle,Q501080,,,Kimbolton Castle,
King George Island,Q859440,,,King George Island,
King Midas,Q18907760,,,King Midas,
King Solomon Bathing,,,,,
King's College (Cambridge),Q924289,,,King's College,
King's College Library,,,,,
Klaus Lankheit,Q1119207,,,Klaus Lankheit,
Klára Garas,Q1008260,,,Klára Garas,
Knight of the Golden Spur,Q15117203,,,Knight of the Golden Spur,
Kunsthistorisches Museum,Q95569,,,Kunsthistorisches Museum,
Kunstsammlungen,Q123758932,,,Kunstsammlungen der Stadt Nürnberg,
L'Inondazione del Tevere,,,,,
L'Osservatore Veneto,,,,,
"La Beata Vergine in Egitto, e S. Giuseppe",Q3427290,,,,
La Burla del Piovano Arlotto,,,,,
La Chiesa di Gesù Cristo vendicata...,,,,,
La Fiera dell'Impruneta,Q55064149,,,La fiera dell'Impruneta,
La Galleria di Minerva,,,,,
La Notte (Correggio),Q1215047,,,La Notte,
La Storta,Q1131028,,,La Storta,
La rissa all'Ambasciata di Spagna,,,,,
Labia (Family),Q1406501,,,Labia,
Labia Collection,,,,,
Lady Mary Wortley Montagu,Q235121,,,Mary Wortley Montagu,
Lake Bracciano,Q896551,,,Lake Bracciano,
Lamport Hall,Q6482482,,,Lamport Hall,
Landscape with Cephalus and Procris,Q27978382,,,Landscape with Cephalus and Procris,
Landscape with Man fleeing from Serpent,Q23935130,,,Landscape,
Landscape with Psyche Outside the Palace of Cupid,Q19574562,,,Landscape with Psyche Outside the Palace of Cupid,
Landscape with Pyramus and Thisbe,Q118897370,,,Landscape with Pyramus and Thisbe,
Landscape with Rural Dance,Q23935130,,,Landscape,
Landscape with Woman washing her Feet,Q23935130,,,Landscape,
Landscape with a Man killed by a Snake,Q26692856,,,Landscape with a Man killed by a Snake,
Landscape with figures and animals,Q63413141,,,Landscape with Figures and Animals,
Landscape with the Father of Psyche Sacrificing...,Q23935130,,,Landscape,
Landscape with the Flight into Egypt,Q75135162,Q1803755,,Landscape with the Flight into Egypt,
Landscape with the Port of Santa Marinella,Q104443853,,,Landscape with the Port of Santa Marinella,
Lateran,Q211110,,,Lateran,Human Verified
Lateran Baptistery,Q2519438,,,Lateran Baptistery,
Lateran Palace,Q848394,,,Lateran Palace,
Laurent Cars,Q3029984,,,Laurent Cars,
Laurent de La Hyre,Q59894,,,Laurent de La Hyre,
Lauro,Q55047,Q3827960,,Lauro,
Lazzaro Baldi,Q3220072,,,Lazzaro Baldi,
Lazzaro Rivera,Q56223542,,,Lázaro Rivero,
Lazzaro Riviera,Q113766040,,,Lazaro Riviera,
Le Arti che vanno per via nella città di Venezia,,,,,
Le Fabbriche e Vedute di Venetia,,,,,
Leandro Ozzola,Q97063798,,,Leandro Ozzola,
Leda,Q69342153,,,Leda,
Leda and the Swan,Q244342,,,Leda and the Swan,Human Verified
Leipzig,Q2079,,,Leipzig,
Lelio Guidiccioni,Q55998317,Q56006638,,Lelio Guidiccioni,
Leo I (Pope),Q183776,,,Leo I,
Leo X,Q49237,,,Leo X,Human Verified
Leo van Puyvelde,Q19997555,,,Leo van Puyvelde,
Leonaert Bramer,Q979381,,,Leonaert Bramer,
Leonardo Loredan,Q250210,,,Leonardo Loredan,
Leonardo Pasqueti,,,,,
Leonardo Pasquetti,,,,,
Leonardo Pesaro,,,,,
Leonardo Valmarana,,,,,
Leonardo Venier,Q929068,,,Leonardo Nierman,
Leonardo da Vinci,Q762,,,Leonardo da Vinci,Human Verified
Leone Matina,Q112504110,,,Leone Matina,
Leonine City,Q370350,,,Leonine City,
Leonora Baroni,Q2625057,,,Leonora Baroni,
"Leopold I, Holy Roman Emperor",Q150494,,,"Leopold I, Holy Roman Emperor",
"Leopold II, Holy Roman Emperor",Q151321,,,"Leopold II, Holy Roman Emperor",
Leopold Joseph von Daun,Q93365,,,Leopold Joseph von Daun,
Leopoldo de' Medici,Q968920,,,Leopoldo de' Medici,
Leto Puliti,Q49186561,,,Leto Puliti,
Leto turning the Shepherds into Frogs,,,,,
Liechtenstein (Family),Q347,,,Liechtenstein,
Life of Christ (Series),Q14775650,,,Life of Christ,
Lina Livan,Q445725,,,Lina Leandersson,
Lina Montalto,Q109830266,,,Lina Montalto,
Lione Pascoli,Q1347631,,,Lione Pascoli,Human Verified
Lionel Cust,Q6555603,,,Lionel Cust,
Lionello Puppi,Q18224381,,,Lionello Puppi,
Lita-Rose Betcherman,,,,,
Liverpool,Q24826,,,Liverpool,
Livio Mehus,Q1776687,,,Livio Mehus,
Livio Odescalchi,Q10319317,Q11762206,,Livio Odescalchi,
Lodovico Furlanetto,Q106498283,,,Lodovico Furlanetto,
Lodovico Gabrielli,,,,,
Lodovico Grignani,Q55228486,,,Lodovico Grignani,
Lodovico Ottavio Burnacini,Q3836364,,,Lodovico Burnacini,
Lodovico Rezzonico,,,,,
Loménie de Brienne (Count),Q289522,,,Étienne Charles de Loménie de Brienne,
London,Q84,,,London,Human Verified
Lord Byron,Q5679,,,Lord Byron,
Loredana Olivato,Q61480955,,,Loredana Olivato,
Lorenzo Cardella,Q15696697,,,Lorenzo Cardella,
Lorenzo Costa,Q357807,,,Lorenzo Costa,
Lorenzo Da Ponte,Q268166,,,Lorenzo Da Ponte,
Lorenzo Magalotti,Q541487,Q590501,,Lorenzo Magalotti,Human Verified
Lorenzo Masini,Q2524260,,,Lorenzo da Firenze,
Lorenzo Mattielli,Q1455126,,,Lorenzo Mattielli,
Lorenzo Onofrio Colonna,Q3837012,,,Lorenzo Onofrio Colonna,Human Verified
Lorenzo Pasinelli,Q3259492,,,Lorenzo Pasinelli,Human Verified
Lorenzo Raggi,Q18340689,Q57232940,,Lorenzo Raggi,
Lorenzo Rossi,Q102389804,,,Lorenzo Rossi,
Lorenzo de' Medici (the Magnificent),Q177854,,,Lorenzo de' Medici,
Lorenzo del Rosso,,,,,
Loreto,Q51139,,,Loreto,Human Verified
Lot and his Daughters,Q29951062,,,Lot and his daughters,
Lothar Franz von Schönborn,Q71715,,,Lothair Francis of Schönborn,
Louis Batiffol,Q18011834,,,Louis Batiffol,
Louis Bordet,Q25568,,,Lou Barletta,
Louis Demonts,Q95757199,,,Louis Demonts,
Louis Dorigny,Q2308644,,,Ludovico Dorigny,
Louis Dorigny (Ludovico),Q2308644,,,Ludovico Dorigny,
Louis Hautecœur,Q3262148,,,Louis Hautecoeur,
Louis Le Nain,Q736207,,,Louis Le Nain,
Louis Le Vau,Q310530,,,Louis Le Vau,
"Louis Phélypeaux, marquis de La Vrillière",Q3262230,,,"Louis Phélypeaux, marquis de La Vrillière",
Louis Ponnelle,Q55771684,,,Louis Ponnelle,
Louis Richeome,Q1871941,,,Louis Richeome,
Louis Richême,Q1871941,,,Louis Richeome,
Louis XIII,Q737533,Q1323065,,Louis XIII style,
Louis XIV,Q7742,,,Louis XIV,Human Verified
Louis XV,Q7738,Q130418514,,Louis XV,Human Verified
Louis de Noailles,Q1349502,,,Louis de Noailles,
Louisa Ulrika of Prussia,Q234251,,,Louisa Ulrika of Prussia,
Louise Rice,Q111387765,Q134318682,,Louise Rice,
Louvre,Q908517,,,Louvres,
Louvre Museum,Q19675,,,Louvre Museum,
Low Countries,Q476033,,,Low Countries,
Luca Bartolotti,,,,,
Luca Cambiaso,Q712512,,,Luca Cambiaso,
Luca Carlevarijs,Q651135,,,Luca Carlevarijs,Human Verified
Luca Giordano,Q332494,,,Luca Giordano,Human Verified
Luca Ombrosi,,,,,
Lucas von Hildebrandt,Q84507,,,Johann Lukas von Hildebrandt,
Lucca,Q13373,,,Lucca,
Lucchese Community,,,,,
Lucien Marcheix,,,,,
Lucius Annaeus Florus,Q316483,,,Lucius Annaeus Florus,
Lucretius,Q47154,,,Lucretius,
Ludovico Antonio Muratori,Q471529,,,Ludovico Antonio Muratori,
Ludovico Ariosto,Q48900,,,Ludovico Ariosto,
Ludovico Carracci,Q380553,,,Ludovico Carracci,
Ludovico David,Q6698987,,,Ludovico David,
Ludovico Gimignani,Q3839112,,,Ludovico Gimignani,
Ludovico Ludovisi,Q707750,,,Ludovico Ludovisi,
Ludovico Manin,Q458677,,,Ludovico Manin,
Ludwig Burchard,Q1874264,,,Ludwig Burchard,
Ludwig Mies van der Rohe,Q41508,,,Ludwig Mies van der Rohe,
Ludwig Schudt,Q19754022,,,Ludwig Schudt,
Ludwig von Pastor,Q64162,,,Ludwig von Pastor,
Luigi Adami,Q63929631,,,Luigi Adami,
Luigi Boccherini,Q189766,,,Luigi Boccherini,
Luigi Borsari,Q28747741,,,Luigi Borsari,
Luigi Callari,Q123500942,,,Luigi Callari,
Luigi Celotti (Abate Celotti),Q113774991,,,Luigi Celotti,
Luigi Crespi,Q3266428,,,Luigi Crespi,
Luigi Ferrari,Q113562194,,,Luigi Ferrari,
Luigi Garzi,Q2442674,,,Luigi Garzi,
Luigi Huetter,Q93253213,,,Luigi Huetter,
Luigi Melchiori,Q94259803,,,Luigi Melchiori,
Luigi Passerini Orsini de' Rilli,Q17490306,,,Luigi Passerini Orsini de' Rilli,
Luigi Pavini,Q124642279,,,Luigi Pavini,
Luigi Pellegrini Scaramuccia,Q3266512,,,Luigi Pellegrini Scaramuccia,
Luigi Pozzi,Q107031105,,,Luigi Pozzi,
Luigi Quaini,Q1645680,,,Luigi Quaini,
Luigi Salerno,Q6700132,Q93261247,,Luigi Salerno,
Luigi Scaramuccia,Q3266512,,,Luigi Pellegrini Scaramuccia,
Luigi Spezzaferro,Q19754023,,,Luigi Spezzaferro,
Luigi Strozzi,Q3840187,,,Luigi Strozzi,
Luigi Teodoli,,,,,
Luigi de' Rossi,Q733662,,,Luigi de' Rossi,
Luxembourg Palace,Q329852,,,Luxembourg Palace,
M. de Bordeaux,,,,,
Macerata,Q13135,,,Macerata,
Madeleine Laurain-Portemer,Q3275671,,,Madeleine Laurain-Portemer,
Madonna,Q1744,,,Madonna,
Madonna and Child,Q106868029,,,Madonna and Child,
Madonna and Child with St. Elizabeth...,Q106868029,,,Madonna and Child,
Madonna and Child with the Infant Saint...,Q106868029,,,Madonna and Child,
Madonna dell'Orto,Q861436,,,Madonna dell'Orto,
Madonna of the Baldacchino,Q3842604,,,Madonna of the Baldacchino,
Madonna of the Harpies,Q1235695,,,Madonna of the Harpies,
Madonna of the Rosary with Saints...,Q698228,,,Madonna of the Rosary,
"Madonna with Saints Agnes, Catherine and Rosa",Q79516336,,,"Madonna with Saints Agnes, Catherine and Rosa",
Madonna with the Long Neck,Q867403,,,Madonna with the Long Neck,
Madrid,Q2807,,,Madrid,
Maecenas,Q50824548,,,Maecenas,
Maecenas Presenting the Liberal Arts to Emperor Augustus,Q12123145,,,Maecenas Presenting the Liberal Arts to Emperor Augustus,
Maffeo Barberini (Prince of Palestrina),Q6729457,,,Maffeo Barberini,
Maffeo Pinelli,Q56006855,,,Maffeo Pinelli,
Magnus von Platen,Q6051457,,,Magnus von Platen,
Malcolm Campbell,Q621028,,,Malcolm Campbell,
Malplaquet,Q24021436,,,Malplaquetstra?e,
Malta,Q233,,,Malta,
Mamertine Prison,Q1035634,,,Mamertine Prison,
Manin (Family),Q450934,,,Manin,
Manlio Dazzi,Q21196209,,,Manlio Dazzi,
Mannerism,Q131808,,,Mannerism,
Manuel de Acevedo y Zúñiga (Count of Monterrey),Q3845070,,,Manuel de Acevedo y Zúñiga,
Marcantonio Barbaro,Q711845,,,Marcantonio Barbaro,
Marcantonio Chiarini,Q3288556,,,Marcantonio Chiarini,
Marcantonio Colonna,Q347242,,,Marcantonio Colonna,
Marcantonio Franceschini,Q2543592,,,Marcantonio Franceschini,
Marcantonio II Colonna,Q878288,,,Marcantonio II Colonna,
Marcel Roethlisberger,Q6756202,,,Marcel Roethlisberger,
Marcello Del Piazzo,Q118874221,,,Marcello Del Piazzo,
Marcello Malpighi,Q232583,,,Marcello Malpighi,
Marcello Oretti,Q56006940,,,Marcello Oretti,
Marcello Sacchetti,Q6087600,,,Marcello Sacchetti,
Marchands-amateurs,,,,,
Marche,Q1279,,,Marche,
Marchese Raggi,,,,,
Marchese Ruspoli,,,,,
Marchigian town,,,,,
Marco Benefial,Q466471,,,Marco Benefial,
Marco Boschini,Q662866,,,Marco Boschini,
Marco Fantuzzi,Q108068895,,,Marco Fantuzzi,
Marco Foscarini,Q1242215,,,Marco Foscarini,
Marco Pitteri,Q48879573,,,Marco Pitteri,
Marco Ricci,Q930162,,,Marco Ricci,
Marco Sacconi,Q97571806,,,Marco Sacconi,
Marco Sebastiano Giampiccoli,Q21208132,,,Marco Sebastiano Giampiccoli,
Marcus Atilius Regulus,Q318718,,,Marcus Atilius Regulus,
Marcus Curtius,Q624745,,,Marcus Curtius,
Marcus Furius Camillus,Q294862,Q666740,,Marcus Furius Camillus,
Marcus Junius Brutus,Q172248,Q11935164,,Marcus Junius Brutus,
Margaret Whinney,Q3290527,,,Margaret Whinney,
Marguerite Calberg,,,,,
Marguerite Louise d'Orléans,Q268349,,,Marguerite Louise d'Orléans,
Maria Caterina,Q106640322,,,Maria Caterina,
Maria Elena Ghelli,,,,,
Maria Labia,Q3204339,,,Maria Labia,
Maria Letizia Strocchi,Q125210034,,,Maria Letizia Strocchi,
Maria Luisa,Q229854,Q18091939,,Maria Luisa,
Maria Mancini,Q242532,Q3847415,,Maria Mancini,
Maria Pamphilj,,,,,
Maria Sellschopp,Q18916912,,,Maria Sellschopp,
Maria Sergeevna Konopleva,Q116795898,,,Maria Sergeevna Konopleva,
Maria Teresa Bonadonna Russo,Q111771530,,,Maria Teresa Bonadonna Russo,
Maria Theresa,Q55111015,,,Maria Theresa,
Maria Vittoria Brugnoli,Q106410682,,,Maria Vittoria Brugnoli,
Maria Walpole,Q446919,Q75463847,,Lady Maria Walpole,
Marianne Roland Michel,Q19997562,,,Marianne Roland Michel,
Mariano Armellini,Q2755302,,,Mariano Armellini,
Marie Thérèse Rodet Geoffrin,Q269865,,,Marie Thérèse Rodet Geoffrin,
Marie de' Medici,Q182021,,,Marie de' Medici,
Marilyn Aronberg Lavin,Q19997564,,,Marilyn Aronberg Lavin,
Marino Berengo,Q3848172,,,Marino Berengo,
Mario Brunetti,Q61473962,Q3848377,,Mario Brunetti,
Mario Chigi,Q98708917,Q100441578,,Mario Chigi,
Mario D'Orsi,,,,,
Mario Minniti,Q153619,,,Mario Minniti,
Mario Nuzzi,Q1227379,,,Mario Nuzzi,
Mario Nuzzi (Mario de' Fiori),Q1227379,,,Mario Nuzzi,
Mark Antony,Q51673,,,Mark Antony,
Mark Ritchie,Q6769447,Q110140410,,Mark Ritchie,
Mark Samuel Weil,Q125296744,,,,
Marlborough Fine Art,Q6771667,,,Marlborough Fine Art,
Marquess of Powis,Q6772552,,,Marquess of Powis,
Marquis of Mantua,Q969770,,,"Ludovico III Gonzaga, Marquis of Mantua",
Marriage,Q26511045,Q8445,,marriage,
Marriage Allegory of the Rezzonico Family,,,,,
Mars and Venus,Q28796946,Q18573895,,Mars and Venus,
Martino Longhi the Elder,Q349522,,,Martino Longhi the Elder,
Martino Longhi the Younger,Q376713,,,Martino Longhi the Younger,
Martirii patiti dai Santi Martiri per la confessione di Cristo,Q21674546,,,,
Martyrdom of Saint John the Bishop,,,,,
"Mary, Queen of Scots",Q131412,,,"Mary, Queen of Scots",
María Antonieta Gatas,,,,,
Masaniello,Q735619,,,Masaniello,
Massacre of the Innocents,Q1247103,,,Massacre of the Innocents,
Massimiliano Soldani Benzi,Q3297734,,,Massimiliano Soldani Benzi,
Massimo Petrocchi,Q59528519,,,Massimo Petrocchi,
Massimo Stanzione,Q982384,,,Massimo Stanzione,
Master of Monte Oliveto,Q18508515,,,Master of Monte Oliveto,
Matilda of Tuscany,Q464162,,,Matilda of Tuscany,
Matteo Bartolini,Q20246871,Q124178247,,Matteo Bartolini,
Matteo Castelli,Q1909346,,,Matteo Castelli,
Matteo da Città di Castello,,,,,
Matteo del Teglia,,,,,
Matthäus Daniel Pöppelmann,Q62637,,,Matthäus Daniel Pöppelmann,
Mattia Loret,Q17362230,,,Maciej Loret,
Mattia Preti,Q468632,,,Mattia Preti,
Mattia Rosichino,,,,,
Mattia de' Rossi,Q2395202,,,Mattia de Rossi,
Maurice Vaes,Q110215333,,,Maurice Vaes,
Maurice of Savoy,Q610738,,,Prince Maurice of Savoy,
Maurizio Fagiolo dell'Arco,Q3852590,,,Maurizio Fagiolo dell'Arco,
Mauro Antonio Tesi,Q3301722,,,Mauro Antonio Tesi,
Max Goering,Q107164334,,,Max Goering,
Max Harold Fisch,Q55988975,,,Max H. Fisch,
Max Hermann von Freeden,Q15834523,,,Max Hermann von Freeden,
Max Steinbart,Q120507814,,,Max Steinberg (soldier),
"Maximilian II Emanuel, Elector of Bavaria",Q57628,,,"Maximilian II Emanuel, Elector of Bavaria",
"Maximilian III Joseph, Elector of Bavaria",Q57841,,,"Maximilian III Joseph, Elector of Bavaria",
Maximilien Misson,Q345742,,,Maximilien Misson,
Maximilien Robespierre,Q44197,,,Maximilien Robespierre,
