Refined_Formal_Name,Original_Entry,Refined_Category,Status/Notes
Giovanni Ferrari (Torretto),Giovanni Ferrari,Person,[Disambiguation] 雕塑家 (Canova的老师)。
Giovanni Francesco Grimaldi,Giovanni Francesco Grimaldi,Person,[Category Fix] 原文误标为 Place。波伦亚画家/建筑师。
Giovanni Francesco Negroni,"Giovanni Francesco Negroni | Negroni, Cardinal Giovan Francesco",Person,[Category Fix] 原文误标为 Place。红衣主教。 | [Validation] 枢机主教。
Giovanni Francesco Romanelli,"Giovanni Francesco Romanelli | Romanelli, Giovan Francesco",Person,[Category Fix] 原文误标为 Place。罗马巴洛克画家。 | [Validation] 画家 (Cortona学生)。
Giovanni Francesco Sacchetti,Giovanni Francesco Sacchetti,Person,[Category Fix] 原文误标为 Place。
Giovanni Gaetano Bottari,"Bottari, Giovanni | Giovanni Gaetano Bottari",Person,[Disambiguation] 罗马学者/图书管理员。 | [Validation] 罗马学者/梵蒂冈图书馆员。
Giovanni Garzia Mellini,"Mellino, Cardinal",Person,[Disambiguation] 17世纪枢机主教 (Mellini/Millini)。
Giovanni Garzia Millini,Giovanni Garzia Millini,Person,[Validation] 枢机主教。
Giovanni Gasparo Baldoini,"Baldoini, Giovanni Gasparo | Gio. Gasparo Baldoini",Person,[Full Name] 建筑师/工程师。 | [Reconstruction] 名字倒装复原。
Giovanni Ghisolfi,"Ghisolfi, Giovanni",Person,[Reconstruction] 米兰画家 (Ruins)。
Giovanni Giacomo Panciroli,Giovanni Giacomo Panciroli,Person,[Validation] 枢机主教。
Giovanni Gioseffo dal Sole,"Giovanni Gioseffo dal Sole | Sole, Giovan Gioseffo dal",Person,[Validation] 博洛尼亚画家。 | 博洛尼亚画家。
Giovanni Giuseppe Santi,Giovanni Giuseppe Santi,Person,[Validation] 博洛尼亚建筑师/舞台设计师。
Giovanni Incisa della Rocchetta,Giovanni Incisa della Rocchetta | Incisa Della Rocchetta,Person,[Reconstruction] 学者。 | [Validation] 艺术史学家/收藏家 (Chigi日记编辑)。
Giovanni Lami,Giovanni Lami,Person,[Validation] 佛罗伦萨古物学家/Novelle Letterarie 编辑。
Giovanni Lanfranco,Giovanni Lanfranco,Person,[Validation] 巴洛克画家。
Giovanni Ludovico Bianconi,"Bianconi, G. L. | Giovanni Ludovico Bianconi",Person,[Disambiguation] 18世纪医生/艺术作家。 | [Validation] 医生/艺术作家。
Giovanni Marchiori,"Giovanni Marchiori | Marchiori, Giovanni",Person,[Category Fix] 原文误标为 Man-Made Object。威尼斯雕塑家。 | [Validation] 威尼斯雕塑家。
Giovanni Marco Pitteri,Antonio Pitteri | Giovanni Marco Pitteri,Person,"[OCR Fix] ""Antonio"" 可能是 ""Marco"" 的误植，或指 Antonio Pitteri (较不知名)。倾向于 Marco Pitteri (威尼斯版画家)。 | [Validation] 威尼斯版画家。"
Giovanni Maria Bottala (Raffaellino),Giovanni Maria Bottala,Person,[Validation] 画家。
Giovanni Maria Morandi,"Morandi, Giammaria",Person,佛罗伦萨巴洛克画家。
Giovanni Maria Morlaiter,Giovanni Maria Morlaiter,Person,[Validation] 威尼斯雕塑家。
Giovanni Maria Sasso,G.M. Sasso | Giovanni Maria Sasso | Giuseppe Maria Sasso,Person,[Correction] 威尼斯画商 Sasso 通常名为 Giovanni Maria。可能是误记。 | [Disambiguation] 威尼斯画商/修复师。 | [Validation] 威尼斯画商。
Giovanni Mariacher,Giovanni Mariacher,Person,[Validation] 现代艺术史学家 (威尼斯博物馆)。
Giovanni Mario Crescimbeni,Giovanni Mario Crescimbeni,Person,[Validation] 阿卡迪亚学院创始人/诗人。
Giovanni Odazzi,Giovanni Odazzi,Person,[Validation] 罗马画家 (Baciccio跟随者)。
Giovanni Paolo Oliva,Giovanni Paolo Oliva,Person,[Validation] 耶稣会总会长。
Giovanni Paolo Panini,"Giovanni Paolo Panini | Pannini, Giovanni Paolo",Person,[Validation] 维杜塔画家。 | 罗马Veduta画家。
Giovanni Perugini,Giovanni Perugini,Person,[Validation] 画家 (Landscape)。
Giovanni Perusini,"Perusini, Giovanni",Person,建筑师/工程师。
Giovanni Pietro Bellori,"Bellori, Gian Pietro | Giovanni Pietro Bellori",Person,[Reconstruction] 艺术理论家。 | [Validation] 著名艺术理论家/传记作家。
Giovanni Pietro Ligario,Giovanni Pietro Ligario,Person,[Validation] 瓦尔泰利纳画家。
Giovanni Pietro Olina,"Giovanni Pietro Olina | Olina, P.",Person,[Validation] 鸟类学家/作家 (Cassiano dal Pozzo圈子)。 | 《Uccelliera》作者，卡西阿诺·达尔·波佐圈子成员。
Giovanni Poleni,"Giovanni Poleni | Poleni, Marchese Giovanni",Person,[Category Fix] 原文误标为 Man-Made Object。科学家/侯爵。 | [Validation] 帕多瓦数学家/物理学家。
Giovanni Previtali,Giovanni Previtali,Person,[Validation] 现代艺术史学家。
Giovanni Ricci,Giovanni Ricci,Person,[Validation] 枢机主教 (16世纪)。
Giovanni Richter,"Richter, Giovanni",Person,(Jean Richter) 瑞典画家，活跃于威尼斯。
Giovanni Segala,Giovanni Segala,Person,[Validation] 威尼斯画家。
Giovanni Sforza,Giovanni Sforza,Person,[Validation] 佩萨罗领主 (Lucrezia Borgia前夫)。
Giovanni Stefano Roccatagliata,Giovanni Stefano Roccatagliata,Person,[Validation] 17世纪热那亚银匠/雕塑家? 需确认。
Giovanni Tabacco,Giovanni Tabacco,Person,[Validation] 中世纪史学家。
Giovanni Vianello,"Giovanni Vianello | Vianello, Dr Giovanni",Person,[Validation] 威尼斯画家 (19世纪)。 | 艺术史学家/收藏家。
Giovanni Volpato,Giovanni Volpato,Person,[Validation] 版画家/考古学家。
Giovanni da Campione,Giovanni da Campione,Person,[Validation] 中世纪雕塑家 (Campione Masters)。
Giovanni da San Giovanni (Giovanni Mannozzi),Giovanni da San Giovanni,Person,[Validation] 佛罗伦萨画家。
Giovanni da Udine,Giovanni da Udine,Person,[Validation] 拉斐尔助手/装饰画家。
Giovanni da Venezia,Giovanni da Venezia,Person,[Validation] 可能是指某个特定时期的威尼斯艺术家或修士。泛指?
Giovanni de' Cattanei,"Cattaneo, Giovanni de",Person,[Check Original] 可能是 Giovanni Cattaneo (雕刻家) 或 Giovanni de' Cattanei (建筑师)。
Giovanni de' Vecchi,Giovanni de' Vecchi,Person,[Validation] 罗马画家 (San Luca)。
Giovanni del Pian,"Pian, Giovanni del",Person,[Verify] 可能是 Giovanni dal Pian (画家) 或地名误读。
Girl at Her Toilet,Girl at Her Toilet,Work,[Validation] 绘画主题。
Girl with a Basket of Chickens,Girl with a Basket of Chickens,Work,[Validation] 绘画主题。
Girolamo Ascanio Giustinian,Girolamo Ascanio Giustiniani,Person,[Validation] 威尼斯贵族/政治家。
Girolamo Brusoni,Girolamo Brusoni,Person,[Validation] 威尼斯作家 (17世纪)。
Girolamo Colonna,Girolamo Colonna,Person,[Validation] 枢机主教。
Girolamo Curti (Il Dentone),"Curli, Girolamo",Person,"[OCR Fix] ""Curli"" -> ""Curti"" (博洛尼亚 Quadraturista)。"
Girolamo Durazzo,"Durazzo, Marchese Girolamo | Marchese Girolamo Durazzo",Person,[Category Fix] 原文误标为 Work。热那亚总督/贵族。 | 热那亚贵族、总督及艺术收藏家。
Girolamo Festari,Girolamo Festari,Person,[Validation] 维琴察贵族/学者。
Girolamo Forabosco,Girolamo Forabosco,Person,[Validation] 威尼斯/帕多瓦画家。
Girolamo Frescobaldi,"Frescobaldi, Gerolamo | Girolamo Frescobaldi",Person,[Reconstruction] 作曲家。 | [Validation] 巴洛克作曲家。
Girolamo Garganego,"Garganego, Girolamo",Person,[Validation] 维罗纳/威尼斯雕塑家? 或是 Girolamo Garganico? 需确认。Garganego 可能是威尼斯贵族。
Girolamo Manfrin,Girolamo Manfrin,Person,[Validation] 威尼斯烟草商/收藏家。
Girolamo Muziano,Girolamo Muziano,Person,[Validation] 风格主义画家。
Girolamo Rainaldi,Girolamo Rainaldi,Person,[Validation] 罗马建筑师。
Girolamo Teodoli,"Teodoli, Marchese",Person,[Category Fix] 原文误标为 Man-Made Object。侯爵/建筑师。
Girolamo Teti,Girolamo Teti,Person,[Validation] 耶稣会作家 (Aedes Barberinae)。
Girolamo Zanetti,Girolamo Zanetti,Person,[Validation] 威尼斯历史学家。
Girolamo de Rinaldis,Girolamo de Rinaldis,Person,[Validation] 艺术写作者。
Girolamo di Giovanni,Girolamo di Giovanni di Camerino,Person,[Validation] 15世纪画家。
Giulia Maidalchini,"Pamfili, Giulia",Person,[Ambiguous] 可能是误指 Olimpia Maidalchini 或 Pamphilj 家族其他女性。
Giuliano Briganti,Giuliano Briganti,Person,[Validation] 现代艺术史学家。
Giuliano Colonna,"Colonna, Don Giuliano",Person,[Validation] 贵族。
Giuliano Colonna (Prince of Stigliano),Giuliano Colonna di Stigliano,Person,[Validation] 贵族。
Giuliano Finelli,Giuliano Finelli,Person,[Validation] 巴洛克雕塑家 (Bernini 助手)。
Giuliano Giampiccoli,Giuliano Giampiccoli,Person,[Validation] 威尼斯版画家。
Giuliano Vacchelli,"Vacchelli, Giuliano",Person,
Giulio Cantalamessa,Giulio Cantalamessa,Person,[Validation] 艺术史学家/博物馆馆长。
Giulio Carpioni,"Carpioni, Giulio",Person,[Validation] 维琴察画家。
Giulio Cesare Maffei,Giulio Cesare Maffci,Person,"[OCR Fix] ""Maffci"" -> ""Maffei"" (17世纪作家)。"
Giulio Lorenzetti,Giulio Lorenzetti,Person,[Validation] 威尼斯艺术史学家。
Giulio Mancini,Giulio Mancini,Person,[Validation] 医生/艺术鉴赏家 (Considerazioni sulla pittura)。
Giulio Natali,Giulio Natali,Person,[Validation] 20世纪文学史学家 (Il Settecento)。
Giulio Parigi,Giulio Parigi,Person,[Validation] 佛罗伦萨建筑师/舞台设计师。
Giulio Pisano,Giuho Pisano,Person,"[OCR Fix] ""Giuho"" -> ""Giulio"" (可能是现代学者 Giulio Pisano)。"
Giulio Romano,Giulio Romano,Person,[Validation] 拉斐尔学生/风格主义大师。
Giulio Sacchetti,Giulio Sacchetti,Person,[Validation] 枢机主教。
Giulio Savelli,Giulio Savelli,Person,[Validation] 枢机主教。
Giulio della Greca,Giulio della Greca,Person,[Validation] 可能是版画家/画家 (较小众)。
Giuseppe Agnello,Giuseppe Agnello,Person,[Validation] 历史学家/考古学家 (西西里)。
Giuseppe Angeli,Giuseppe Angeli,Person,[Validation] 威尼斯画家 (Piazzetta 学生)。
Giuseppe Angelo Maria Carron (Marquis of Aigueblanche),Giuseppe Angelo Maria Carron di San Tommaso marchese di Aigueblanche,Person,[Validation] 萨伏伊外交官。
Giuseppe Antonio Lotti,Giuseppe Antonio Lotti,Person,[Validation] 18世纪佛罗伦萨人物? 需区分 Antonio Lotti (作曲家)。
Giuseppe Antonio Patrignani,Giuseppe Antonio Patrignani,Person,[Validation] 耶稣会作家。
Giuseppe Arighini,Giuseppe Arighini,Person,[Validation] 人物。
Giuseppe Baretti,"Baretti, Giuseppe",Person,[Reconstruction] 文学评论家。
Giuseppe Bartolomeo Chiari,Giuseppe Bartolomeo Chiari,Person,[Validation] 罗马画家。
Giuseppe Bianchini,Giuseppe Bianchini,Person,[Validation] 奥拉托利会学者。
Giuseppe Camerata,"Camerata, Giuseppe",Person,[Validation] 威尼斯画家/版画家。
Giuseppe Campori,Giuseppe Campori,Person,[Validation] 摩德纳艺术史学家/收藏家。
Giuseppe Ceccarelli (Ceccarius),Giuseppe Ceccarelli,Person,[Validation] 罗马学家 (Romanist)。
Giuseppe Cesari (Cavaliere d'Arpino),"Arpino, Cavaliere d' | Giuseppe Cesari",Person,[Disambiguation] 朱塞佩·切萨里。 | [Validation] 罗马画家。
Giuseppe Chiari / Tommaso Chiari,"Chiari, Giuseppe and Tommaso",Person,[Split Required] 兄弟/父子画家。Giuseppe Chiari 是主要人物。
Giuseppe Cugnoni,Giuseppe Cugnoni,Person,[Validation] 19世纪图书馆员 (Chigi Archive)。
Giuseppe Delogu,Giuseppe Delogu,Person,[Validation] 艺术史学家。
Giuseppe Felici,Giuseppe Felici,Person,[Validation] 历史学家 (Villa Ludovisi)。
Giuseppe Fochessati,Giuseppe Fochessati,Person,[Validation] 曼图亚艺术写作者 (Gonzaga)。
Giuseppe Fossati,Giuseppe Fossati,Person,[Validation] 建筑师/档案学家。
Giuseppe Gabrieli,Giuseppe Gabrieli,Person,[Validation] 图书馆学家 (Accademia dei Lincei)。
Giuseppe Gambari,Giuseppe Gambari,Person,[Validation] 博洛尼亚版画家。
Giuseppe Gambarini,"Gambarini, Giuseppe",Person,[Reconstruction] 博洛尼亚风俗画家。
Giuseppe Gennari,Giuseppe Gennari,Person,[Validation] 帕多瓦历史学家。
Giuseppe Ghezzi,Giuseppe Ghezzi,Person,[Validation] 罗马画家/秘书 (Accademia di San Luca)。
Giuseppe Guido Ferrero,Giuseppe Guido Ferrero,Person,[Validation] 文学史学家。
Giuseppe Lorenzo Moncallero,Giuseppe Lorenzo Moncallero,Person,[Validation] 历史学家。
Giuseppe Manini,Giuseppe Manini,Person,[Validation] 克雷莫纳作家/建筑师。
Giuseppe Marc'Antonio Baretti,Giuseppe Marc'Antonio Baretti,Person,[Validation] 著名文学评论家。
Giuseppe Maria Crespi (Lo Spagnuolo),Giuseppe Maria Crespi,Person,[Validation] 博洛尼亚画家。
Giuseppe Maria Martelli,Giuseppe Maria Martelli,Person,[Validation] 佛罗伦萨大主教。
Giuseppe Maria Mazza,Giuseppe Maria Mazza,Person,[Validation] 博洛尼亚雕塑家。
Giuseppe Mazza,"Mazza, Giuseppe",Person,博洛尼亚雕塑家。
Giuseppe Mazzotti,Giuseppe Mazzotti,Person,[Validation] 特雷维索作家 (Ville Venete)。
Giuseppe Morazzoni,Giuseppe Morazzoni,Person,[Validation] 艺术史学家 (Ceramics/Furniture)。
Giuseppe Nicoletti,Giuseppe Nicoletti,Person,[Validation] 学者。
Giuseppe Nogari,Giuseppe Nogari,Person,[Validation] 威尼斯画家 (Character heads)。
Giuseppe Ortolani,Giuseppe Ortolani,Person,[Validation] 威尼斯文学史学家。
Giuseppe Pelli Bencivenni,Giuseppe Bencivenni Pelli,Person,[Standardization] 乌菲兹美术馆馆长/作家。
Giuseppe Pinacci,Giuseppe Pinacci,Person,[Validation] 17世纪画家。
Giuseppe Richa,Giuseppe Richa,Person,[Validation] 耶稣会士/佛罗伦萨教堂史学家。
Giuseppe Sardi,Giuseppe Sardi,Person,[Validation] 威尼斯巴洛克建筑师。
Giuseppe Tassini,Giuseppe Tassini,Person,[Validation] 威尼斯历史学家。
Giuseppe Toninotto,"Giuseppe Toninotto | Toninotto, Padre Giuseppe",Person,[Validation] 18世纪威尼斯出版商?。
Giuseppe Torelli,"Torelli, Giuseppe",Person,作曲家/小提琴家 (亦有同名画家)。
Giuseppe Triga,"Triga, G.",Person,罗马画家 (17世纪)。
Giuseppe Urbani de Gheltof,Giuseppe Urbani de Gheltof,Person,[Validation] 威尼斯历史学家。
Giuseppe Valeriano,"Giuseppe Valeriano | Valeriano, Padre",Person,[Validation] 耶稣会建筑师/画家。 | 耶稣会画家/建筑师。
Giuseppe Valeriano Vannetti,Giuseppe Valeriano Vannetti,Person,[Validation] 罗韦雷托建筑师/学者。
Giuseppe Valletta,Giuseppe Valletta,Person,[Validation] 那不勒斯哲学家/收藏家。
Giuseppe Zais,Giuseppe Zais,Person,[Validation] 威尼斯风景画家。
Giuseppe Zocchi,Giuseppe Zocchi,Person,[Validation] 佛罗伦萨画家 (Vedute)。
Giuseppe de Rosis,"Rosis, Giuseppe de",Person,
Giuseppe de Rossi,Giuseppe de Rossi,Person,[Validation] 罗马版画家/出版商。
Giustiniana Wynne,"Giustiniana Wynne Rosenberg-Orsini | Wynne, Giustiniana (Mme Rosenberg)",Person,[Validation] 威尼斯女作家。 | 威尼斯女作家（Countess Rosenberg）。
Giustiniani (Family),Giustiniani family,Group,[Validation] 贵族家族。
Giustino Valmarana,Giustino Valmarana,Person,[Validation] 维琴察贵族 (Tiepolo 赞助人)。
Glasgow,Glasgow,Place,[Validation] 城市。
Gloria Chiarini de Anna,Gloria Chiarini de Anna,Person,[Validation] 现代学者。
Glorification of the Pisani Family,Glorification of the Pisani family,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。
Glory of Venice,Glory of Venice,Concept/Work,[Validation] 展览标题或概念 (Gory of Venice: Art in the Eighteenth Century)。
God creating the Angels / Parnassus,God creating the Angels and Parnassus with Apollo and the Muses,Work,[Validation] 拉斐尔签字厅壁画 (The Parnassus 和天顶画)。
Godolphin,Godolphin,Person/Work,[Ambiguity] 可能是 Godolphin Arabian (画作) 或 Earl of Godolphin (人)。结合 E22，可能是画作。
Goffredo Wals,Goffredo Wals,Person,[Validation] 风景画家 (Agostino Tassi 的学生)。
Goliath,Goliath,Person,[Validation] 圣经人物。
"Gomer Berry, 1st Viscount Kemsley","Gomer Berry, 1st Viscount Kemsley",Person,[Validation] 英国报业大亨/收藏家。
Gonzaga (Family),Gonzaga,Group,[Validation] 曼图亚统治家族。
Gordon Albion,Gordon Albion,Person,[Validation] 历史学家。
Goschwin Nickel,Goschwin Nickel,Person,[Validation] 耶稣会总会长。
Goswin Nickel,"Nickel, Goswin",Person,耶稣会总会长。
Gran Tempio Antico,Gran Tempio Antico,Work,[Validation] 可能是画作标题 (The Great Ancient Temple) 或描述。
Grand Canal (Venice),Grand Canal,Place,[Validation] 威尼斯大运河。
Grand Tour (English tourists),English tourists in Italy,Group/Concept,[Validation] 群体/现象。
Grassi (Family),Grassi family,Group,[Validation] 威尼斯家族 (Palazzo Grassi)。
Grassi Collection,Grassi collection,Organization/Group,[Validation] 艺术收藏。
Great Council of Venice,Great Council of Venice,Organization,[Validation] 威尼斯大议会 (Maggior Consiglio)。
Great Ormond Street,Great Ormond Street,Place,[Validation] 伦敦街道。
Great Witley Church (St Michael and All Angels),Church Great WitleyWatson,Place,"[OCR Fix] ""Great WitleyWatson"" -> ""Great Witley"" (Watson可能是作者名误粘)。"
Gregorio De Ferrari,Gregorio De Ferrari,Person,[Validation] 热那亚画家。
Gregorio Lazzarini,Gregorio Lazzarini,Person,[Validation] 威尼斯画家 (Tiepolo的老师)。
Gregorio de Andrés,Gregorio de Andrés Martínez,Person,[Validation] 学者 (El Escorial图书馆员)。
Gregory VII,Gregory VII,Person,[Validation] 教皇格里高利七世。
Gregory XIII,"Boncampagni, Ugo (Pope Gregory XIII) | Gregory XIII",Person,[Disambiguation] 教皇格里高利十三世。 | [Validation] 教皇格里高利十三世。
Gregory XV,"Alessandro Ludovisi | Gregory XV | Ludovisi, Alessandro (Pope Gregory XV)",Person,[Disambiguation] 亚历山德罗·卢多维西 (教皇格里高利十五世)。 | [Disambiguation] 教皇格里高利十五世。 | [Validation] 教皇格里高利十五世。
"Grey Brydges, 5th Baron Chandos","Brydges, Grey | Chandos, Grey Brydges, 5th Lord | Grey Brydges, 5th Baron Chandos",Person,"[Disambiguation] ""King of the Cotswolds""。 | [Validation] 英国贵族。 | [Validation] 贵族。"
Grimani (Cardinal),"Grimani, Cardinal",Person,[Context] 可能是 Domenico Grimani 或其他。
Grimani (Doge),"Grimani, Doge",Person,"[Context] 可能是 Antonio Grimani, Marino Grimani, 或 Pietro Grimani。"
Grinling Gibbons,Grinling Gibbons,Person,[Validation] 雕刻家。
Guardian Angel,Angelo Custode,Work/Concept,[Disambiguation] 守护天使（主题）。
Guarino Guarini,Guarino Guarini,Person,[Validation] 建筑师。
Guercino,Giovanni Francesco Barbieri | Guercino (Francesco Barbieri),Person,[Category Fix] 原文误标为 Place。 | [Disambiguation] 顾尔奇诺。
Guglielmo Bauer,Guglielmo Bauer,Person,[Validation] 德国/意大利金匠? 可能是 Wilhelm Bauer。待定。
Guglielmo Berchet,Guglielmo Berchet,Person,[Validation] 历史学家 (19世纪)。
Guglielmo Biasutti,Guglielmo Biasutti,Person,[Validation] 历史学家 (20世纪)。
Guglielmo Della Valle,Guglielmo Della Valle,Person,[Validation] 艺术写作者 (Lettere sanesi)。
Guglielmo della Porta,Guglielmo della Porta,Person,[Validation] 雕塑家。
Guidalocti Franchini,Guidalocti Franchini,Person,"[Check Original] 极生僻。可能是 ""Guidalotti Franchini""? 待定。"
Guido Bentivoglio,Cardinal Bentivoglio | Guido Bentivoglio,Person,[Category Fix] 原文误标为 Work。通常指 Guido Bentivoglio 枢机 (凡戴克肖像)。 | [Validation] 枢机主教。
Guido Biagi,Guido Biagi,Person,[Validation] 图书馆员/学者。
Guido Cagnacci,Guido Cagnacci,Person,[Validation] 画家。
Guido Corti,Corti Guido,Person,[Reconstruction] 现代圆号演奏家? 若在古代语境，可能是误拼。
Guido Reni,Guido Reni,Person,[Validation] 著名画家。
Guido Zucchini,Guido Zucchini,Person,[Validation] 博洛尼亚艺术史学家。
Guidobaldo Abbatini,Guido Ubaldo Abbatini,Person,[Validation] 画家 (Urban VIII时期的 mosaicist)。
Guillaume Courtois (Il Borgognone),"Borgognone, Guglielmo (Guillaume Courtois) | Guillaume Courtois",Person,[Disambiguation] 纪尧姆·库尔图瓦。 | [Validation] 画家。
Gustav Adolf Michaelis,Gustav Adolf Michaelis,Person,[Validation] 产科医生 (可能因艺术收藏或解剖学相关)。
Gustavo Brigante Colonna,Gustavo Brigante Colonna Angelini,Person,[Validation] 现代作家。
Gustavus Adolphus,Gustavus Adolphus | Gustavus Adolphus of Sweden,Person,[Validation] 同上。 | [Validation] 瑞典国王。
Gustavus III,Gustavus III of Sweden,Person,[Validation] 瑞典国王。
Guy de Tervarent,Guy de Schoutheete de Tervarent,Person,[Validation] 图像学家 (Iconographer)。
Gyles Isham,Gyles Isham,Person,[Validation] 演员/古物学家。
Gymnasium zum Grauen Kloster,Gymnasium zum Grauen Kloster,Organization,[Category Fix] 原文误标为 Place。柏林学校。
Gypsy Woman with Soldiers,Gypsy Woman with Soldiers,Work,[Validation] 绘画主题 (Valentin de Boulogne等)。
H. Clifford Smith,Harold Clifford Smith,Person,[Validation] V&A 策展人。
Habsburg Collections (Prague),Hapsburg collections from Prague,Organization/Group,[Validation] 鲁道夫二世收藏。
Habsburg Patronage,Hapsburg patronage of Venetian artists,Concept,[Validation] 艺术赞助。
Hadrian,Hadrian,Person,[Validation] 罗马皇帝。
Hagia Sophia,Santa Sofia,Place,圣索菲亚大教堂（君士坦丁堡）或威尼斯圣索菲亚教堂。
Hampton Court Palace,Hampton Court Palace,Place,[Validation] 英国宫殿。
Hanging Gardens of Babylon,Hanging Gardens of Babylon,Place,[Validation] 古迹。
Hans Albrecht von Derschau?,Joachim von Derschau,Person,"[Check] ""Joachim von Derschau"" 可能是指普鲁士收藏家 Hans Albrecht von Derschau? 或者 Joachim von Sandrart 的亲戚? 搜索指向 19世纪收藏家 Hans Albrecht von Derschau。"
Hans Posse,Hans Posse,Person,[Validation] 博物馆馆长 (Hitler's curator)。
Hans Tietze,Hans Tietze,Person,[Validation] 艺术史学家。
Harold Acton,Harold Acton,Person,[Validation] 作家/收藏家。
Harold Wethey,Harold Wethey,Person,[Validation] 艺术史学家 (Titian/Greco)。
Hebrew Women singing after crossing the Red Sea,Hebrew Women singing after crossing the Red Sea,Work,[Validation] 绘画主题。
Heinrich Brauer,Heinrich Brauer,Person,[Validation] 艺术史学家 (Bernini drawings)。
Heinrich Zimmermann,Heinrich Zimmermann,Person,[Validation] 艺术史学家。
Heinrich von Brühl,"Brühl, Count | Heinrich von Brühl",Person,[Disambiguation] 萨克森首相/收藏家。 | [Validation] 萨克森首相/收藏家。
Helena (Empress),Helena Augusta,Person,[Disambiguation] 圣海伦娜 (君士坦丁之母)。
Henri de Bourbon (Prince of Condé),Henri de Bourbon,Person,[Disambiguation] 孔代亲王。
Henrietta Maria,"Henrietta Maria, Queen of England",Person,[Validation] 查理一世王后。
Henriette Adelaide of Savoy,"Henriette Adelaide of Savoy | Princess Henriette Adelaide of Savoy | Savoy, Adelaide Enrichetta of",Person,[Validation] 巴伐利亚选帝侯夫人。 | 巴伐利亚选帝侯夫人。
"Henry Arthur Herbert, 1st Earl of Powis",Henry Arthur Herbert,Person,[Full Name] 英国贵族。
Henry B. Wheatley,Henry Benjamin Wheatley,Person,[Validation] 编辑/索引学家 (Pepys)。
"Henry Bennet, 1st Earl of Arlington","Arlington, Lord | Henry Bennet",Person,[Disambiguation] 阿灵顿伯爵。 | [Validation] 英国政治家。
"Henry Bentinck, 1st Duke of Portland","Henry Bentinck | Portland, Henry, first Duke of",Person,[Disambiguation] 波特兰公爵。
Henry Fielding,Henry Fielding,Person,[Validation] 作家。
"Henry Fox-Strangways, 2nd Earl of Ilchester","Henry Fox-Strangways, 2nd Earl of Ilchester",Person,[Validation] 英国贵族。
"Henry Howard, 4th Earl of Carlisle",Henry Howard,Person,[Disambiguation] 收藏家。
Henry I of France,Henry I of France,Person,[Validation] 法国国王。
Henry III of France,Henri III | Henri III of France,Person,[Category Fix] 原文误标为 Place。 | [Validation] 法国国王。
Henry IV of France,Henri IV of France,Person,[Category Fix] 原文误标为 Place。
Henry Prunières,Henry Prunières,Person,[Validation] 音乐学家 (Monteverdi/Lully)。
"Henry Scudamore, 3rd Duke of Beaufort","Henry Scudamore, 3rd Duke of Beaufort",Person,[Validation] 英国贵族/收藏家。
Heraclitus,Heraclitus,Person,[Validation] 哲学家。
Herculaneum,Herculaneum,Place,[Validation] 赫库兰尼姆古城。
Hercules,Hercules,Person (Myth),[Validation] 大力神。
Hereward Lester Cooke,Hereward Lester Cooke,Person,[Validation] 博物馆策展人 (National Gallery of Art)。
Herman van Swanevelt,"Herman van Swanevelt | Swanevelt, Hermann",Person,[Validation] 荷兰画家。 | 荷兰风景画家。
Hermann Ritschl,Hermann Ritschl,Person,[Validation] 艺术写作者。
Hermann Voss,Hermann Voss,Person,[Validation] 艺术史学家 (Seicento)。
Hermit,Hermit,Person (Type),[Validation] 画作中的隐士形象。
Herod the Great,Herod the Great,Person,[Validation] 希律王。
Heroes approaching the Temple of Immortality,Heroes approaching the Temple of Immortality,Work,[Validation] 绘画主题。
Hilda Finberg,Hilda Finberg,Person,[Validation] 艺术史学家 (Canaletto)。
Historic e di Maniera Veneziana,Historic e di Maniera Veneziana,Concept,[Validation] 艺术风格描述 (History painting in Venetian manner)。
Holy Roman Empire,Holy Roman Empire,Place/Concept,[Validation] 神圣罗马帝国。
Holy See,Holy See,Organization,[Category Fix] 原文误标为 Place。教廷。
Homer,Homer,Person,[Validation] 荷马。
Horace,Horace,Person,[Validation] 罗马诗人 (贺拉斯)。
Horace Walpole,Horace Walpole,Person,[Validation] 英国作家/艺术史学家。
Horatio Brown,Horatio Brown,Person,[Validation] 威尼斯历史学家。
Horses of Saint Mark,Horses of Saint Mark,Work,[Category Fix] 原文误标为 Man-Made Object (可以接受，但更具体为 Work)。古代青铜马。
House of Lords,house of lords,Organization,英国上议院。
House of Representatives,house of representatives,Organization,众议院。
Howard Hibbard,Howard Hibbard,Person,[Validation] 艺术史学家 (Bernini/Caravaggio)。
Hugh Honour,Hugh Honour,Person,[Validation] 艺术史学家 (Neoclassicism/Venice)。
Hugh Percy,Hugh Percy,Person,"[Ambiguity] 可能是第一代或第二代诺森伯兰公爵。通常指 Hugh Percy, 1st Duke of Northumberland。"
"Hugh Percy, 10th Duke of Northumberland","Hugh Percy, 10th Duke of Northumberland",Person,[Context] 第十代公爵是现代人 (1953生)。如果出现在早期现代艺术书籍索引中，可能是误植 (应为 1st Duke) 或作为收藏所有者提及。
Hugo Hantsch,Pater Hugo Hantsch,Person,本笃会修士/历史学家。
Hugues-Humbert Servien,"Servient, Abb谷 de",Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Servien 家族成员，克莱门特九世的侍从。"
Hyacinthe Rigaud,Hyacinthe Rigaud,Person,[Validation] 法国画家。
