原始名称 (CSV),英文正式名称 (Formal Name),实体类型,判断依据与参考数据库,Description_CN,Description_EN,Matched_QID,Matched_Label,Matched_Desc,Match_Score,Match_Method
Giuseppe Angelo Maria Carron ...,Giuseppe Angelo Maria Carron,人名,"原书: 宫廷赞助; 库: DBI, Wikidata",萨伏依王室外交官及重要赞助人（埃格布兰什侯爵）。哈斯克尔分析他在跨国艺术流通中的中介作用。,Diplomat and patron of the Savoyard court.,Q55224989,Giuseppe Angelo Maria Carron di San Tommaso marchese di Aigueblanche,,0.4916666666666667,Relaxed Match (Formal Name)
Giuseppe Antonio Lotti,Giuseppe Antonio Lotti,人名,库: DBI,活跃于18世纪的艺术代理商或藏家，哈斯克尔通过其活动轨迹分析当时作品的价格波动与市场趣味。,18th-c. art agent or collector.,,,,,Failed (Relaxed)
Giuseppe Chiari / Tommaso Chiari (拆 A),Giuseppe Bartolomeo Chiari,人名,"依据: 拆分准则; 库: Getty, Wikidata",[拆分] 卡尔洛·马拉塔 最得意的门生之一，哈斯克尔详细描述了他如何在18世纪初继承并传播其导师的赞助网络。,Major pupil of Carlo Maratta.,Q3107986,Giuseppe Bartolomeo Chiari,Italian painter (1654-1727),0.7,Smart Match (Formal Name)
Giuseppe Chiari / Tommaso Chiari (拆 B),Tommaso Chiari,人名,"依据: 拆分原则; 库: RKD, DBI",[拆分] 朱塞佩之弟，作为助手参与了大量马拉塔学派的宏大赞助工程。,Brother and assistant to Giuseppe Chiari.,Q52149250,Tommaso Chiari,"Italian artist, 1665-1733",0.7,Smart Match (Formal Name)
Giuseppe Fochessati,Giuseppe Fochessati,人名,库: WorldCat,活跃于伦巴第的收藏家或学者，哈斯克尔通过其文献追溯某些名作在19世纪前的流转情况。 / Lombard scholar,collector cited for provenance history.,,,,,Failed (Relaxed)
Giuseppe Lorenzo Moncallero,Giuseppe Lorenzo Moncallero,人名,库: DBI,活跃于都灵的17世纪赞助人或代理人。哈斯克尔分析萨伏依宫廷如何吸引各流派艺术家。,17th-c. patron or agent in the Savoyard court.,,,,,Failed (Relaxed)
Giuseppe Toninotto,Giuseppe Toninotto,人名,原书: 第14章; 库: DBI,18世纪威尼斯鉴赏家与收藏家，与扎内蒂（Zanetti）等人的学术圈层有交集。,18th-c. Venetian connoisseur linked to Zanetti.,,,,,Failed (Relaxed)
Giuseppe de Rosis,Giuseppe de Rosis,人名,原书: 第6章; 库: DBI,哈斯克尔提及的耶稣会赞助人或中介人，涉及对罗马耶稣教堂内部装饰的资金支持与监管。,Jesuit patron involved in the decoration of the Gesù.,,,,,Failed (Relaxed)
Gloria Chiarini de Anna,Gloria Chiarini de Anna,人名,库: JSTOR,20世纪艺术史学者。哈斯克尔在探讨威尼斯艺术赞助研究的学术传承时提及此人。,20th-c. art historian specializing in Venetian patronage.,,,,,Failed (Relaxed)
Glorification of the Pisani Family,The Apotheosis of the Pisani Family,作品,"依据: 原书 第14章; 库: RKD, Wikidata",詹巴蒂斯塔·提埃坡罗 为斯特拉皮萨尼别墅（Villa Pisani）创作的巨幅天顶画。象征18世纪伟大家族的权力。,Ceiling fresco by Tiepolo for the Pisani family.,,,,,Failed (Relaxed)
Glory of Venice,The Glory of Venice (Concept/Subject),概念/题材,依据: 艺术史术语; 库: Getty AAT,常见于威尼斯总督府的宏大叙事题材，哈斯克尔用其分析威尼斯共和国的自我神化赞助。,Ideological subject in Venetian state art.,,,,,Failed (Relaxed)
God creating the Angels / Parnassus (拆 A),God Creating the Angels,作品,依据: 拆分原则; 库: RKD,哈斯克尔以此指代特定教堂天顶画（如 巴奇乔 创作）。,"Specific ceiling subject (e.g., by Baciccio).",,,,,Failed (Relaxed)
God creating the Angels / Parnassus (拆 B),Parnassus,作品,依据: 拆分原则; 库: RKD,泛指此类古典题材作品（如 安东·拉斐尔·门斯 为阿尔巴尼别墅创作）。,"Classical subject (e.g., by Mengs for Villa Albani).",Q28034564,Parnassus,journal 1929-1941,0.7,Smart Match (Formal Name)
Gordon Albion,Gordon Albion,人名,"库: WorldCat, JSTOR",学者，哈斯克尔引用其对17世纪斯图亚特王朝赞助的研究，特别是与天主教会的联系。,Scholar of Stuart patronage and Catholic links.,,,,,Failed (Relaxed)
Gran Tempio Antico,Great Ancient Temple (Capriccio),作品,"依据: 艺术史术语; 库: RKD, Getty",可能指代 皮拉内西 或 帕尼尼 创作的幻想性古代建筑画，体现了当时的考古赞助趣味。,Archaeological capriccio by Piranesi or Panini.,,,,,Failed (Relaxed)
Grassi Collection,Grassi Collection (Venice),机构,原书: 第14章; 库: Getty Research,18世纪威尼斯著名的艺术收藏。哈斯克尔用其展示威尼斯新晋商业贵族的赞助崛起。,18th-c. Venetian private collection.,,,,,Failed (Relaxed)
Great Witley Church,"St Michael and All Angels, Great Witley",地点,"依据: 来源核对; 库: British Museum, Wikidata",该教堂藏有原本属于 卡农斯阿什比 的 塞巴斯蒂亚诺·里奇 画作，哈斯克尔以此追溯赞助品的流散。,Contains works by Sebastiano Ricci from a previous location.,,,,,Failed (Relaxed)
Guidalocti Franchini,Guido Antonio Franchini,人名,依据: 拼写更正; 库: DBI,[纠错] 17世纪博洛尼亚赞助人。哈斯克尔引用其记录，描述当地贵族如何直接干预艺术家的创作风格。,17th-c. Bolognese patron; cited for direct intervention.,,,,,Failed (Relaxed)
Habsburg Collections (Prague),Imperial Collections in Prague,机构,原书: 结论; 库: Google Scholar,哈斯克尔以此分析哈布斯堡家族如何将意大利艺术作为权力的象征在波西米亚推广。,Habsburg art collections as tools of political power.,,,,,Failed (Relaxed)
Habsburg Patronage,Habsburg Art Patronage,概念,依据: 全书背景,指代哈布斯堡王室在意大利（如那不勒斯、米兰）进行的宏大赞助活动与外交收购。,Imperial patronage in Italian territories.,,,,,Failed (Relaxed)
Hans Albrecht von Derschau?,Hans Albrecht von Derschau,人名,依据: 收藏史背景; 库: Wikidata,哈斯克尔在探讨版画收藏史时提及的18世纪重要收藏家。,18th-c. collector of prints and drawings.,Q55843668,Hans Albrecht von Derschau,,0.7,Smart Match (Formal Name)
Hebrew Women singing ... Red Sea,The Song of Miriam (The Hebrew Women...),作品,原书: p.231; 库: RKD,索利梅纳（Solimena）为马切拉塔画廊创作的史诗题材。哈斯克尔分析赞助人对圣经英雄主义的偏爱。,Epic painting by Solimena for Palazzo Buonaccorsi.,,,,,Failed (Relaxed)
Heroes approaching the Temple of Immortality,Heroes at the Temple of Immortality,作品,原书: 第6章; 库: RKD,大型寓言画（如 马拉塔 创作）。哈斯克尔以此展示赞助人对自我神圣化的审美诉求。,"Allegorical painting (e.g., by Maratta).",,,,,Failed (Relaxed)
Hilda Finberg,Hilda Finberg,人名,库: JSTOR,20世纪艺术史家。哈斯克尔在致谢或参考文献中引用其对18世纪英国艺术品流转的研究。,20th-c. art historian cited for English art movement studies.,,,,,Failed (Relaxed)
Historic e di Maniera Veneziana,Historie e di Maniera Veneziana,概念,依据: 艺术史术语,威尼斯叙事画与风格。哈斯克尔分析威尼斯画派如何通过特定的赞助传统保持其独特性。,Concept regarding Venetian narrative and style.,,,,,Failed (Relaxed)
Hugues-Humbert Servien,Hugues-Humbert Servien,人名,"库: DBI, Gallica",17世纪法国外交官与收藏中介。哈斯克尔通过其档案考证马扎然枢机主教在意大利的大规模采购。 / French diplomat,agent active in the Italian market for Mazarin.,,,,,Failed (Relaxed)
"Illustration for ""Newtonianismo per le dame""",Newtonianismo per le dame (Frontispiece),作品,"依据: IA; 库: British Museum, RKD",詹巴蒂斯塔·皮亚泽塔 (Piazzetta) 为阿尔加罗蒂的著作设计的插图。体现了18世纪科学与艺术赞助的结合。,Plates by Piazzetta for Algarotti's book.,,,,,Failed (Relaxed)
Illustrations for De Bello Belgico,De Bello Belgico (Illustrations),作品,依据: IA; 库: British Museum,斯特拉达著作的配图，涉及多位17世纪名家。哈斯克尔以此分析政治宣传赞助。,Plates for Famiano Strada's book; used for political propaganda.,Q113626461,De Bello Belgico,specialist literature by Famiano Strada,0.4333333333333333,Relaxed Match (Name without Parens)
Illustrations for Latin Poems,Illustrations for Latin Poems,作品,依据: IA; 库: British Museum,可能指代 彼得罗·达·科尔托纳 为教皇乌尔班八世的诗集所作的版画。,Prints by Cortona for Urban VIII's Latin poems.,,,,,Failed (Relaxed)
Images of Palladian Architecture,Palladian Revival Views,作品,原书: 第14章; 库: Getty Research,18世纪威尼斯赞助人（如法尔塞蒂）委托创作的帕拉迪奥风格版画。,18th-c. prints of Palladian buildings for patrons.,,,,,Failed (Relaxed)
Imago Primi Saeculi Societatis Jesu,Imago Primi Saeculi Societatis Iesu,著作,"依据: IA; 库: Internet Archive, Wikidata",1640年出版的纪念耶稣会成立一百周年的书籍。哈斯克尔以此分析该教团的视觉赞助战略。,A 1640 book documenting Jesuit visual patronage strategy.,,,,,Failed (Relaxed)
Indecency in art,Decorum and Indecency in Art,概念,依据: 全书核心概念,“得体”与“淫秽”的概念。哈斯克尔探讨反宗教改革时期教会对赞助作品的审查。,Censorship and decorum in Counter-Reformation art.,,,,,Failed (Relaxed)
Influence of late 17th-century wars ...,Influence of Wars on Art Patronage,概念,原书: 结论,哈斯克尔探讨战争（如西班牙王位继承战争）如何导致艺术品流通加速与赞助格局改变。,Impact of 17th-c. wars on the art market and patronage.,,,,,Failed (Relaxed)
Interior of Sant'Andrea al Quirinale,Interior of Sant'Andrea al Quirinale,地点,依据: 原书 第6章; 库: Wikidata,贝尔尼尼 设计的耶稣会教堂内部。哈斯克尔用其分析教皇亚历山大七世的审美意志。,Bernini's masterpiece; analyzed for Alexander VII's taste.,,,,,Failed (Relaxed)
Jacopo Pedozzi,Jacopo Pedozzi,人名,依据: 档案记录,哈斯克尔提及的17世纪基层赞助人或教士，涉及对巴洛克小型装饰的委托。,17th-c. local patron for Baroque decorations.,,,,,Failed (Relaxed)
Jacques Duyvelant,Jacques Duyvelant,人名,"库: RKD, DBI",17世纪活跃于意大利市场的尼德兰经纪人。哈斯克尔以此探讨国际艺术贸易的中介网络。,17th-c. Netherlandish art agent in Italy.,,,,,Failed (Relaxed)
Jacques Tubeuf,Jacques Tubeuf,人名,"库: Wikidata, Gallica",马扎然枢机主教的财务顾问与赞助代理人。哈斯克尔分析法意艺术贸易的资金运作。,Financial advisor and agent for Cardinal Mazarin.,,,,,Failed (Relaxed)
Jesuit Archives,Archivium Romanum Societatis Iesu (ARSI),机构,依据: 原书 参考文献; 库: Wikidata,耶稣会档案馆。哈斯克尔全书研究罗马及国际耶稣会赞助最重要的原始文献库。,Foundational archive for studying Jesuit patronage.,,,,,Failed (Relaxed)
Johann Adalbert Veith,Johann Adalbert Veith,人名,库: WorldCat,18世纪中欧赞助人或经纪人，哈斯克尔探讨巴洛克风格向北方扩散时的中介。,18th-c. Central European patron or broker.,,,,,Failed (Relaxed)
"Johann Georg III, Elector of Saxony",Johann Georg III,人名,"库: Wikidata, Google Scholar",萨克森选帝侯。哈斯克尔分析他通过委托意大利画家确立德意志宫廷地位。,Elector of Saxony and patron of Italian art.,Q454483,John George III of Saxony,Elector of Saxony from 1680 to 1691,0.6000000000000001,Smart Match (Formal Name)
"Johann Wilhelm, Elector Palatinate",Johann Wilhelm,人名,"库: Wikidata, Getty ULAN",普法尔茨选帝侯，18世纪最显赫的意大利艺术赞助人之一。,Major 18th-c. patron of Italian masters.,Q108653305,Johann Wilhelm,"German artist, active 1606",0.7,Smart Match (Formal Name)
John Breval,John Durant Breval,人名,"库: IA, Wikipedia",18世纪英国旅行家与鉴赏家。哈斯克尔引用其《游记》作为追踪作品流动的核心史料。,18th-c. British traveler and connoisseur.,Q6230521,John Durant Breval,English writer,0.7,Smart Match (Formal Name)
Joint caricature of Simonelli and Mola,Caricature of Simonelli and Mola,作品,原书: p.124; 库: British Museum,可能由 皮埃尔·莱昂内·盖齐 (Ghezzi) 创作。哈斯克尔以此讨论艺术家与赞助人的非正式社交。,Caricature by Pier Leone Ghezzi of the artists.,,,,,Failed (Relaxed)
Juan de Tassis y Peralta ...,"Juan de Tassis, 2nd Count of Villamediana",人名,"库: Wikidata, DBI",西班牙著名赞助人与外交官。哈斯克尔探讨他与哈布斯堡王朝在意赞助的关系。,Spanish patron and diplomat in the Habsburg circle.,Q4111408,"Juan de Tassis, 2nd Count of Villamediana",Spanish Baroque poet,0.8,Smart Match (Formal Name)
"Juno, Goddess of Air",Juno as Allegory of Air,作品/题材,依据: 艺术史术语; 库: RKD,常见于大型天顶画（如 科尔托纳 创作）。哈斯克尔以此分析四元素寓言中的赞助偏好。,Common Baroque ceiling allegory.,,,,,Failed (Relaxed)
Jupiter among the Corybantes,Jupiter and the Corybantes,作品,原书: 第11章; 库: RKD,泛指此类古典史诗题材（如 里奇 创作）。哈斯克尔用其探讨18世纪威尼斯的史诗叙事赞助。,Classical subject; used to discuss 18th-c. epic patronage.,,,,,Failed (Relaxed)
Jupiter giving Suck,The Nursing of Jupiter,作品,依据: 原书指认; 库: RKD,同样为哈斯克尔提及的史诗画作（如 普桑 创作的版本）。,Subject by Poussin or similar in patronage context.,Q64536924,The Nursing of Jupiter,drawing in the National Gallery of Art (NGA 53150),0.7,Smart Match (Formal Name)
Jupiter handed over ... to the Corybantes,Jupiter at the Corybantes,作品,原书: p.231; 库: RKD,同上，哈斯克尔以此分析马切拉塔画廊中涉及的希腊神话叙事系统。,Mythological cycle in Palazzo Buonaccorsi.,,,,,Failed (Relaxed)
Jupiter sending down his Thunderbolts,Jupiter hurling his Thunderbolts,作品,依据: 原书 第6章; 库: RKD,象征权力的寓言画（如 马拉塔 创作）。哈斯克尔以此探讨教皇乌尔班八世的艺术神化。,Allegory of power; used to discuss Urban VIII.,,,,,Failed (Relaxed)
Justinus ... / Justin Martyr (拆 A),Justinus (Historian),人名,依据: 拆分原则; 库: Wikidata,[拆分] 古罗马史学家马库斯·尤尼亚努斯·尤斯廷努斯。哈斯克尔指出其著作为17世纪英雄画提供了核心母题。,Roman historian; source for heroic art motifs.,Q112731172,Justinus,ancient Roman cognomen,0.3857142857142857,Relaxed Match (Name without Parens)
Justinus ... / Justin Martyr (拆 B),Justin Martyr,人名,依据: 拆分准则; 库: Wikidata,[拆分] 早期基督教殉道者。哈斯克尔在讨论反宗教改革圣徒赞助时涉及此人图像。,Christian martyr discussed in iconographic patronage.,Q185117,Justin Martyr,2nd century CE Christian apologist and martyr,0.8999999999999999,Smart Match (Formal Name)
King Solomon Bathing,King Solomon Bathing (Bathsheba?),作品,依据: 原书 宗教赞助; 库: RKD,可能指代哈斯克尔提及的关于大卫或所罗门的特定圣经画作。,Specific biblical painting mentioned in patronage.,,,,,Failed (Relaxed)
King's College Library,King's College Library (Cambridge),地点,"依据: IA; 库: British Museum, Wikidata",剑桥国王学院图书馆。哈斯克尔以此追溯重要手稿与艺术文献流入英国的过程。,Cited for the movement of manuscripts and art to Britain.,,,,,Failed (Relaxed)
L'Inondazione del Tevere,The Flood of the Tiber,作品,"原书: 第8章; 库: RKD, Google",萨尔瓦托·罗莎 (Salvator Rosa) 或类似画家的特定作品，记录了1660年罗马的大水灾及其社会背景。,Work recording the 1660 flood by Salvator Rosa.,,,,,Failed (Relaxed)
L'Osservatore Veneto,L'Osservatore Veneto,著作,"依据: IA; 库: DBI, Internet Archive",加斯帕罗·戈齐 (Gozzi) 在18世纪威尼斯创办的报刊。哈斯克尔引用其评论以分析当时的品味变迁。,18th-c. Venetian journal; source for taste analysis.,,,,,Failed (Relaxed)
La Beata Vergine in Egitto ...,Rest on the Flight into Egypt,作品,原书: 第7章; 库: British Museum,卡尔洛·马拉塔 为帕姆菲利家族创作的版画或油画。,By Carlo Maratta for the Pamphilj family.,Q3427290,Rest on the flight into Egypt,subject in Christian art,0.7,Smart Match (Formal Name)
La Burla del Piovano Arlotto,The Prank of Piovano Arlotto,作品,"原书: p.124; 库: RKD, Wikidata",乔瓦尼·达·圣乔瓦尼 (Giovanni da San Giovanni) 创作。哈斯克尔以此展示梅第奇赞助中的诙谐风格。,By Giovanni da San Giovanni for the Medici.,,,,,Failed (Relaxed)
La Chiesa di Gesù Cristo vendicata...,La Chiesa di Gesù Cristo vendicata,著作,依据: IA; 库: Internet Archive,18世纪著名的护教书籍。哈斯克尔引用其论证当时赞助与启蒙思想的冲突。,18th-c. apologetic book cited regarding Enlightenment.,,,,,Failed (Relaxed)
La Galleria di Minerva,La Galleria di Minerva,著作,"依据: 用户指认; 库: Google, IA",吉罗罗莫·阿尔布里齐 (Albrizzi) 1696-1717年出版的百科全书式期刊，全书核心参考文献。,Encyclopedia-journal published by Albrizzi.,,,,,Failed (Relaxed)
La rissa all'Ambasciata di Spagna,The Riot at the Spanish Embassy,作品,依据: 原书 第8章; 库: Google,描绘17世纪马德里或罗马特定政治冲突的版画/画作，哈斯克尔用其说明政治赞助。 / Political print,painting documenting diplomatic riots.,,,,,Failed (Relaxed)
Labia Collection,Labia Collection (Venice),机构,原书: 第14章; 库: Getty Research,威尼斯著名的拉比亚家族收藏。哈斯克尔详述了该家族如何通过提埃坡罗的壁画展示新贵族地位。,Famous collection of the Labia family.,,,,,Failed (Relaxed)
Le Arti che vanno per via ...,Le Arti che vanno per via,著作,"依据: 用户指认; 库: British Museum, Google",加埃塔诺·宗皮尼 (Zompini) 1753年出版的60幅威尼斯行当版画集。,Famous series of 60 etchings by Gaetano Zompini.,,,,,Failed (Relaxed)
Le Fabbriche e Vedute di Venetia,Le Fabbriche e Vedute di Venetia,著作,"依据: 用户指认; 库: British Museum, Google",卢卡·卡莱瓦里斯 (Carlevarijs) 1703年出版的开创性地志画册。,Foundational work of vedutismo by Luca Carlevarijs.,,,,,Failed (Relaxed)
Leonardo Pasqueti,Leonardo Pasqueti,人名,依据: 拼写更正; 库: DBI,哈斯克尔引用或提及的17世纪赞助相关人物，涉及对威尼斯地区艺术订单的管理。,17th-c. figure in Venetian art management.,,,,,Failed (Relaxed)
Leonardo Pasquetti,Leonardo Pasquetti,人名,依据: 拼写更正; 库: DBI,重复项，同上行。哈斯克尔微观史研究的对象。,Duplicate of Leonardo Pasqueti.,,,,,Failed (Relaxed)
Leonardo Pesaro,Leonardo Pesaro,人名,"库: DBI, Treccani",威尼斯佩萨罗家族成员，哈斯克尔提及他在维罗内塞及提齐安诺旧作重估中的作用。,Member of the Pesaro family and art patron.,,,,,Failed (Relaxed)
Leonardo Valmarana,Leonardo Valmarana,人名,"库: DBI, Treccani",维琴察瓦尔马拉纳家族显赫成员，哈斯克尔探讨帕拉迪奥风格赞助传承时的对象。,Member of the Valmarana family and patron.,,,,,Failed (Relaxed)
Leto turning the Shepherds into Frogs,Latona and the Shepherds,作品,原书: p.231; 库: RKD,索利梅纳 创作。哈斯克尔以此指代马切拉塔画廊中的希腊神话题材。,By Solimena for Palazzo Buonaccorsi.,,,,,Failed (Relaxed)
Lita-Rose Betcherman,Lita-Rose Betcherman,人名,库: JSTOR,20世纪艺术史学者，专注于17世纪艺术市场与赞助研究。哈斯克尔在参考文献中多次引用其著作。,20th-c. art historian specialized in the art market.,,,,,Failed (Relaxed)
Lodovico Gabrielli,Lodovico Gabrielli,人名,"库: DBI, Google",哈斯克尔引用或提及的17世纪赞助人，活跃于罗马及其周边。,17th-c. patron active in and around Rome.,,,,,Failed (Relaxed)
Lodovico Rezzonico,Lodovico Rezzonico,人名,"库: DBI, Wikidata",教皇克雷芒十三世的亲属。哈斯克尔分析雷佐尼科家族如何在威尼斯与罗马建立权力赞助网。,Member of the Rezzonico family; key patron.,,,,,Failed (Relaxed)
Lorenzo del Rosso,Lorenzo del Rosso,人名,"库: DBI, Getty Research",17世纪佛罗伦萨或罗马的收藏家，哈斯克尔通过其收藏清单还原当时对经典作品的评价。,17th-c. collector cited for inventory evaluation.,,,,,Failed (Relaxed)
Luca Bartolotti,Luca Bartolotti,人名,库: DBI,哈斯克尔引用或提及的17世纪基层赞助代理人。,17th-c. art agent or local patron mentioned by Haskell.,,,,,Failed (Relaxed)
Luca Ombrosi,Luca Ombrosi,人名,"依据: IA; 库: DBI, Internet Archive",18世纪佛罗伦萨学者，其书信集是哈斯克尔研究晚期美第奇时代赞助口味的基石。,18th-c. Florentine scholar; source for Medici taste.,,,,,Failed (Relaxed)
Lucchese Community,Lucchese Community in Rome,群体,原书: 第11章,居住在罗马的卢卡同乡会，其对特定的罗马教堂（如San Girolamo）进行的行会赞助。,The community and guild of Lucca in Rome.,,,,,Failed (Relaxed)
Lucien Marcheix,Lucien Marcheix,人名,"库: WorldCat, Gallica",20世纪初法国史学家。哈斯克尔在讨论17世纪法意艺术关系时引用其研究。,French historian cited for 17th-c. Franco-Italian relations.,,,,,Failed (Relaxed)
Luigi Teodoli,Luigi Teodoli,人名,"库: DBI, Google",18世纪罗马贵族赞助人，泰奥多利家族成员，支持当地多项建筑与绘画工程。,18th-c. Roman noble patron from the Teodoli family.,,,,,Failed (Relaxed)
M. de Bordeaux,M. de Bordeaux,人名,依据: 赞助史背景; 库: Gallica,17世纪法国驻英大使，哈斯克尔在探讨英法艺术品流通中提及的收藏中介。,French Ambassador to England; art agent.,,,,,Failed (Relaxed)
Marchands-amateurs,Marchands-amateurs,概念,依据: 艺术史术语; 库: Getty AAT,“商人-鉴赏家”。哈斯克尔以此概念描述18世纪中产阶级中兼具商业与审美的赞助人群体。,Concept of the merchant-connoisseur in the 18th c.,,,,,Failed (Relaxed)
Marchese Raggi,Marchese Ottaviano Raggi,人名,依据: 原书 p.124; 库: DBI,17世纪热那亚/罗马赞助人。哈斯克尔引用其与贝尔尼尼等人的订单考证。,17th-c. patron linked to Bernini.,,,,,Failed (Relaxed)
Marchese Ruspoli,Marchese Francesco Maria Ruspoli,人名,"库: DBI, Wikidata",18世纪罗马最显赫的艺术赞助人之一，特别是在音乐与绘画领域。,One of the most prominent 18th-c. Roman patrons.,,,,,Failed (Relaxed)
Marchigian town,Patronage in Marchigian towns,地点/概念,原书: 第8章,泛指马尔凯大区小镇的赞助，哈斯克尔以此探讨地方艺术与罗马中心的互动。,Art patronage in towns of the Marche region.,,,,,Failed (Relaxed)
Marguerite Calberg,Marguerite Calberg,人名,库: JSTOR,20世纪学者。哈斯克尔在探讨巴洛克挂毯赞助及跨国艺术流向时引用其研究。,20th-c. scholar cited for tapestry patronage studies.,,,,,Failed (Relaxed)
Maria Elena Ghelli,Maria Elena Ghelli,人名,"库: JSTOR, Google Scholar",20世纪艺术史家。哈斯克尔在讨论17世纪罗马赞助家族世袭史时提及此人。,20th-c. art historian mentioned regarding patronage.,,,,,Failed (Relaxed)
Maria Pamphilj,Maria Pamphilj,人名,库: DBI,帕姆菲利家族重要女性，哈斯克尔探讨家族性赞助遗产的维护与传承。,Member of the Pamphilj family; key to legacy maintenance.,,,,,Failed (Relaxed)
Mario D'Orsi,Mario d'Orsi,人名,库: WorldCat,20世纪中叶意大利艺术史家，哈斯克尔引用其对巴洛克绘画订制契约的微观研究。,Italian historian cited for micro-history of commissions.,,,,,Failed (Relaxed)
Mark Samuel Weil,Mark Samuel Weil,人名,库: JSTOR,20世纪学者，哈斯克尔在研究贝尔尼尼及17世纪罗马艺术赞助史时引用的资源。,20th-c. scholar cited for Bernini patronage studies.,,,,,Failed (Relaxed)
Marriage Allegory of the Rezzonico Family,The Allegory of Merit and the Rezzonico Marriage,作品,"依据: 原书 第14章; 库: RKD, Wikidata",詹巴蒂斯塔·提埃坡罗 为雷佐尼科宫创作的天顶画。象征着威尼斯与罗马两大家族的联合。,Ceiling fresco by Tiepolo for Ca' Rezzonico.,,,,,Failed (Relaxed)
Martirii patiti dai Santi Martiri ...,The Martyrdom of the Saints (Engravings),作品,依据: IA; 库: British Museum,指代哈斯克尔提及的由 安东·玛利亚·扎内蒂 或类似名家创作的圣徒殉道图集。,Engravings of saintly martyrdoms; source for iconography.,Q21674546,The Martyrdom of the Saints Crispin and Crispinian,painting by Ghislain Vroyelinck,0.3555555555555555,Relaxed Match (Name without Parens)
Martyrdom of Saint John the Bishop,Martyrdom of Saint John the Bishop,作品,依据: 原书指认; 库: RKD,哈斯克尔以此指代特定赞助语境下的作品（如 索利梅纳 为那不勒斯创作）。 / Biblical,saintly subject by Solimena.,,,,,Failed (Relaxed)
María Antonieta Gatas,María Antonieta Gatas,人名,库: Google Scholar,哈斯克尔提及的西班牙或那不勒斯女性藏家。 / Female collector in Spanish,Neapolitan circles.,,,,,Failed (Relaxed)
Matteo da Città di Castello,Matteo da Città di Castello,人名,库: DBI,哈斯克尔引用或提及的17世纪教皇代理人或经纪人。,17th-c. papal agent or broker mentioned by Haskell.,,,,,Failed (Relaxed)
Matteo del Teglia,Matteo del Teglia,人名,依据: 原书 p.124; 库: DBI,17世纪佛罗伦萨赞助代理人，活跃于美第奇宫廷与罗马之间。,17th-c. Florentine art agent active in Rome.,,,,,Failed (Relaxed)
Mattia Rosichino,Mattia Rosichino,人名,依据: 原书 p.124; 库: DBI,17世纪艺术代理人。哈斯克尔通过其信件考证当时赞助人与艺术家之间的权力博弈。,17th-c. art agent; cited for artist-patron power dynamics.,,,,,Failed (Relaxed)
Mattia Rosichino,Mattia Rosichino,人名,原书: 第6章; 库: DBI,17世纪活跃于罗马的艺术代理人。哈斯克尔通过其信件揭示了当时赞助人如何远程干预画家的创作细节。,17th-c. art agent in Rome; cited for artist-patron dynamics.,,,,,Failed (Relaxed)
Medici Villa of Poggio a Caiano,Villa di Poggio a Caiano,地点,原书: 第8章; 库: Wikidata,美第奇家族在托斯卡纳最著名的别墅。哈斯克尔以此分析梅第奇晚期（如科西莫三世）的装饰性赞助与象征表达。,Famous Medici villa; analyzed for late-Medici decorative patronage.,,,,,Failed (Relaxed)
Mercury awaking Aeneas,Mercury waking Aeneas from Sleep,作品,原书: p.231; 库: RKD,弗朗切斯科·索利梅纳 (Solimena) 为马切拉塔 Buonaccorsi 宫“埃涅阿斯画廊”创作。哈斯克尔以此探讨省级贵族的英雄主义叙事。,By Solimena for Palazzo Buonaccorsi.,,,,,Failed (Relaxed)
Michele Lauretano,Michele Lauretano,人名,原书: 宗教赞助; 库: DBI,16世纪末、17世纪初耶稣会教育家。哈斯克尔以此讨论耶稣会早期通过教育系统进行的艺术准则输出。,Jesuit scholar; linked to Jesuit art standards.,,,,,Failed (Relaxed)
Mina Pajes Merriman,Mina Pajes Merriman,人名,"库: JSTOR, Google Scholar",20世纪艺术史学家。哈斯克尔引用其对 吉亚科莫·切鲁蒂 (Ceruti) 及其现实主义赞助的研究。,20th-c. art historian cited for Ceruti studies.,,,,,Failed (Relaxed)
Mississippi Gallery,Mississippi Scheme (John Law),事件,原书: 第15章; 库: Wikidata,约翰·劳的密西西比泡沫。哈斯克尔探讨这一金融危机如何打击了法国对意大利艺术的购买力。,Financial collapse that impacted French art collecting.,Q1192494,Mississippi Company,monopoly in French colonies in North America and the West Indies,0.4684210526315789,Relaxed Match (Name without Parens)
Modello ... Apotheosis of St Ignatius,Modello for the Apotheosis of St Ignatius,作品,原书: 第6章; 库: RKD,安德烈·波佐 (Andrea Pozzo) 为耶稣教堂天顶画创作的模型。哈斯克尔以此分析大规模装饰工程的审批流程。,Andrea Pozzo's modello for the Gesù ceiling.,,,,,Failed (Relaxed)
Modello ... Glory of St Aloysius Gonzaga,Modello for the Glory of St Aloysius,作品,原书: 第6章; 库: RKD,可能指代 巴奇乔 (Baciccio) 或 波佐 创作的特定方案。哈斯克尔讨论耶稣会圣徒图像志的建立。,Jesuit iconographic modello by Baciccio or Pozzo.,,,,,Failed (Relaxed)
Mola painting ... Pope Alexander VII,Mola painting Alexander VII,作品,原书: p.124; 库: RKD,皮埃尔·弗朗切斯科·莫拉 (Mola) 为教皇亚历山大七世画肖像的情景。哈斯克尔以此探讨艺术家在教皇宫廷的生存状态。,P.F. Mola painting the Pope; used for court life analysis.,,,,,Failed (Relaxed)
