Index,Row ID,主体 (Subject),谓词 (Predicate),客体 (Object),状态 (Status),依据 (Source),核验逻辑 (Evidence_Logic),_source_file
35,25,John Law,acquired,Venetian art,Inferred,,Wiki: 流亡期间大量收购绘画。,11-L 深度解析全量结果表 (1-100行).md
36,26,Gregorio Lazzarini,active_in,Venice,Confirmed,,"1:N物理页码爆破 (1/4): p.166n, 194, 195。",11-L 深度解析全量结果表 (1-100行).md
37,26,Gregorio Lazzarini,active_in,Venice,Confirmed,,"1:N物理页码爆破 (2/4): p.199, 225, 227n。",11-L 深度解析全量结果表 (1-100行).md
38,26,Gregorio Lazzarini,active_in,Venice,Confirmed,,"1:N物理页码爆破 (3/4): p.246n, 248, 250, 251。",11-L 深度解析全量结果表 (1-100行).md
39,26,Gregorio Lazzarini,active_in,Venice,Confirmed,,"1:N物理页码爆破 (4/4): p.255, 266, 270, 302, 393。",11-L 深度解析全量结果表 (1-100行).md
4,4,Georges de La Tour,subject_of,tenebrism,Confirmed,,页码爆破 (1/2): p.133。暗色调主义在法国。,11-L 深度解析全量结果表 (1-100行).md
40,27,Gregorio Lazzarini,is_author_of,Battle of Aeneas and Mezentius,Confirmed,,作品定义: p.225n。,11-L 深度解析全量结果表 (1-100行).md
41,28,Gregorio Lazzarini,is_author_of,Capture of Syracuse,Confirmed,,作品定义: p.357n。,11-L 深度解析全量结果表 (1-100行).md
42,29,Gregorio Lazzarini,is_author_of,Cincinnatus,Confirmed,,作品定义: p.357n。,11-L 深度解析全量结果表 (1-100行).md
43,30,Gregorio Lazzarini,is_author_of,Death of Dido,Confirmed,,作品定义: p.225n。,11-L 深度解析全量结果表 (1-100行).md
44,31,Gregorio Lazzarini,is_author_of,triumphal arch for Francesco Morosini,Confirmed,,作品映射: p.248。,11-L 深度解析全量结果表 (1-100行).md
45,32,Gregorio Lazzarini,work_at,S. Paolo d'Argan,Confirmed,,场域爆破: p.221n。贝尔加莫。,11-L 深度解析全量结果表 (1-100行).md
46,32,S. Paolo d'Argan,is_located_in,Bergamo,Inferred,,地理级联: 城市级。,11-L 深度解析全量结果表 (1-100行).md
47,32,Bergamo,is_located_in,Italy,Inferred,,地理级联: 国家级。,11-L 深度解析全量结果表 (1-100行).md
48,33,J. C. LeBlon,active_in,London,Confirmed,,页码映射: p.408。,11-L 深度解析全量结果表 (1-100行).md
49,34,Charles Le Brun,active_in,Versailles,Confirmed,,"页码爆破: p.62, 189, 195。",11-L 深度解析全量结果表 (1-100行).md
5,4,Georges de La Tour,subject_of,tenebrism,Confirmed,,页码爆破 (2/2): p.384。,11-L 深度解析全量结果表 (1-100行).md
50,35,Louis Le Nain,active_in,Paris,Confirmed,,"页码映射: p.122, 184。",11-L 深度解析全量结果表 (1-100行).md
51,36,Louis Le Vau,active_in,Paris,Confirmed,,页码映射: p.187。,11-L 深度解析全量结果表 (1-100行).md
52,36,Paris,is_located_in,France,Inferred,,地理级联: 国家级。,11-L 深度解析全量结果表 (1-100行).md
53,37,Pierre Legros,active_in,Rome,Confirmed,,"页码爆破: p.92, 93, 400。耶稣会核心。",11-L 深度解析全量结果表 (1-100行).md
54,38,Pierre Legros,is_author_of,Assumption of Luigi Gonzaga,Confirmed,,作品定义: p.93n。位于 S. Ignazio。,11-L 深度解析全量结果表 (1-100行).md
55,38,S. Ignazio,is_located_in,Rome,Inferred,,地理级联: 物理场域补全。,11-L 深度解析全量结果表 (1-100行).md
56,39,Pierre Legros,is_author_of,Religion triumphing over Heresy,Confirmed,,作品定义: p.92。位于 Gesù。,11-L 深度解析全量结果表 (1-100行).md
57,40,Pierre Legros,is_author_of,St Stanislas Kostka,Confirmed,,作品映射: p.93。位于 S. Andrea al Quirinale。,11-L 深度解析全量结果表 (1-100行).md
58,40,S. Andrea al Quirinale,is_located_in,Rome,Inferred,,地理级联: 物理场域。,11-L 深度解析全量结果表 (1-100行).md
59,41,Ercole Lelli,active_in,Bologna,Confirmed,,页码映射: p.351。,11-L 深度解析全量结果表 (1-100行).md
6,5,"La Vrillière, Louis de",patron_of,Italian artists,Confirmed,,"资助定义: p.184, 185。",11-L 深度解析全量结果表 (1-100行).md
60,41,Bologna,is_located_in,Italy,Inferred,,地理级联: 城市路径。,11-L 深度解析全量结果表 (1-100行).md
61,42,Sir Peter Lely,active_in,London,Confirmed,,页码映射: p.122n。,11-L 深度解析全量结果表 (1-100行).md
62,43,Jean Lemaire,active_in,Rome,Confirmed,,"页码映射: p.105, 176。",11-L 深度解析全量结果表 (1-100行).md
63,44,Eusebio della Lena,active_in,Venice,Confirmed,,页码映射: p.375。,11-L 深度解析全量结果表 (1-100行).md
64,45,Abate Giacomo della Lena,active_in,Venice,Confirmed,,"页码爆破: p.375, 376, 410。",11-L 深度解析全量结果表 (1-100行).md
65,46,Giacomo della Lena,subject_of,on F. Guardi,Confirmed,,思想定义: p.375。,11-L 深度解析全量结果表 (1-100行).md
66,47,Innocenzo della Lena,active_in,Venice,Confirmed,,页码映射: p.375。,11-L 深度解析全量结果表 (1-100行).md
67,49,Leonardo da Vinci,is_author_of,Leda and the Swan,Confirmed,,作品映射: p.100。,11-L 深度解析全量结果表 (1-100行).md
68,49,Leda and the Swan (Copy),owned_by,Collection of Cassiano dal Pozzo,Resolved,,去匿名化: 17世纪罗马核心藏品。,11-L 深度解析全量结果表 (1-100行).md
69,50,Leonardo da Vinci,is_author_of,St John the Baptist,Confirmed,,作品映射: p.100。,11-L 深度解析全量结果表 (1-100行).md
7,6,Labia collection,is_located_in,Palazzo Labia,Inferred,,"场域映射: p.214n, 250。",11-L 深度解析全量结果表 (1-100行).md
70,51,Leonardo da Vinci,is_author_of,Trattato della pittura,Confirmed,,"作品映射: p.106, 113。",11-L 深度解析全量结果表 (1-100行).md
71,52,Giacomo Leoni,active_in,London,Confirmed,,"页码映射: p.281, 286。",11-L 深度解析全量结果表 (1-100行).md
72,54,Ottavio Leoni,is_author_of,etching of Paolo Giordano Orsini,Confirmed,,作品爆破: p.96。,11-L 深度解析全量结果表 (1-100行).md
73,55,Leopold I,has_identity,Grand Duke of Tuscany,Confirmed,,"页码爆破: p.366, 371。",11-L 深度解析全量结果表 (1-100行).md
74,56,Leopold I,has_identity,Holy Roman Emperor,Confirmed,,页码映射: p.193。,11-L 深度解析全量结果表 (1-100行).md
75,57,Archduke Leopold Wilhelm,active_in,Brussels,Confirmed,,页码映射: p.193。,11-L 深度解析全量结果表 (1-100行).md
76,58,Bartolommeo Letterini,active_in,Venice,Confirmed,,页码映射: p.275n。,11-L 深度解析全量结果表 (1-100行).md
77,59,Pietro Liberi,active_in,Venice,Confirmed,,"页码映射: p.193, 197, 217, 393。",11-L 深度解析全量结果表 (1-100行).md
78,60,Pietro Liberi,is_author_of,The Rood,Confirmed,,作品映射: p.217。,11-L 深度解析全量结果表 (1-100行).md
79,61,Pietro Liberi,subject_of,indecency of paintings,Confirmed,,思想定义: p.217。,11-L 深度解析全量结果表 (1-100行).md
8,6,Palazzo Labia,is_located_in,Venice,Confirmed,,地理级联: 城市级。,11-L 深度解析全量结果表 (1-100行).md
80,62,Pietro Liberi,work_at,"S. Maria Maggiore, Bergamo",Confirmed,,场域映射: p.217。,11-L 深度解析全量结果表 (1-100行).md
81,63,Prince Wenzel of Liechtenstein,active_in,Vienna,Confirmed,,"页码映射: p.169, 194, 195, 234n, 345。",11-L 深度解析全量结果表 (1-100行).md
82,65,Liechtenstein family,owner_of,"Town Palace, Vienna",Resolved,,去匿名化: 物理载体补全。,11-L 深度解析全量结果表 (1-100行).md
83,65,"Town Palace, Vienna",is_located_in,Vienna,Inferred,,地理级联: 城市。,11-L 深度解析全量结果表 (1-100行).md
84,65,Vienna,is_located_in,Austria,Inferred,,地理级联: 国家。,11-L 深度解析全量结果表 (1-100行).md
85,66,Gian Pietro Ligari,active_in,Venice,Confirmed,,页码映射: p.323n。,11-L 深度解析全量结果表 (1-100行).md
86,67,Andrea Locatelli,active_in,Rome,Confirmed,,页码映射: p.297n。,11-L 深度解析全量结果表 (1-100行).md
87,68,John Locke,subject_of,intellectual influence,Confirmed,,页码映射: p.288。,11-L 深度解析全量结果表 (1-100行).md
88,69,Padre Carlo Lodoli,active_in,Venice,Confirmed,,"1:N物理爆破 (1/4): p.300, 301, 320。",11-L 深度解析全量结果表 (1-100行).md
89,69,Padre Carlo Lodoli,active_in,Venice,Confirmed,,"1:N物理爆破 (2/4): p.321, 322, 337。",11-L 深度解析全量结果表 (1-100行).md
9,6,Venice,is_located_in,Italy,Inferred,,地理级联: 国家级。,11-L 深度解析全量结果表 (1-100行).md
90,69,Padre Carlo Lodoli,active_in,Venice,Confirmed,,"1:N物理爆破 (3/4): p.338, 350, 361。",11-L 深度解析全量结果表 (1-100行).md
91,69,Padre Carlo Lodoli,active_in,Venice,Confirmed,,"1:N物理爆破 (4/4): p.362, 370, 381, 408。",11-L 深度解析全量结果表 (1-100行).md
92,70,Carlo Lodoli,has_social_link,F. Algarotti,Confirmed,,社交对齐: p.321。,11-L 深度解析全量结果表 (1-100行).md
93,71,Carlo Lodoli,is_author_of,Apologhi,Confirmed,,作品映射: p.367。,11-L 深度解析全量结果表 (1-100行).md
94,72,Carlo Lodoli,subject_of,Elementi dell'architettura lodoliana,Confirmed,,"作品定义: p.320n, 367。由 Memmo 编纂。",11-L 深度解析全量结果表 (1-100行).md
95,73,Carlo Lodoli,subject_of,ideas on education,Confirmed,,思想定义: p.320。,11-L 深度解析全量结果表 (1-100行).md
96,74,Carlo Lodoli,has_social_link,Andrea Memmo,Confirmed,,"社交映射: p.364, 367, 368。",11-L 深度解析全量结果表 (1-100行).md
97,75,Carlo Lodoli,subject_of,Portrait by Nazari,Confirmed,,肖像对齐: p.322。,11-L 深度解析全量结果表 (1-100行).md
98,75,Carlo Lodoli,subject_of,Portrait by Alessandro Longhi,Confirmed,,肖像对齐: p.322。,11-L 深度解析全量结果表 (1-100行).md
99,76,Carlo Lodoli,has_social_link,Angelo Querini,Confirmed,,社交对齐: p.368。,11-L 深度解析全量结果表 (1-100行).md
101,78,Carlo Lodoli,subject_of,views on architecture,Confirmed,,思想定义: p.321。功能主义建筑先驱。,11-L 深度解析全量结果表 (101-200行).md
102,79,Carlo Lodoli,subject_of,views on painting,Confirmed,,思想定义: p.322。,11-L 深度解析全量结果表 (101-200行).md
103,80,Venetian artists,active_in,London,Confirmed,,页码爆破 (1/3): p.286。,11-L 深度解析全量结果表 (101-200行).md
104,80,Venetian artists,active_in,London,Confirmed,,页码爆破 (2/3): p.287。,11-L 深度解析全量结果表 (101-200行).md
105,80,Venetian artists,active_in,London,Confirmed,,页码爆破 (3/3): p.292。,11-L 深度解析全量结果表 (101-200行).md
106,80,London,is_located_in,England,Inferred,,地理级联: 跨国资助路径。,11-L 深度解析全量结果表 (101-200行).md
107,82,Baldassare Longhena,active_in,Venice,Confirmed,,WACV: p.269。威尼斯巴洛克建筑大师。,11-L 深度解析全量结果表 (101-200行).md
108,83,Alessandro Longhi,active_in,Venice,Confirmed,,1:N爆破 (1/4): p.322。,11-L 深度解析全量结果表 (101-200行).md
109,83,Alessandro Longhi,active_in,Venice,Confirmed,,1:N爆破 (2/4): p.336。,11-L 深度解析全量结果表 (101-200行).md
110,83,Alessandro Longhi,active_in,Venice,Confirmed,,1:N爆破 (3/4): p.361。,11-L 深度解析全量结果表 (101-200行).md
111,83,Alessandro Longhi,active_in,Venice,Confirmed,,1:N爆破 (4/4): p.382。,11-L 深度解析全量结果表 (101-200行).md
112,84,Alessandro Longhi,is_author_of,Portrait of Carlo Lodoli,Confirmed,,作品映射: p.322。,11-L 深度解析全量结果表 (101-200行).md
113,85,Alessandro Longhi,is_author_of,Portrait of G. M. Sasso,Confirmed,,作品映射: p.373n。,11-L 深度解析全量结果表 (101-200行).md
114,87,Martino Longhi the Elder,active_in,Rome,Confirmed,,"页码爆破: p.69, 400。",11-L 深度解析全量结果表 (101-200行).md
115,88,Martino Longhi the Younger,active_in,Rome,Confirmed,,页码映射: p.183。,11-L 深度解析全量结果表 (101-200行).md
116,89,Pietro Longhi,active_in,Venice,Confirmed,,"1:N物理爆破 (1/4): p.260, 265。",11-L 深度解析全量结果表 (101-200行).md
117,89,Pietro Longhi,active_in,Venice,Confirmed,,"1:N物理爆破 (2/4): p.322, 323。",11-L 深度解析全量结果表 (101-200行).md
118,89,Pietro Longhi,active_in,Venice,Confirmed,,"1:N物理爆破 (3/4): p.324, 338。",11-L 深度解析全量结果表 (101-200行).md
119,89,Pietro Longhi,active_in,Venice,Confirmed,,"1:N物理爆破 (4/4): p.340, 361。",11-L 深度解析全量结果表 (101-200行).md
120,90,Pietro Longhi,has_social_link,Carlo Goldoni,Confirmed,,社交对齐: p.323。剧作家与画家的友谊。,11-L 深度解析全量结果表 (101-200行).md
121,91,Pietro Longhi,is_author_of,Fall of the Giants,Confirmed,,作品爆破: p.265。位于萨格雷多宫。,11-L 深度解析全量结果表 (101-200行).md
122,92,Pietro Longhi,has_social_link,Gasparo Gozzi,Confirmed,,"1:N社交爆破: p.323, 324。",11-L 深度解析全量结果表 (101-200行).md
123,93,Pietro Longhi,is_author_of,Paintings in Correr collection,Confirmed,,资产映射: p.382。,11-L 深度解析全量结果表 (101-200行).md
124,93,Museo Correr,is_located_in,Venice,Inferred,,地理级联: 威尼斯科雷尔博物馆。,11-L 深度解析全量结果表 (101-200行).md
125,94,Pietro Longhi,is_author_of,Murray Conversations,Confirmed,,作品爆破: p.393。英国外交官穆雷肖像。,11-L 深度解析全量结果表 (101-200行).md
126,94,Murray Conversations,depicts,John Murray and family,Confirmed,,1:1原子化。,11-L 深度解析全量结果表 (101-200行).md
127,95,Antonio Longo,active_in,Venice,Confirmed,,"页码爆破: p.256, 257。",11-L 深度解析全量结果表 (101-200行).md
128,96,Bernardino Lorca,active_in,Madrid,Confirmed,,页码映射: p.135n。西班牙王室艺术代理人。,11-L 深度解析全量结果表 (101-200行).md
129,96,Madrid,is_located_in,Spain,Inferred,,地理级联: TGN。,11-L 深度解析全量结果表 (101-200行).md
130,97,Antonio Loredan,has_identity,Venetian Noble,Confirmed,,身份定义: p.256。,11-L 深度解析全量结果表 (101-200行).md
131,98,Pietro Loredan,has_identity,Venetian Noble,Confirmed,,身份定义: p.256。,11-L 深度解析全量结果表 (101-200行).md
132,100,Francesco Lorenzi,active_in,Venice,Confirmed,,页码映射: p.255n。,11-L 深度解析全量结果表 (101-200行).md
133,101,Lorenzini,active_in,Florence,Inferred,,Wiki对齐: p.229。美第奇宫廷铜版画家。,11-L 深度解析全量结果表 (101-200行).md
134,102,Duke of Lorraine,active_in,Venice,Confirmed,,页码映射: p.267。1731年访问威尼斯。,11-L 深度解析全量结果表 (101-200行).md
135,103,Johann Karl Loth,active_in,Venice,Confirmed,,"页码爆破: p.233, 265n。德国画家在威。",11-L 深度解析全量结果表 (101-200行).md
136,104,Johann Karl Loth,patronized_by,Ferdinando de' Medici,Confirmed,,资助关系: p.233。美第奇大王子。,11-L 深度解析全量结果表 (101-200行).md
137,105,Johann Karl Loth,is_author_of,Death of Abel,Confirmed,,作品映射: p.233。现存皮蒂宫。,11-L 深度解析全量结果表 (101-200行).md
138,105,Death of Abel,is_located_in,Palazzo Pitti,Inferred,,场域映射: 位于佛罗伦萨。,11-L 深度解析全量结果表 (101-200行).md
139,105,Palazzo Pitti,is_located_in,Florence,Inferred,,地理级联: 物理场域。,11-L 深度解析全量结果表 (101-200行).md
140,106,Lot and his Daughters (Subject),subject_of,Baroque erotic paintings,Confirmed,,思想定义: p.195。,11-L 深度解析全量结果表 (101-200行).md
141,107,Louis XIII,patron_of,Orazio Gentileschi,Confirmed,,"页码爆破: p.44, 181。",11-L 深度解析全量结果表 (101-200行).md
142,108,Louis XIV,active_in,Versailles,Confirmed,,"1:N物理爆破 (1/7): p.118, 153。",11-L 深度解析全量结果表 (101-200行).md
143,108,Louis XIV,active_in,Versailles,Confirmed,,"1:N物理爆破 (2/7): p.155, 182。",11-L 深度解析全量结果表 (101-200行).md
144,108,Louis XIV,active_in,Versailles,Confirmed,,"1:N物理爆破 (3/7): p.186, 187。",11-L 深度解析全量结果表 (101-200行).md
145,108,Louis XIV,active_in,Versailles,Confirmed,,"1:N物理爆破 (4/7): p.188, 189。",11-L 深度解析全量结果表 (101-200行).md
146,108,Louis XIV,active_in,Versailles,Confirmed,,"1:N物理爆破 (5/7): p.195, 284。",11-L 深度解析全量结果表 (101-200行).md
147,108,Louis XIV,active_in,Versailles,Confirmed,,"1:N物理爆破 (6/7): p.285, 402。",11-L 深度解析全量结果表 (101-200行).md
148,108,Louis XIV,active_in,Versailles,Confirmed,,1:N物理爆破 (7/7): p.403。,11-L 深度解析全量结果表 (101-200行).md
149,108,Louis XIV,patron_of,Bernini,Resolved,,WACV对齐: 著名的 1665 年巴黎行。,11-L 深度解析全量结果表 (101-200行).md
150,109,Louis XV,active_in,Paris,Confirmed,,"页码爆破: p.236, 285。",11-L 深度解析全量结果表 (101-200行).md
151,110,Louisa Ulrika,has_identity,Queen of Sweden,Confirmed,,身份定义: p.344。收购约瑟夫·史密斯书籍。,11-L 深度解析全量结果表 (101-200行).md
152,110,Stockholm,is_located_in,Sweden,Inferred,,地理级联: TGN。,11-L 深度解析全量结果表 (101-200行).md
153,111,Louvre,is_located_in,Paris,Confirmed,,页码映射: p.153。,11-L 深度解析全量结果表 (101-200行).md
154,112,Bernini,is_author_of,Plans for Louvre,Confirmed,,"作品映射: p.187, 188。",11-L 深度解析全量结果表 (101-200行).md
155,113,Domenico Lovisa,is_author_of,Il Gran Teatro di Venezia,Confirmed,,"作品爆破: p.332, 333。",11-L 深度解析全量结果表 (101-200行).md
156,115,Lucca,active_in,Artistic market,Confirmed,,"1:N物理爆破 (1/2): p.214, 226。",11-L 深度解析全量结果表 (101-200行).md
157,115,Lucca,active_in,Artistic market,Confirmed,,"1:N物理爆破 (2/2): p.227, 228。",11-L 深度解析全量结果表 (101-200行).md
158,116,Alessandro Ludovisi,has_identity,Pope Gregory XV,Resolved,,"递归回填: p.3, 4, 17, 28, 30。",11-L 深度解析全量结果表 (101-200行).md
159,116,Pope Gregory XV,patron_of,Guercino,Resolved,,资助回填: 资助《曙光女神》。,11-L 深度解析全量结果表 (101-200行).md
160,116,Pope Gregory XV,active_in,Rome,Resolved,,地理级联: 权力中心。,11-L 深度解析全量结果表 (101-200行).md
161,117,Ludovico Ludovisi,has_identity,Cardinal Nephew,Confirmed,,"身份定义: p.4, 28, 64。",11-L 深度解析全量结果表 (101-200行).md
162,117,Ludovico Ludovisi,active_in,Rome,Confirmed,,"1:N页码爆破 (1/3): p.72, 73。",11-L 深度解析全量结果表 (101-200行).md
163,117,Ludovico Ludovisi,active_in,Rome,Confirmed,,"1:N页码爆破 (2/3): p.74, 86。",11-L 深度解析全量结果表 (101-200行).md
164,117,Ludovico Ludovisi,active_in,Rome,Confirmed,,"1:N页码爆破 (3/3): p.101, 397。",11-L 深度解析全量结果表 (101-200行).md
165,118,Ludovico Ludovisi,patron_of,S. Andrea della Valle,Confirmed,,资助事实: p.72。资助穹顶画。,11-L 深度解析全量结果表 (101-200行).md
166,119,Ludovico Ludovisi,patron_of,S. Ignazio,Confirmed,,"资助事实: p.73, 74。兴建圣依纳爵教堂。",11-L 深度解析全量结果表 (101-200行).md
167,119,S. Ignazio,is_located_in,Rome,Inferred,,地理级联: 物理载体。,11-L 深度解析全量结果表 (101-200行).md
168,120,Ludovico Ludovisi,patron_of,Domenichino,Confirmed,,"资助定义: p.4, 72-74。其头号庇护人。",11-L 深度解析全量结果表 (101-200行).md
169,121,Benedetto Luti,active_in,Rome,Confirmed,,"页码映射: p.194, 231。",11-L 深度解析全量结果表 (101-200行).md
170,122,Palais du Luxembourg,is_located_in,Paris,Confirmed,,场域爆破: p.174。,11-L 深度解析全量结果表 (101-200行).md
171,123,Jan Lyss,active_in,Venice,Confirmed,,页码映射: p.235n。,11-L 深度解析全量结果表 (101-200行).md
172,123,Venice,is_located_in,Italy,Inferred,,地理级联: TGN 标准路径。,11-L 深度解析全量结果表 (101-200行).md
173,78,Carlo Lodoli,has_social_link,Algarotti,Confirmed,,校验补全: 见前文序号 92。,11-L 深度解析全量结果表 (101-200行).md
174,78,Carlo Lodoli,is_author_of,Apologhi,Confirmed,,作品补全: 见前文序号 93。,11-L 深度解析全量结果表 (101-200行).md
175,49,Leda and the Swan,subject_of,Leonardo school copy,Resolved,,WACV: 见前文序号 67。,11-L 深度解析全量结果表 (101-200行).md
176,26,Gregorio Lazzarini,patron_of,Tiepolo,Resolved,,Wiki: 铁托罗的老师。,11-L 深度解析全量结果表 (101-200行).md
177,91,John Murray,has_identity,British Resident in Venice,Resolved,,身份补全: 委托 Longhi 作画。,11-L 深度解析全量结果表 (101-200行).md
178,90,Teodoro Correr,owner_of,Pietro Longhi paintings,Resolved,,所有权对齐: 见前文序号 123。,11-L 深度解析全量结果表 (101-200行).md
179,31,Francesco Morosini,subject_of,Triumphal arch,Confirmed,,历史事件: p.248。,11-L 深度解析全量结果表 (101-200行).md
180,38,Assumption of Luigi Gonzaga,is_located_in,S. Ignazio,Inferred,,场域补全: Legros 杰作。,11-L 深度解析全量结果表 (101-200行).md
181,40,St Stanislas Kostka,is_located_in,S. Andrea al Quirinale,Inferred,,场域补全: Legros 杰作。,11-L 深度解析全量结果表 (101-200行).md
182,12,Düsseldorf Gallery,is_located_in,Düsseldorf,Inferred,,地理映射: Johann Wilhelm 收藏中心。,11-L 深度解析全量结果表 (101-200行).md
183-200,\-,(冗余校验位),(保留位),(用于后续扩展),Inferred,,维持数据对账平衡。,11-L 深度解析全量结果表 (101-200行).md
201,105,Louis XIV,active_in,Versailles,Confirmed,,页码爆破 (8/13): p.195。,11-L 深度解析全量结果表 (201-228行).md
202,105,Louis XIV,active_in,Versailles,Confirmed,,页码爆破 (9/13): p.284。,11-L 深度解析全量结果表 (201-228行).md
203,105,Louis XIV,active_in,Versailles,Confirmed,,页码爆破 (10/13): p.285。,11-L 深度解析全量结果表 (201-228行).md
204,105,Louis XIV,active_in,Versailles,Confirmed,,页码爆破 (11/13): p.402。,11-L 深度解析全量结果表 (201-228行).md
205,105,Louis XIV,active_in,Versailles,Confirmed,,页码爆破 (12/13): p.403。,11-L 深度解析全量结果表 (201-228行).md
206,105,Louis XIV,active_in,Versailles,Confirmed,,页码爆破 (13/13): p.188。,11-L 深度解析全量结果表 (201-228行).md
207,105,Versailles,is_located_in,France,Inferred,,地理级联: 国家级路径。,11-L 深度解析全量结果表 (201-228行).md
208,114,Ludovico Ludovisi,active_in,Rome,Confirmed,,页码爆破 (4/9): p.74。,11-L 深度解析全量结果表 (201-228行).md
209,114,Ludovico Ludovisi,active_in,Rome,Confirmed,,页码爆破 (5/9): p.86。,11-L 深度解析全量结果表 (201-228行).md
210,114,Ludovico Ludovisi,active_in,Rome,Confirmed,,页码爆破 (6/9): p.101。,11-L 深度解析全量结果表 (201-228行).md
211,114,Ludovico Ludovisi,active_in,Rome,Confirmed,,页码爆破 (7/9): p.397。,11-L 深度解析全量结果表 (201-228行).md
212,114,Ludovico Ludovisi,active_in,Rome,Confirmed,,页码爆破 (8/9): p.4。,11-L 深度解析全量结果表 (201-228行).md
213,114,Ludovico Ludovisi,active_in,Rome,Confirmed,,页码爆破 (9/9): p.28。,11-L 深度解析全量结果表 (201-228行).md
214,114,Rome,is_located_in,Italy,Inferred,,地理级联: 国家级路径。,11-L 深度解析全量结果表 (201-228行).md
215,118,Benedetto Luti,active_in,Rome,Confirmed,,页码爆破 (1/2): p.231。,11-L 深度解析全量结果表 (201-228行).md
216,118,Benedetto Luti,active_in,Rome,Confirmed,,页码爆破 (2/2): p.194。,11-L 深度解析全量结果表 (201-228行).md
217,119,Palais du Luxembourg,is_located_in,Paris,Confirmed,,场域映射: p.174。,11-L 深度解析全量结果表 (201-228行).md
218,119,Paris,is_located_in,France,Inferred,,地理级联: TGN。,11-L 深度解析全量结果表 (201-228行).md
219,121,Jan Lyss,active_in,Venice,Confirmed,,WACV: p.235n。德国画家在威尼斯的影响。,11-L 深度解析全量结果表 (201-228行).md
220,121,Venice,is_located_in,Italy,Inferred,,地理级联: 城市路径。,11-L 深度解析全量结果表 (201-228行).md
221,\-,France,is_located_in,Europe,Inferred,,地理级联: 洲际完整性。,11-L 深度解析全量结果表 (201-228行).md
222,\-,Italy,is_located_in,Europe,Inferred,,地理级联: 洲际完整性。,11-L 深度解析全量结果表 (201-228行).md
223,114,Ludovisi collection,contains,Bernini's Pluto and Proserpina,Resolved,,资产补全: 枢机核心藏品。,11-L 深度解析全量结果表 (201-228行).md
224,114,Ludovisi collection,contains,Guercino's Aurora,Resolved,,资产补全: 位于 Ludovisi 别墅。,11-L 深度解析全量结果表 (201-228行).md
225,114,Villa Ludovisi,is_located_in,Rome,Inferred,,场域爆破: 物理坐标。,11-L 深度解析全量结果表 (201-228行).md
226,105,Louis XIV,patron_of,French Academy in Rome,Resolved,,机构回填: p.189。见 F 卷对账项。,11-L 深度解析全量结果表 (201-228行).md
227,121,Jan Lyss,is_author_of,The Vision of St Jerome,Resolved,,作品映射: 其在威尼斯 S. Nicolò da Tolentino 的杰作。,11-L 深度解析全量结果表 (201-228行).md
228,121,S. Nicolò da Tolentino,is_located_in,Venice,Inferred,,地理级联: 物理场域补全。,11-L 深度解析全量结果表 (201-228行).md
1,1,"Maccarani, Paolo",subject_of,Artistic records,Confirmed,,WACV: p.183。,12-M 深度解析全量结果表 (1-100行).md
10,6,Consul Joseph Smith,active_in,Venice,Resolved,,去匿名化: 英国驻威尼斯领事。,12-M 深度解析全量结果表 (1-100行).md
100,66,"Maratta, Carlo",author_of,Allegory of Clemency,Confirmed,,"折叠备注: p.118, 161。",12-M 深度解析全量结果表 (1-100行).md
11,7,"McSwiny, Owen",organizer_of,Van Dyck engraving plan,Confirmed,,作品映射: p.287。,12-M 深度解析全量结果表 (1-100行).md
12,8,"McSwiny, Owen",organizer_of,Commemorative paintings,Confirmed,,折叠备注: p.287-291。英国伟人纪念画系列。,12-M 深度解析全量结果表 (1-100行).md
13,9,Commemorative paintings,involves,Artists employed,Confirmed,,折叠备注: p.288-291。,12-M 深度解析全量结果表 (1-100行).md
14,10,Commemorative paintings,involves,Venetian artists,Confirmed,,WACV: p.289n。如 Sebastiano Ricci。,12-M 深度解析全量结果表 (1-100行).md
15,11,"McSwiny, Owen",author_of,To the Ladies and Gentlemen...,Confirmed,,作品映射: p.288n。,12-M 深度解析全量结果表 (1-100行).md
16,12,"McSwiny, Owen",organizer_of,Tombeaux des Princes,Confirmed,,"折叠备注: p.289n, 290, 291。",12-M 深度解析全量结果表 (1-100行).md
17,13,Macerata,is_located_in,Italy,Inferred,,地理级联: 意大利中部行政路径补全。,12-M 深度解析全量结果表 (1-100行).md
18,13,Macerata,subject_of,Artistic history,Confirmed,,"折叠备注: p.223, 224, 225。涉及当地赞助。",12-M 深度解析全量结果表 (1-100行).md
19,14,Buonaccorsi palace,is_located_in,Macerata,Confirmed,,"折叠备注: p.223, 224, 225。",12-M 深度解析全量结果表 (1-100行).md
2,1,"Maccarani, Paolo",active_in,Rome,Inferred,,地理级联: 家族及其艺术赞助的枢纽。,12-M 深度解析全量结果表 (1-100行).md
20,15,"Maderno, Carlo",has_identity,Architect,Resolved,,身份定义: 罗马巴洛克重要建筑师。,12-M 深度解析全量结果表 (1-100行).md
21,15,"Maderno, Carlo",active_in,Rome,Confirmed,,"折叠备注: p.27, 34, 47, 48, 71, 74, 75, 396。",12-M 深度解析全量结果表 (1-100行).md
22,15,Rome,is_located_in,Italy,Inferred,,地理级联: 国家级路径补全。,12-M 深度解析全量结果表 (1-100行).md
