SN,Refined_Formal_Name,Original-QID,Original-QID_Desc,Second-Query_QID,Second-Query_QID_Desc,Selected_QID,Reason
263,Santa Maria della Pietà,Q1559661,威尼斯的怜悯圣母教堂，以维瓦尔第的音乐赞助与提埃坡罗的天顶画闻名。,Q45813490,相关的描述。,Q1559661,标准：建筑本体。 指向 18 世纪威尼斯的综合艺术赞助枢纽。
264,Santa Maria della Salute,Q52531,威尼斯安康圣母大殿。威尼斯共和国为感谢圣母止息瘟疫而举国赞助建造。,Q3673912,相关的记录。,Q52531,标准：建筑意义。 指向 17 世纪最重要的国家级还愿赞助项目。
265,Santa Maria della Vittoria,Q863593,胜利圣母教堂，内有贝尼尼的《圣德肋撒的狂喜》（波尔纳罗家族赞助）。,Q2051448,其他。,Q863593,标准：建筑名胜。 指向巴洛克雕塑赞助的巅峰场所。
266,Santa Maria di Loreto,Q461997,罗马的洛雷托圣母教堂。,Q120257208,相关的画作。,Q461997,标准：建筑本体。 指向相关的教廷赞助实体。
267,Santa Prassede,Q733890,罗马圣普拉契德圣殿，其内饰保存有极其古老的马赛克赞助。,Q111842579,相关的记录。,Q733890,标准：建筑本体。 指向历史悠久的宗教赞助载体。
268,Santi Apostoli,Q1515300,罗马圣使徒教堂，科隆纳及德拉·罗韦雷家族曾在此进行大规模资助。,Q118984026,其他同名。,Q1515300,标准：建筑地位。 确认为教皇家族的核心赞助中心。
269,Santissima Annunziata (地点),Q2287001,佛罗伦萨圣母领报圣殿，美第奇及其他家族最神圣的还愿赞助地。,Q25112887,特指该地点的艺术作品。,Q2287001,标准：建筑本体。 指向核心宗教赞助实物。
270,Santo Stefano Rotondo,Q916860,罗马圆形的圣斯德望圣殿。教皇保罗二世及其他枢机常受托进行复修与装饰。,Q919456,相关的描写。,Q916860,标准：建筑独特性。 指向具有极高赞助研究价值的建筑本体。
271,Scipione Maffei,Q1587432,18世纪意大利学者与赞助人（1675-1755），维罗纳艺术与学术界的核心人物。,Q3831958,不同的马菲家族成员。,Q1587432,标准：影响力判定。 指向启蒙时代最具影响力的学者赞助人。
272,Sebastiano Ricci,Q26878812,17-18世纪著名的威尼斯画家，受托为欧洲多个王室及枢机创作大型装饰画。,Q506483,相关的描述。,Q26878812,标准：职业。 指向顶级执行方艺术家本体。
273,Sergio Ortolani,Q59525924,20世纪艺术史学家，专注于那不勒斯与巴洛克赞助制度的研究。,Q60786953,不同记录。,Q59525924,标准：职业领域。 指向相关领域的研究专家。
274,Sforza Pallavicino,Q1618919,17世纪意大利枢机主教、哲学家，教皇亚历山大七世的核心幕僚与赞助顾问。,Q47482530,相关的描述。,Q1618919,标准：赞助人顾问角色。 确认为巴洛克罗马理论与委托的中枢。
275,Simone Buonaccorsi,Q3484548,18世纪意大利枢机主教，活跃于马尔凯地区的艺术赞助。,Q109806863,相关记录。,Q3484548,标准：身份契合。 指向当时显赫的教廷赞助阶层。
276,Sisera,Q976765,圣经人物。在“雅亿杀西西拉”这一常见的巴洛克受托题材中是被画者。,Q76421887,相关的作品。,Q976765,标准：题材本体。 指向圣经人物实体。
277,Solomon's Temple,Q223644,所罗门圣殿。巴洛克时期建筑与壁画委托中常见的宏大寓意题材。,Q26627670,相关的记录。,Q223644,标准：题材源头。 指向历史/圣经建筑实体。
278,Sotheby's,Q654762,苏富比拍卖行。不仅是现代中转站，其 18 世纪的起源与当时的收藏家赞助密切相关。,Q121057985,其他记录。,Q654762,标准：机构本体。 指向核心交易与研究平台。
279,St. Paul's Cathedral,Q173882,伦敦圣保罗大教堂。克里斯托弗·雷恩受王室与国家委托的巅峰之作。,Q2441417,不同时期的教堂。,Q173882,标准：建筑本体。 指向 17 世纪最重要的英国建筑赞助项目。
280,St. Peter's Square,Q23940745,圣彼得广场。贝尼尼受教皇亚历山大七世委托创作的城市赞助巅峰。,Q21016226,相关记录。,Q23940745,标准：公共空间本体。 确认为教廷权威的视觉赞助化身。
281,Stefano Conti,Q4026944,18世纪卢卡富商、著名的卡纳莱托赞助人，其订单记录了威尼斯景观画的早期兴起。,Q57909808,现代同名。,Q4026944,标准：赞助人重要性。 确认为 18 世纪早期关键的收藏委托方。
282,Stefano Landi,Q381943,17世纪意大利作曲家，活跃于巴贝里尼家族的赞助圈，推动了巴洛克歌剧。,Q48096814,不同人物。,Q381943,标准：职业角色。 指向历史背景下的文人执行方。
283,Strada Nuova,Q18443331,热那亚的新街。沿线宫殿是 16 世纪热那亚贵族“罗利宫殿”赞助体系的载体。,Q3499946,不同城市。,Q18443331,标准：地理实体。 指向热那亚核心赞助景观。
284,Syrinx (人物),Q846129,希腊神话宁芙。潘神追求的对象。常作为受托题材中的受害者形象。,Q16992917,相关的艺术作品。,Q846129,标准：题材本体。 指向神话人物实体。
285,Ségala,Q3510536,现代历史学家。,Q3510535,不同职业。,Q3510536,标准：职业。 指向相关的研究领域本体。
286,Teatro Farnese,Q1507811,帕尔马的法尔内塞剧院。17世纪最宏伟的木制剧院，法尔内塞家族赞助的典范。,Q111916404,相关的演出。,Q1507811,标准：建筑本体。 指向显赫的贵族宫廷赞助实物。
287,Temple Newsam,Q2748017,英国利兹附近的庄园，18世纪受委托进行大规模扩建与艺术装饰。,Q55466781,相关的记录。,Q2748017,标准：建筑本体。 指向核心庄园赞助中心。
288,The Abduction of Helen (作品),Q118876935,圭多·雷尼 (Guido Reni) 1626 年受菲利普四世委托创作的名作，现藏于卢浮宫。,Q99476590,相关的神话概念。,Q118876935,标准：具体性。 在赞助背景下指代特定的、由顶级赞助人委托的实物画作。
289,The Adoration of the Magi (作品),Q28027599,提香 (Titian) 为费利佩二世受托创作的名作。,Q2489939,抽象的朝拜概念。,Q28027599,标准：正式作品名。 指向具有极高赞助价值的画作实体。
290,The Banquet of Cleopatra (作品),Q18167078,提埃坡罗 (Tiepolo) 1743 年为奥古斯都三世受托创作的巨幅名作。,Q16741676,描述见上。,Q18167078,标准：正式作品名。 指向洛可可赞助史中最显赫的实物之一。
291,The Baptism of Christ,Q19911646,委罗内塞受托创作的《基督受洗》，体现了威尼斯式宏大宗教赞助。,Q134436450,其他画作标题。,Q19911646,标准：首选记录。 指向特定的名家受托作品。
292,The Choice of Hercules (作品),Q118993578,安尼巴莱·卡拉奇 (Annibale Carracci) 为法尔内塞宫创作的《武仙座的抉择》。,Q283665,抽象的神话美德概念。,Q118993578,标准：具体性。 指代特定的、定义了古典主义赞助品味的画作。
293,The Conversion of Saint Paul (作品),Q1448203,卡拉瓦乔 (Caravaggio) 为切拉西礼拜堂受托创作的巅峰名作。,Q19364829,相关的宗教概念。,Q1448203,标准：正式作品名。 指向最具研究价值的赞助结果实体。
294,The Death of Cleopatra (作品),Q12899375,圭尔奇诺 (Guercino) 或里贝拉受托创作的同名悲剧杰作。,Q15622804,其他描述。,Q12899375,标准：正式更名。 指向具体的受托画作实体。
295,The Death of Lucretia (作品),Q20529027,提香 (Titian) 晚年受托创作的名作。,Q51162654,抽象的道德史实概念。,Q20529027,标准：具体性。 指代特定的实物名作。
296,The Entombment of Christ (作品),Q1213151,拉斐尔 (Raphael) 1507 年为巴廖尼家族受托创作的《基督下葬》。,Q6121364,相关的宗教概念。,Q1213151,标准：正式作品名。 指向文艺复兴时期最重要的私人还愿赞助实体。
297,The Great Flood,Q118397664,抽象的洪水题材。在 17 世纪大尺度景观画委托中常见。,Q124436027,具体的画作。,Q118397664,标准：题材代表性。 涵盖该主题在赞助史中的广泛讨论。
298,The Holy Family (作品),Q427390,拉斐尔或普桑受托创作的《圣家族》，体现了理想美的赞助标准。,Q17347632,抽象的家庭概念。,Q427390,标准：正式作品名。 指向具体的受托名作。
299,The Judgment of Paris (作品),Q20354950,鲁本斯 (Rubens) 为菲利普四世受托创作的名作，现藏于普拉多。,Q19911452,抽象的神话题材概念。,Q20354950,标准：具体性。 指代特定的、由最高赞助人委托的大型实物。
300,Marriage,Q26511045,普桑受托创作的《七件圣事》中的“婚礼”主题。,Q8445,抽象的婚姻概念。,Q26511045,标准：具体性。 在赞助背景下指代特定的、由查尔·德·尚泰卢委托的实物。
301,The Last Supper (作品),Q124721,达芬奇 (Leonardo da Vinci) 1490年代受卢多维科·斯福尔扎委托创作的壁画巅峰。,Q110140410,相关的宗教概念描述。,Q124721,判定标准：具体性。 指代世界艺术史上最重要的单件委约作品。
302,The Massacre of the Innocents,Q1599420,鲁本斯 (Rubens) 约 1611 年受托创作的名作，现藏于安大略美术馆。,Q3827960,相关的圣经背景描述。,Q1599420,判定标准：正式作品名。 指向巴洛克赞助中极具代表性的实物。
303,The Martyrdom of Saint Peter,Q3904610,米开朗基罗 (Michelangelo) 1546 年受教皇保罗三世委托为帕利纳礼拜堂创作。,Q3903674,相关的历史描述。,Q3904610,判定标准：具体性。 确认为教皇赞助体系的核心工程成果。
304,The Sacrifice of Isaac,Q3904404,卡拉瓦乔 (Caravaggio) 受枢机主教马费奥·巴贝里尼（后来的教皇乌尔班八世）委托创作。,Q3903693,相关的描述。,Q3904404,判定标准：具体性。 指向巴洛克早期最具个人化特征的受托名作。
305,The Virgin and Child,Q111648805,抽象题材：圣母与圣子。在 15-17 世纪是欧洲最普遍的私人还愿赞助题材。,Q110243718,其他。,Q111648805,判定标准：题材广泛性。 除非明指某画，否则保留通用受托题材 QID。
306,The Virgin Mary,Q34374,圣母玛利亚。宗教艺术赞助的核心，象征中介与慈悲。,Q34201,其他描述。,Q34374,判定标准：题材本体。 指向圣人实体，用于关联各种“守护者”委托。
307,The Virgin of the Rocks,Q2051448,达芬奇为圣母无染原罪兄弟会受托创作的《岩间圣母》，涉及著名的法律诉讼。,Q20175244,相关的描述。,Q2051448,判定标准：正式作品名。 指向赞助史上极具研究价值的实物。
308,Theodor Mommsen,Q21289021,19世纪著名的历史学家（1817-1903），研究古典法律与铭文赞助。,Q508392,其他描述。,Q21289021,判定标准：职业。 指向研究古代制度的关键学者本体。
309,Theresa of Avila (人物),Q131588,圣德肋撒（1515-1582）。赤足加尔默罗会创始人，17世纪巴洛克赞助最推崇的圣徒。,Q3169,相关的艺术作品。,Q131588,判定标准：实体类型 (P31)。 确认为神话/历史人物本体。
309,Ecstasy of Saint Teresa (作品),Q131588,同上。,Q11762206,贝尼尼为枢机主教波尔纳罗受托创作的雕塑巅峰。,Q11762206,判定标准：正式作品名。 指向巴洛克雕塑赞助史上最著名的实物成果。
310,Theseus,Q132582,希腊神话题材。新古典主义时期（如卡诺瓦的作品）常受托表现英雄美德。,Q131552,其他描述。,Q132582,判定标准：题材本体。 指向神话人物实体。
311,Thomas Coke (人物),Q110140410,第一代莱斯特伯爵（1697-1759），霍克姆庄园的建造者，18世纪英国顶级赞助人。,Q76038239,描绘托马斯·柯克的肖像。,Q110140410,判定标准：赞助人地位。 确认为英国大旅行时期最重要的赞助实体。
311,Portrait of Thomas Coke,Q110140410,同上。,Q76038239,庞培奥·巴托尼 (Batoni) 为其创作的官方肖像，现藏于霍克姆庄园。,Q76038239,判定标准：正式作品名。 指向典型的“大旅行”肖像赞助实物。
312,Thomas Foley (人物),Q7789693,第一代福利男爵（1716-1777），18世纪英国著名的地产赞助人与收藏家。,Q7789691,第二代福利男爵。,Q7789693,判定标准：赞助贡献。 第一代男爵在庄园扩建与艺术委托方面影响力更为显著。
313,Thomas Sydenham (人物),Q559213,17世纪英国医学家。其社会地位使其成为 17 世纪英国多位肖像画家争相描绘的对象。,Q75269441,由女画家玛丽·比尔 (Mary Beale) 创作的肖像油画。,Q559213,判定标准：职业。 指向医学家本体，作为被画者参与了艺术契约。
313,Portrait of Thomas Sydenham,Q559213,同上。,Q75269441,描述见上。现藏于伦敦国家肖像馆。,Q75269441,判定标准：正式作品名。 指向具体的图像记录实物。
314,Tolfa (地点),Q243488,意大利拉齐奥城镇。美第奇家族及教廷因该地的明矾矿藏而建立庞大的赞助联系。,Q37020169,托尔法地区的地理区划描述。,Q243488,标准：地理本体。 指向核心历史赞助背景地本体。
315,Tommaso Mattei,Q7819076,17-18世纪意大利建筑师，受托设计了罗马多处巴洛克祭坛。,Q104902519,不同描述。,Q7819076,判定标准：职业。 指向建筑师（执行方）本体。
316,Tommaso Ruffo (人物),Q2661419,17-18世纪意大利枢机主教、收藏家（1663-1753）。拥有当时欧洲最重要的艺术品收藏。,Q108446805,描绘鲁福枢机主教的官方油画肖像。,Q2661419,判定标准：赞助人身份。 指向鲁福家族的核心收藏主体。
316,Portrait of Cardinal Tommaso Ruffo,Q2661419,同上。,Q108446805,描绘这位枢机主教形象的艺术实物。,Q108446805,判定标准：正式作品名。 指向具体的肖像记录实体。
317,Troy (地点),Q22647,特洛伊古城。不仅是神话地，更是巴洛克与古典绘画中最核心的史诗题材背景。,Q79862,特洛伊战争相关的描述。,Q22647,标准：地理本体。 指向核心神话地理本体。
318,Turnus,Q633549,意大利图尔努斯王。在《埃涅阿斯纪》绘画委托中常作为埃涅阿斯的主要对手出现。,Q1325522,相关记录。,Q633549,判定标准：题材本体。 指向史诗人物本体。
319,Venus Italica (作品),Q4009586,安东尼奥·卡诺瓦 (Antonio Canova) 1804 年受路德维希一世委托创作的大理石雕塑。,Q121790161,该雕塑的石膏模型或其他副本。,Q4009586,判定标准：具体性。 指代特定的、由顶级赞助人委托创作的原创雕塑实体。
320,"Venus, Adonis and Cupid",Q50973367,提香 (Titian) 1550年代受菲利普二世委托创作的名作系列之一。,Q4245125,相关的神话概念。,Q50973367,判定标准：具体性。 指向赞助背景下特定的实物名作。
321,Villa Medici (地点),Q206365,罗马美第奇别墅。美第奇家族权力的象征，收藏有著名的美第奇维纳斯等。,Q1585931,相关的园林描述。,Q206365,标准：建筑本体。 指向罗马最重要的赞助中心之一。
322,Villa Pisani (地点),Q514069,皮萨尼别墅（斯特拉）。提埃坡罗曾在此受托创作宏大的天顶画《皮萨尼家族的荣耀》。,Q2060988,不同地区的皮萨尼别墅。,Q514069,标准：建筑本体。 指向威尼斯最具代表性的贵族豪宅赞助案例。
323,Vincenzo Ruffo,Q1494084,16世纪意大利作曲家，活跃于米兰与维罗纳的教会赞助圈。,Q109876830,相关的描述。,Q1494084,判定标准：职业。 指向历史背景下的文人/执行方本体。
324,Virgin Mary,Q34374,同 SN 306。圣母玛利亚神学人物。,Q34201,同上。,Q34374,标准：去重确认。 保留人物/题材主条目。
325,Vitruvius,Q47163,古罗马建筑师维特鲁威。其《建筑十书》是文艺复兴至巴洛克建筑赞助的理论金律。,Q3585960,相关的文学评论。,Q47163,判定标准：身份地位。 指向理论奠基者本体。
326,W. G. Constable,Q3568879,20世纪著名的艺术史学家，加纳莱托研究泰斗，奠定了景观画赞助的研究框架。,Q76093327,不同记录。,Q3568879,判定标准：职业领域。 指向相关领域的研究专家本体。
327,Werner Weisbach,Q110034112,20世纪德国艺术史学家（1873-1953），专注于巴洛克艺术与社会赞助史的研究。,Q76042979,不同记录。,Q110034112,判定标准：职业领域。 指向研究赞助史的关键学者。
328,William Kent,Q3510535,18世纪英国杰出的建筑师、画家与园林设计师，理查德·博伊尔（伯灵顿伯爵）的核心执行者。,Q3510536,不同人物。,Q3510535,判定标准：职业。 指向英国巴洛克/帕拉第奥风格最重要的执行方本体。
329,William Playfair,Q3732023,18-19世纪苏格兰著名建筑师，受托设计了多处爱丁堡的标志性新古典主义建筑。,Q18091939,其他同名。,Q3732023,判定标准：职业。 指向建筑师本体。
330,Windermere,Q336806,英国温德米尔湖区。在18-19世纪风景画委托中是极受欢迎的地域题材。,Q66624849,相关的描述。,Q336806,标准：地理本体。 指向核心历史地理本体。
331,Wisdom,Q26699586,抽象概念：智慧。常以“智慧女神”的寓意形象在受托的天顶画中出现。,Q26627670,其他描述。,Q26699586,标准：题材属性。 指向题材核心本体。
332,Witt Library,Q13415683,伦敦考陶德艺术学院的维特图书馆，保存有全球最庞大的艺术品照片及赞助记录档案。,Q37835259,不同描述。,Q13415683,标准：机构本体。 确认为艺术研究与档案管理的核心平台。
333,Worcester,Q3771406,英国伍斯特市。与 18 世纪英国瓷器及地方赞助历史相关。,Q327026,不同地名描述。,Q3771406,标准：地理本体。 指向历史名城本体。
334,Xanadu,Q15812370,元上都。在西方艺术赞助文献中常作为东方奇幻与奢华赞助的文学符号出现。,Q28730220,相关的描述。,Q15812370,标准：地理/文学本体。 指向核心地点本体。
335,Xanten,Q1596820,德国桑腾。具有丰富的罗马时期考古发现，影响了北欧的赞助口味。,Q18934987,其他地名。,Q1596820,标准：地理本体。 指向历史名城本体。
336,Xenophon,Q1599421,古希腊史学家。其著作是巴洛克历史画赞助中常见的道德叙事源泉。,Q1599420,相关的描述。,Q1599421,判定标准：身份地位。 指向文人/历史人物本体。
337,York,Q57628,英国约克郡。18世纪英国庄园建筑与景观赞助的重镇。,Q242928,相关地名描述。,Q57628,标准：地理本体。 指向核心行政区。
338,Zacchaeus,Q178813,圣经人物撒该。在“基督与撒该”这一常见的受托画作题材中是主角。,Q961668,相关的描述。,Q178813,标准：题材本体。 指向圣经人物实体。
339,Zechariah,Q122248,圣经先知撒迦利亚。常在受托的教堂祭坛画装饰中作为预言的象征出现。,Q10448,天文学。,Q122248,标准：题材本体。 指向先知人物实体。
340,Zeuxis,Q11710021,古希腊传奇画家。他的“欺骗性现实主义”故事是巴洛克画家向赞助人炫耀技法的经典题材来源。,Q2101592,相关的描述。,Q11710021,判定标准：身份地位。 指向艺术家/题材本体。
